run_id,converged,convergence_step,final_step
0,True,11,11
1,True,11,11
2,True,11,11
3,True,13,13
4,True,15,15
5,True,15,15
6,True,12,12
7,True,13,13
8,True,14,14
9,True,12,12
10,True,15,15
11,True,18,18
12,True,13,13
13,True,10,10
14,True,13,13
15,True,19,19
16,True,12,12
17,True,12,12
18,True,13,13
19,True,10,10
20,True,12,12
21,True,12,12
22,True,11,11
23,True,16,16
24,True,9,9
25,True,8,8
26,True,12,12
27,True,9,9
28,True,17,17
29,True,10,10
30,True,15,15
31,True,11,11
32,True,8,8
33,True,10,10
34,True,11,11
35,True,9,9
36,True,13,13
37,True,8,8
38,True,14,14
39,True,8,8
40,True,13,13
41,True,9,9
42,True,12,12
43,True,11,11
44,True,9,9
45,True,11,11
46,True,10,10
47,True,10,10
48,True,16,16
49,True,12,12
50,True,13,13
51,True,11,11
52,True,15,15
53,True,12,12
54,True,12,12
55,True,15,15
56,True,15,15
57,True,11,11
58,True,11,11
59,True,19,19
60,True,14,14
61,True,10,10
62,True,14,14
63,True,10,10
64,True,10,10
65,True,15,15
66,True,10,10
67,True,13,13
68,True,11,11
69,True,7,7
70,True,11,11
71,True,13,13
72,True,11,11
73,True,11,11
74,True,9,9
75,True,18,18
76,True,11,11
77,True,12,12
78,True,11,11
79,True,9,9
80,True,12,12
81,True,14,14
82,True,11,11
83,True,12,12
84,True,9,9
85,True,10,10
86,True,14,14
87,True,13,13
88,True,10,10
89,True,11,11
90,True,8,8
91,True,15,15
92,True,12,12
93,True,10,10
94,True,9,9
95,True,14,14
96,True,11,11
97,True,14,14
98,True,10,10
99,True,13,13
