step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,26.6,4.402019738458447,20,34,0.49607975153093625,0.03685955910227841,0.4367088607594936,0.5629139072847682,1.17625,0.06599926346390368,1.0625,1.275,0.1719452230259192,0.021851515943899315,0.1401041666666666,0.2079613095238096,0.5125380477698777,0.03649635560167661,0.4585152838427948,0.5648148148148148,3.6,1.646545204697129,2,7
1,26.0,5.033222956847166,19,34,0.4983244277808394,0.035777493596144266,0.4493670886075949,0.5620915032679739,1.18125,0.06852868418082729,1.0625,1.2875,0.17243522076552137,0.021628535378782256,0.1401041666666666,0.2073958333333333,0.5151207078576951,0.0385949275721333,0.4585152838427948,0.5648148148148148,3.7,1.766981104093143,2,7
2,25.9,5.087020520675908,19,34,0.49902618216680433,0.03645003273673407,0.4493670886075949,0.5620915032679739,1.1824999999999999,0.06876893678592574,1.0625,1.2875,0.17372242314647374,0.021602969341437295,0.1401041666666666,0.2073958333333333,0.5167420985727462,0.03948890449712041,0.4585152838427948,0.5648148148148148,3.9,1.7919573407620817,2,7
3,26.0,5.033222956847166,19,34,0.4987540733232668,0.036174580215712134,0.4493670886075949,0.5620915032679739,1.1824999999999999,0.06876893678592574,1.0625,1.2875,0.17366587552742613,0.02160085919247889,0.1401041666666666,0.2073958333333333,0.5171987195773124,0.039564130840475734,0.4585152838427948,0.5648148148148148,3.9,1.7919573407620817,2,7
4,25.9,5.152130088074683,19,34,0.4987540733232668,0.036174580215712134,0.4493670886075949,0.5620915032679739,1.18625,0.07155271949176123,1.0625,1.2875,0.1739828398131404,0.02216664128469674,0.1401041666666666,0.2105654761904762,0.5183097018788814,0.0398665731203477,0.4585152838427948,0.5648148148148148,4.0,1.9436506316151003,2,7
5,24.0,4.281744192888376,19,32,0.5037111153271308,0.04172585086895015,0.4493670886075949,0.5620915032679739,1.2107142857142856,0.0614192268639994,1.1125,1.2875,0.1771608595970033,0.02212244820400238,0.1457738095238095,0.2105654761904762,0.529753595936322,0.03372167247415866,0.4727272727272727,0.5648148148148148,4.428571428571429,2.14919697074224,2,7
6,23.833333333333332,4.355073669487885,19,31,0.5118666326749244,0.041001054326884646,0.4493670886075949,0.5620915032679739,1.2020833333333334,0.06680974230354933,1.1125,1.2875,0.17301829038577451,0.02161091661889898,0.1457738095238095,0.2105654761904762,0.525812646975599,0.03146884171860081,0.4727272727272727,0.5590909090909091,4.0,2.0,2,7
7,24.5,4.654746681256314,20,31,0.486848465855021,0.03422785102253862,0.4493670886075949,0.5306122448979592,1.225,0.05496210815947049,1.1625,1.2875,0.18473817058468953,0.017312797475961955,0.1741369047619047,0.2105654761904762,0.532497699693617,0.0152273340954041,0.518348623853211,0.5534883720930233,4.75,2.0615528128088303,3,7
8,25.0,5.5677643628300215,20,31,0.4847794359548428,0.04161289908267218,0.4493670886075949,0.5306122448979592,1.2041666666666666,0.04389855730355308,1.1625,1.25,0.1868135925256178,0.020585314602118505,0.1741369047619047,0.2105654761904762,0.525500808893815,0.007353140165497788,0.518348623853211,0.5330396475770925,4.333333333333333,2.309401076758503,3,7
9,25.5,7.7781745930520225,20,31,0.46186303148328456,0.017671931889439843,0.4493670886075949,0.4743589743589743,1.20625,0.06187184335382284,1.1625,1.25,0.19315193640747436,0.024626464130044667,0.1757383966244725,0.2105654761904762,0.5256941357151518,0.01038812249772908,0.518348623853211,0.5330396475770925,5.0,2.8284271247461903,3,7
10,31.0,,31,31,0.4743589743589743,,0.4743589743589743,0.4743589743589743,1.1625,,1.1625,1.1625,0.1757383966244725,,0.1757383966244725,0.1757383966244725,0.518348623853211,,0.518348623853211,0.518348623853211,3.0,,3,3
11,31.0,,31,31,0.4743589743589743,,0.4743589743589743,0.4743589743589743,1.1625,,1.1625,1.1625,0.1757383966244725,,0.1757383966244725,0.1757383966244725,0.518348623853211,,0.518348623853211,0.518348623853211,3.0,,3,3
12,31.0,,31,31,0.4743589743589743,,0.4743589743589743,0.4743589743589743,1.1625,,1.1625,1.1625,0.1757383966244725,,0.1757383966244725,0.1757383966244725,0.518348623853211,,0.518348623853211,0.518348623853211,3.0,,3,3
