step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,26.0,4.876246279442598,19,32,0.5039979756907622,0.043757560460466347,0.42948717948717946,0.564625850340136,1.1824999999999999,0.050069396285999324,1.1,1.275,0.17823715340566607,0.013188907716732416,0.160625,0.2001934523809524,0.49637467799921975,0.039144392484652415,0.42857142857142855,0.5560538116591929,4.3,2.3118054512532935,1,9
1,25.9,5.021066730398145,19,32,0.5067006783934649,0.045667292621956,0.42948717948717946,0.564625850340136,1.1824999999999999,0.050069396285999324,1.1,1.275,0.17759132007233275,0.012108135227775608,0.160625,0.19380952380952382,0.49681306281260457,0.03932573578570902,0.42857142857142855,0.5560538116591929,4.2,2.2997584414213788,1,9
2,25.9,5.021066730398145,19,32,0.5067006783934649,0.045667292621956,0.42948717948717946,0.564625850340136,1.1824999999999999,0.050069396285999324,1.1,1.275,0.17759132007233275,0.012108135227775608,0.160625,0.19380952380952382,0.49681306281260457,0.03932573578570902,0.42857142857142855,0.5560538116591929,4.2,2.2997584414213788,1,9
3,25.9,5.021066730398145,19,32,0.5067006783934649,0.045667292621956,0.42948717948717946,0.564625850340136,1.1824999999999999,0.050069396285999324,1.1,1.275,0.17759132007233275,0.012108135227775608,0.160625,0.19380952380952382,0.49681306281260457,0.03932573578570902,0.42857142857142855,0.5560538116591929,4.2,2.2997584414213788,1,9
4,25.9,5.021066730398145,19,32,0.5067006783934649,0.045667292621956,0.42948717948717946,0.564625850340136,1.1824999999999999,0.050069396285999324,1.1,1.275,0.17759132007233275,0.012108135227775608,0.160625,0.19380952380952382,0.49681306281260457,0.03932573578570902,0.42857142857142855,0.5560538116591929,4.2,2.2997584414213788,1,9
5,19.0,,19,19,0.5472972972972973,,0.5472972972972973,0.5472972972972973,1.1875,,1.1875,1.1875,0.19373511904761906,,0.19373511904761906,0.19373511904761906,0.5133928571428571,,0.5133928571428571,0.5133928571428571,4.0,,4,4
6,18.0,,18,18,0.5328947368421053,,0.5328947368421053,0.5328947368421053,1.25,,1.25,1.25,0.20331845238095242,,0.20331845238095242,0.20331845238095242,0.5286343612334802,,0.5286343612334802,0.5286343612334802,6.0,,6,6
7,18.0,,18,18,0.5328947368421053,,0.5328947368421053,0.5328947368421053,1.25,,1.25,1.25,0.20331845238095242,,0.20331845238095242,0.20331845238095242,0.5286343612334802,,0.5286343612334802,0.5286343612334802,6.0,,6,6
8,18.0,,18,18,0.5328947368421053,,0.5328947368421053,0.5328947368421053,1.25,,1.25,1.25,0.20331845238095242,,0.20331845238095242,0.20331845238095242,0.5286343612334802,,0.5286343612334802,0.5286343612334802,6.0,,6,6
9,18.0,,18,18,0.5328947368421053,,0.5328947368421053,0.5328947368421053,1.25,,1.25,1.25,0.20331845238095242,,0.20331845238095242,0.20331845238095242,0.5286343612334802,,0.5286343612334802,0.5286343612334802,6.0,,6,6
10,18.0,,18,18,0.5328947368421053,,0.5328947368421053,0.5328947368421053,1.25,,1.25,1.25,0.20331845238095242,,0.20331845238095242,0.20331845238095242,0.5286343612334802,,0.5286343612334802,0.5286343612334802,6.0,,6,6
11,18.0,,18,18,0.5328947368421053,,0.5328947368421053,0.5328947368421053,1.25,,1.25,1.25,0.20331845238095242,,0.20331845238095242,0.20331845238095242,0.5286343612334802,,0.5286343612334802,0.5286343612334802,6.0,,6,6
