run_id,converged,convergence_step,final_step
0,True,82,86
1,True,88,92
2,True,249,253
3,True,93,97
4,True,108,112
5,True,44,48
6,True,161,165
7,True,65,69
8,True,145,149
9,True,54,58
10,True,162,166
11,True,174,178
12,True,51,55
13,True,42,46
14,True,90,94
15,True,71,75
16,True,58,62
17,True,28,32
18,True,317,321
19,True,148,152
20,True,96,100
21,True,71,75
22,True,74,78
23,True,53,57
24,True,43,47
25,True,35,39
26,True,74,78
27,True,45,49
28,True,93,97
29,True,192,196
30,True,80,84
31,True,206,210
32,True,25,29
33,True,47,51
34,True,250,254
35,True,61,65
36,True,79,83
37,True,65,69
38,True,88,92
39,True,138,142
40,True,72,76
41,True,51,55
42,True,107,111
43,True,100,104
44,True,165,169
45,True,198,202
46,True,43,47
47,True,29,33
48,True,46,50
49,True,35,39
50,True,53,57
51,True,94,98
52,True,80,84
53,True,127,131
54,True,39,43
55,True,73,77
56,True,138,142
57,True,66,70
58,True,78,82
59,True,338,342
60,True,37,41
61,True,129,133
62,True,77,81
63,True,95,99
64,True,69,73
65,True,125,129
66,True,31,35
67,True,31,35
68,True,34,38
69,True,183,187
70,True,65,69
71,True,99,103
72,True,66,70
73,True,91,95
74,True,105,109
75,True,85,89
76,True,10,14
77,True,62,66
78,True,50,54
79,True,86,90
80,True,73,77
81,True,81,85
82,True,42,46
83,True,298,302
84,True,100,104
85,True,95,99
86,True,83,87
87,True,216,220
88,True,53,57
89,True,219,223
90,True,53,57
91,True,48,52
92,True,37,41
93,True,70,74
94,True,26,30
95,True,88,92
96,True,123,127
97,True,78,82
98,True,123,127
99,True,69,73
