run_id,converged,convergence_step,final_step
0,False,,150
1,False,,123
2,False,,169
3,False,,346
4,False,,220
5,False,,136
6,False,,153
7,False,,184
8,False,,185
9,False,,83
10,False,,99
11,False,,122
12,False,,151
13,False,,54
14,False,,138
15,False,,102
16,False,,85
17,False,,129
18,False,,86
19,False,,141
20,False,,106
21,False,,111
22,False,,139
23,False,,72
24,False,,138
25,False,,140
26,False,,128
27,False,,232
28,False,,299
29,False,,135
30,False,,74
31,False,,63
32,False,,99
33,False,,241
34,False,,78
35,False,,83
36,False,,179
37,False,,30
38,False,,57
39,False,,131
40,False,,56
41,False,,245
42,False,,130
43,False,,104
44,False,,314
45,False,,116
46,False,,25
47,False,,121
48,False,,41
49,False,,110
50,False,,73
51,False,,53
52,False,,72
53,False,,88
54,False,,68
55,False,,99
56,False,,140
57,False,,83
58,False,,180
59,False,,94
60,False,,292
61,False,,89
62,False,,166
63,False,,389
64,False,,144
65,False,,170
66,False,,127
67,False,,352
68,False,,100
69,False,,155
70,False,,189
71,False,,123
72,False,,257
73,False,,70
74,False,,52
75,False,,202
76,False,,113
77,False,,109
78,False,,221
79,False,,42
80,False,,126
81,False,,193
82,False,,121
83,False,,88
84,False,,340
85,False,,61
86,False,,120
87,False,,216
88,False,,245
89,False,,85
90,False,,120
91,False,,134
92,False,,179
93,False,,126
94,False,,370
95,False,,195
96,False,,159
97,False,,45
98,False,,303
99,False,,90
