step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,26.4,4.669047011971501,19,31,0.49813030107147754,0.0346434331095005,0.4551282051282051,0.538961038961039,1.1775,0.05822907349426061,1.0875,1.25,0.18708226495726493,0.030414351860696954,0.1476785714285714,0.2209077380952381,0.49910487259641306,0.03323335149235817,0.4657534246575342,0.5426008968609866,5.0,2.6457513110645907,1,8
1,26.6,1.8165902124584947,24,29,0.4923709220938298,0.035997296571597524,0.4556962025316455,0.5526315789473685,1.165,0.046266888808304416,1.1125,1.225,0.1731517857142857,0.017660563569662002,0.1472023809523809,0.1924255952380952,0.5025222204116917,0.014351367170683369,0.4887892376681614,0.5219512195121951,3.4,2.3021728866442674,1,6
2,25.0,6.2048368229954285,19,33,0.5141948970026864,0.03485456266635806,0.4657534246575342,0.56,1.1775,0.0802340326794061,1.0625,1.275,0.17296130952380948,0.019346625980434247,0.1469940476190476,0.1921428571428571,0.5058892965371911,0.046086517931416146,0.4434389140271493,0.5633187772925764,4.8,3.8340579025361627,2,11
3,26.0,4.0620192023179795,21,30,0.5338559296929002,0.05312638919649794,0.4666666666666667,0.5961538461538461,1.1300000000000001,0.0429389100932941,1.0875,1.1875,0.16882738095238087,0.013092673416334478,0.1499404761904761,0.1852232142857142,0.47911745781339654,0.020342932656662625,0.4454545454545454,0.4954954954954955,2.6,3.1304951684997055,0,8
4,22.6,2.6076809620810595,19,26,0.5000477738598754,0.03712497958917482,0.4589041095890411,0.5548387096774193,1.225,0.060595998217704096,1.15,1.3125,0.17690457353827602,0.030979806104626747,0.1357738095238095,0.2114285714285713,0.5088451413987085,0.021531329264143254,0.4823008849557522,0.5330188679245284,4.2,3.1144823004794873,1,9
5,25.6,4.03732584763727,22,32,0.5267705255618229,0.03275111878882114,0.5,0.5684931506849316,1.185,0.03468609231377906,1.1375,1.225,0.1750119047619047,0.01916093063384716,0.1506398809523809,0.1960565476190476,0.48050414468356906,0.018541136934820894,0.4608695652173913,0.509009009009009,4.8,2.280350850198276,2,7
6,25.6,1.3416407864998738,24,27,0.5379388587865408,0.026625813278965217,0.5071428571428571,0.5761589403973509,1.1775,0.05618051263561063,1.1,1.25,0.17212499999999994,0.02354915157409484,0.1399702380952381,0.1974255952380952,0.49390528608330386,0.03277219496806536,0.4504504504504504,0.5285714285714286,4.4,2.5099800796022267,2,7
7,27.4,2.509980079602227,25,31,0.4948861686901216,0.031990480109406076,0.4657534246575342,0.5414012738853503,1.1275,0.03468609231377899,1.1,1.1875,0.17168749999999997,0.01109964243004386,0.1583333333333333,0.1885267857142857,0.4815909021335158,0.029259876249950422,0.4428571428571428,0.5253456221198156,2.2,1.0954451150103321,1,4
8,28.6,3.1304951684997055,26,32,0.4948348817195196,0.05469174581224573,0.4342105263157895,0.5616438356164384,1.165,0.01629800601300666,1.15,1.1875,0.17344345238095232,0.009661512625450324,0.1622172619047618,0.1866666666666667,0.5035960891922865,0.008906728265084986,0.4927536231884058,0.5159817351598174,2.6,0.8944271909999159,2,4
9,25.4,3.361547262794322,22,31,0.47674437707716794,0.0416777650566532,0.4394904458598726,0.5231788079470199,1.1975,0.07675040716504375,1.1375,1.325,0.18444699367088604,0.020948675863355963,0.1614880952380952,0.2073688969258589,0.5236795462601914,0.0427024262929276,0.4841628959276018,0.5927601809954751,5.4,3.1304951684997055,2,10
