step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,26.5,3.7626978003610794,20,34,0.5031051250056187,0.042824183243176904,0.41605839416058393,0.5743243243243243,1.189375,0.06233860740892604,1.075,1.3125,0.17753222950572634,0.026007189085124467,0.1424702380952381,0.21864583333333334,0.500699549079494,0.037056853290693595,0.42857142857142855,0.5592417061611374,4.05,2.5230516193063135,0,9
1,26.8,4.047091223140523,20,36,0.49961748508852183,0.04724084212866109,0.4050632911392405,0.5843373493975904,1.183125,0.07524903828726247,1.05,1.325,0.17673942998369424,0.028398267673982947,0.12964285714285714,0.25437499999999996,0.5032499119707614,0.03613419221229123,0.44396551724137934,0.5892857142857143,3.45,2.6650762801367183,0,9
2,26.8,4.652107615173782,21,38,0.4833412676909785,0.049980102622514753,0.3945578231292517,0.6139240506329114,1.1949999999999998,0.06182530566889767,1.075,1.3,0.18304863622664255,0.028680183473226598,0.1203720238095238,0.23972272453285115,0.5084680670146093,0.0269038247495348,0.45535714285714285,0.5555555555555556,4.2,3.45801890348247,0,11
3,26.95,5.286278165411395,19,35,0.4919550644949622,0.033702450497623555,0.4304635761589404,0.5548387096774193,1.18875,0.06189177736390486,1.0875,1.3,0.1761392593429777,0.024593979971961947,0.13361607142857143,0.21857142857142858,0.5026333771054416,0.04668681141505734,0.413953488372093,0.6090909090909091,3.7,1.9493588689617927,1,7
4,26.15,4.439950213092129,19,34,0.4884280772475723,0.04487483024665026,0.34838709677419355,0.5422535211267606,1.1981249999999999,0.06299475228770623,1.1125,1.325,0.17563690476190477,0.021650587507432567,0.14154761904761903,0.20946428571428574,0.5062828607343193,0.03586072074666047,0.4481132075471698,0.5576036866359447,3.7,2.9397457820631185,0,9
5,27.35,5.363374821293419,17,39,0.4969246368029294,0.033270740717469924,0.4178082191780822,0.5746268656716418,1.1724999999999999,0.057582892196243574,1.0875,1.275,0.169578125,0.021390760397791923,0.1302827380952381,0.20953869047619045,0.49526053316344576,0.03224532192674258,0.43946188340807174,0.5509259259259259,2.7,2.6773907172154723,0,8
6,25.1,3.985500034665137,18,33,0.5100828154042659,0.035111904533000796,0.4605263157894737,0.5833333333333334,1.1868750000000001,0.054933422622777034,1.075,1.2875,0.1750952380952381,0.019945933000973644,0.12751488095238095,0.22477678571428572,0.506016022230107,0.03421945710388522,0.4305555555555556,0.5580357142857143,3.55,2.0641042405337657,0,8
7,25.5,2.982404540317303,20,31,0.4951090795011307,0.044822382184502456,0.423841059602649,0.5723684210526315,1.183125,0.06728706667781899,1.075,1.3125,0.1825986475286317,0.024206417169137233,0.14291666666666666,0.23430059523809527,0.5084444083640409,0.03270507060501272,0.44036697247706424,0.5707762557077626,3.85,2.7582412397834433,0,11
8,26.45,3.9798836269683227,20,33,0.5081421100894097,0.03469846900683815,0.41139240506329117,0.567741935483871,1.1768750000000001,0.05445226663882101,1.1,1.3125,0.17436444205846896,0.023340998820019575,0.13700892857142857,0.2394047619047619,0.49995150127607574,0.03934221152251043,0.43601895734597157,0.5964125560538116,3.5,1.8496087779795347,0,6
9,28.2,4.311551192344877,19,37,0.5002913129939462,0.04489455460258851,0.4161490683229814,0.5921052631578947,1.16,0.04206824030198151,1.1,1.2375,0.16704985119047616,0.01649144959667313,0.12967261904761904,0.1930654761904762,0.4920254228058937,0.02464472189509612,0.4423963133640553,0.5370370370370371,3.0,2.2242680641174144,0,10
10,27.8,3.8058127287500354,22,35,0.49707272672080166,0.04382993323521446,0.4140127388535032,0.5763888888888888,1.18875,0.058756298654518285,1.1125,1.375,0.1744505161241712,0.020620899139322694,0.13302083333333334,0.20803571428571432,0.5023342319540581,0.03938611217016707,0.4398148148148148,0.6,3.55,2.4809802816416613,1,11
11,27.25,5.5143353848711545,18,39,0.49072701726552725,0.045591225575270615,0.4025157232704403,0.6028368794326241,1.1824999999999999,0.06594455406268446,1.075,1.325,0.17731038087703438,0.02357798725764832,0.14157738095238095,0.22461309523809528,0.49880695042238815,0.03906106897469747,0.44075829383886256,0.5682819383259912,3.65,2.277463963548745,0,8
12,28.4,6.0297508022174595,17,41,0.47533243768527517,0.03401066141575687,0.3825503355704698,0.532051282051282,1.1712500000000001,0.051793491767534734,1.1125,1.3,0.18062127976190476,0.019123528225905653,0.15668154761904762,0.21870535714285716,0.4978816184472099,0.03747587606817603,0.43601895734597157,0.5898617511520737,3.4,2.4148662379867796,1,9
