clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id
27,0.5466666666666666,1.1125,0.16011904761904763,0.45622119815668205,3,0,0
27,0.5466666666666666,1.1125,0.16011904761904763,0.45622119815668205,3,1,0
27,0.5466666666666666,1.1125,0.16011904761904763,0.45622119815668205,3,2,0
27,0.5466666666666666,1.1125,0.16011904761904763,0.45622119815668205,3,3,0
27,0.5466666666666666,1.1125,0.16011904761904763,0.45622119815668205,3,4,0
27,0.5069444444444444,1.1625,0.14805059523809522,0.48095238095238096,0,0,1
27,0.5069444444444444,1.1625,0.14805059523809522,0.48095238095238096,0,1,1
27,0.5069444444444444,1.1625,0.14805059523809522,0.48095238095238096,0,2,1
27,0.5069444444444444,1.1625,0.14805059523809522,0.48095238095238096,0,3,1
27,0.5069444444444444,1.1625,0.14805059523809522,0.48095238095238096,0,4,1
23,0.5302013422818792,1.2375,0.17535714285714285,0.5395348837209303,5,0,2
23,0.5302013422818792,1.2375,0.17535714285714285,0.5395348837209303,5,1,2
23,0.5302013422818792,1.2375,0.17535714285714285,0.5395348837209303,5,2,2
23,0.5302013422818792,1.2375,0.17535714285714285,0.5395348837209303,5,3,2
23,0.5302013422818792,1.2375,0.17535714285714285,0.5395348837209303,5,4,2
22,0.54,1.2625,0.17794642857142856,0.543778801843318,6,5,2
22,0.54,1.2625,0.17794642857142856,0.543778801843318,6,6,2
22,0.54,1.2625,0.17794642857142856,0.543778801843318,6,7,2
22,0.54,1.2625,0.17794642857142856,0.543778801843318,6,8,2
22,0.54,1.2625,0.17794642857142856,0.543778801843318,6,9,2
22,0.54,1.2625,0.17794642857142856,0.543778801843318,6,10,2
27,0.525974025974026,1.1,0.1602529761904762,0.4372093023255814,2,0,3
27,0.525974025974026,1.1,0.1602529761904762,0.4372093023255814,2,1,3
27,0.525974025974026,1.1,0.1602529761904762,0.4372093023255814,2,2,3
27,0.525974025974026,1.1,0.1602529761904762,0.4372093023255814,2,3,3
27,0.525974025974026,1.1,0.1602529761904762,0.4372093023255814,2,4,3
34,0.5,1.1,0.1486458333333333,0.4666666666666667,2,0,4
36,0.4857142857142857,1.1,0.15525297619047618,0.46634615384615385,2,1,4
36,0.4857142857142857,1.1,0.15525297619047618,0.46634615384615385,2,2,4
36,0.4857142857142857,1.1,0.15525297619047618,0.46634615384615385,2,3,4
36,0.4857142857142857,1.1,0.15525297619047618,0.46634615384615385,2,4,4
36,0.4857142857142857,1.1,0.15525297619047618,0.46634615384615385,2,5,4
35,0.4782608695652174,1.1,0.16078869047619046,0.47115384615384615,2,6,4
35,0.4782608695652174,1.1,0.16078869047619046,0.47115384615384615,2,7,4
35,0.4782608695652174,1.1,0.16078869047619046,0.47115384615384615,2,8,4
35,0.4782608695652174,1.1,0.16078869047619046,0.47115384615384615,2,9,4
35,0.4782608695652174,1.1,0.16078869047619046,0.47115384615384615,2,10,4
35,0.4782608695652174,1.1,0.16078869047619046,0.47115384615384615,2,11,4
25,0.5067567567567568,1.1625,0.20851190476190476,0.5070422535211268,5,0,5
25,0.5067567567567568,1.1625,0.20851190476190476,0.5070422535211268,5,1,5
25,0.5067567567567568,1.1625,0.20851190476190476,0.5070422535211268,5,2,5
24,0.5135135135135135,1.175,0.19913690476190476,0.5093457943925234,5,3,5
24,0.5135135135135135,1.175,0.19913690476190476,0.5093457943925234,5,4,5
24,0.5135135135135135,1.175,0.19913690476190476,0.5093457943925234,5,5,5
24,0.5135135135135135,1.175,0.19913690476190476,0.5093457943925234,5,6,5
24,0.5135135135135135,1.175,0.19913690476190476,0.5093457943925234,5,7,5
24,0.5135135135135135,1.175,0.19913690476190476,0.5093457943925234,5,8,5
32,0.5214285714285715,1.15,0.1711904761904762,0.4716981132075472,1,0,6
32,0.5214285714285715,1.15,0.1711904761904762,0.4716981132075472,1,1,6
32,0.5214285714285715,1.15,0.1711904761904762,0.4716981132075472,1,2,6
32,0.5214285714285715,1.15,0.1711904761904762,0.4716981132075472,1,3,6
32,0.5214285714285715,1.15,0.1711904761904762,0.4716981132075472,1,4,6
24,0.45695364238410596,1.225,0.18513392857142857,0.5339366515837104,3,0,7
24,0.45695364238410596,1.225,0.18513392857142857,0.5339366515837104,3,1,7
24,0.45695364238410596,1.225,0.18513392857142857,0.5339366515837104,3,2,7
23,0.45695364238410596,1.2375,0.1865922619047619,0.545045045045045,4,3,7
23,0.45695364238410596,1.2375,0.1865922619047619,0.545045045045045,4,4,7
23,0.45695364238410596,1.2375,0.1865922619047619,0.545045045045045,4,5,7
23,0.45695364238410596,1.2375,0.1865922619047619,0.545045045045045,4,6,7
23,0.45695364238410596,1.2375,0.1865922619047619,0.545045045045045,4,7,7
23,0.45695364238410596,1.2375,0.1865922619047619,0.545045045045045,4,8,7
22,0.4647887323943662,1.4375,0.23129464285714282,0.5727699530516432,12,0,8
22,0.4647887323943662,1.4375,0.23129464285714282,0.5727699530516432,12,1,8
19,0.48299319727891155,1.4375,0.2198809523809524,0.5787037037037037,12,2,8
19,0.48299319727891155,1.4375,0.2198809523809524,0.5787037037037037,12,3,8
19,0.48299319727891155,1.4375,0.2198809523809524,0.5787037037037037,12,4,8
19,0.48299319727891155,1.4375,0.2198809523809524,0.5787037037037037,12,5,8
19,0.48299319727891155,1.4375,0.2198809523809524,0.5787037037037037,12,6,8
19,0.48299319727891155,1.4375,0.2198809523809524,0.5787037037037037,12,7,8
27,0.5328947368421053,1.125,0.17970238095238095,0.4794520547945205,3,0,9
27,0.5328947368421053,1.125,0.17970238095238095,0.4794520547945205,3,1,9
27,0.5328947368421053,1.125,0.17970238095238095,0.4794520547945205,3,2,9
27,0.5328947368421053,1.125,0.17970238095238095,0.4794520547945205,3,3,9
27,0.5328947368421053,1.125,0.17970238095238095,0.4794520547945205,3,4,9
