step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,28.4,3.646916505762094,24,32,0.5260334903192045,0.07093715863944874,0.43537414965986393,0.5986394557823129,1.1824999999999999,0.05902859476558796,1.125,1.275,0.17430952380952383,0.03833376312240578,0.1370386904761905,0.23608630952380955,0.5066088086228266,0.043132366311627035,0.4744186046511628,0.5746606334841629,4.2,2.16794833886788,2,7
1,27.0,6.782329983125268,20,36,0.5191573022141087,0.05449162880757032,0.45569620253164556,0.6050955414012739,1.1675,0.062249497989943635,1.1,1.25,0.16375,0.0285265722412958,0.13226190476190477,0.19660714285714287,0.5039974838299197,0.047199842410778195,0.4383561643835616,0.5550660792951542,2.6,1.8165902124584952,0,5
2,27.6,4.560701700396551,23,35,0.5227890960286807,0.03439343612749998,0.4774193548387097,0.5705128205128205,1.155,0.07048936089935848,1.0875,1.2375,0.16486607142857143,0.024027556846024645,0.13922619047619048,0.19105654761904764,0.48521740020217063,0.034236209640866135,0.45982142857142855,0.545045045045045,2.4,1.816590212458495,0,5
3,26.6,5.683308895353129,20,35,0.5016818138383485,0.028607343304880177,0.46835443037974683,0.5375,1.1724999999999999,0.08678277478854893,1.075,1.3,0.17572619047619048,0.025893708935086256,0.14008928571428572,0.2046875,0.5008092350182772,0.03639432963961301,0.4672489082969432,0.5570175438596491,3.4,2.5099800796022267,1,7
4,28.2,6.760177512462229,20,37,0.5010376789234109,0.032232725384755696,0.45806451612903226,0.5390070921985816,1.1824999999999999,0.08413159335231923,1.0875,1.3125,0.17365476190476192,0.02758957386067231,0.14510416666666667,0.20483630952380955,0.49474553196866883,0.04677379215566673,0.45089285714285715,0.5688073394495413,3.6,2.1908902300206643,1,7
5,28.2,8.814760348415605,20,41,0.506931077213211,0.03524233795711795,0.4768211920529801,0.5592105263157895,1.1625,0.06673173907519567,1.1125,1.2625,0.1670448312236287,0.024358177124813023,0.13340867992766728,0.1900297619047619,0.49171388255875215,0.0448776685669946,0.44144144144144143,0.5526315789473685,4.2,1.3038404810405297,3,6
6,30.2,5.215361924162119,26,38,0.5024151779652587,0.04541698683186145,0.4444444444444444,0.5569620253164557,1.1625,0.038527587518556006,1.1125,1.2,0.154855824291742,0.026336772615199268,0.12371910789632307,0.18408679927667268,0.4857672917927001,0.019466999230098984,0.45689655172413796,0.5111111111111111,3.4,1.1401754250991378,2,5
7,30.6,8.848728722251575,20,41,0.45220255860241565,0.060325357188980015,0.38311688311688313,0.5161290322580645,1.1875,0.05590169943749466,1.1,1.25,0.17535714285714285,0.03842021421737243,0.1345386904761905,0.2271577380952381,0.5146905014808946,0.04039340782117817,0.46875,0.5720720720720721,4.8,2.16794833886788,2,8
8,26.8,7.694153624668538,17,36,0.49303335646355195,0.029160660045928075,0.4533333333333333,0.5316455696202531,1.1925000000000001,0.07158910531638181,1.1,1.3,0.17489880952380954,0.0215816175028124,0.15471726190476193,0.2113095238095238,0.5228240370441508,0.041000298679028525,0.48598130841121495,0.5682819383259912,5.2,2.588435821108957,2,9
9,29.0,8.093207028119323,21,41,0.49092746802524756,0.03220249783474068,0.43506493506493504,0.5135135135135135,1.1925000000000001,0.06590713163232043,1.125,1.2625,0.1669404761904762,0.024904452209019767,0.14160714285714288,0.19626488095238098,0.5216218149247506,0.04659428469484164,0.4681818181818182,0.5779816513761468,4.6,2.4083189157584592,2,8
10,29.6,8.905054744357274,21,43,0.5040901073800839,0.06425667532658769,0.4370860927152318,0.6071428571428571,1.16,0.05618051263561059,1.1125,1.2375,0.1622261904761905,0.017554471125355204,0.15120535714285716,0.1928125,0.5084068663790344,0.05579022354733551,0.4439461883408072,0.5938864628820961,3.0,1.2247448713915892,2,5
11,31.2,7.694153624668538,21,38,0.4643223577343109,0.0417843393061699,0.3974358974358974,0.5128205128205128,1.2125,0.1444277501036417,1.1,1.4,0.16944345238095238,0.052741294293896054,0.12626488095238092,0.23845238095238094,0.5125417569468202,0.0696910743331934,0.43555555555555553,0.5900900900900901,5.0,5.431390245600108,0,13
12,31.6,5.89915248150105,25,39,0.47998174351611933,0.04935188974200745,0.43243243243243246,0.5515151515151515,1.185,0.07468684623144828,1.1,1.2875,0.16417857142857142,0.035677021109484446,0.13123511904761903,0.20691964285714287,0.5173416631840058,0.04918560321832127,0.45,0.5627705627705628,3.6,2.6076809620810595,0,7
13,28.8,7.085195833567341,19,35,0.46663560023724904,0.045959303939342104,0.42168674698795183,0.5393939393939394,1.1975,0.07093130479555557,1.125,1.3,0.1554910714285714,0.02466236719056337,0.12669642857142857,0.19095238095238093,0.5231163523026532,0.04386846420044005,0.4721030042918455,0.5726495726495726,3.4,2.073644135332772,1,6
14,29.8,5.019960159204453,22,34,0.47030725917902017,0.0220748319428703,0.4423076923076923,0.5030674846625767,1.1925000000000001,0.05199158585771348,1.1375,1.275,0.17313392857142856,0.02195083883531515,0.13834821428571428,0.19705357142857144,0.5197717714043488,0.04337433586578594,0.47555555555555556,0.574468085106383,3.6,2.073644135332772,1,6
15,31.4,7.197221686178632,24,40,0.46189803906048627,0.028649705468963265,0.41975308641975306,0.4943181818181818,1.1625,0.06434768838116879,1.075,1.25,0.1662559523809524,0.024023449756762724,0.12663690476190476,0.18800595238095238,0.5146194019027185,0.04355121144090273,0.4579831932773109,0.5646551724137931,2.8,1.4832396974191326,1,5
16,32.8,4.54972526643093,28,39,0.462586700508793,0.027985005209887427,0.4189189189189189,0.4941860465116279,1.1575,0.04383919479187549,1.1125,1.2,0.16528571428571429,0.023781336551655496,0.12563988095238096,0.18206845238095237,0.5067704927193695,0.036754552872553616,0.45161290322580644,0.5414847161572053,3.8,1.7888543819998317,1,5
