step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,27.666666666666668,1.5275252316519465,26,29,0.517381174277726,0.05056459099805217,0.4729729729729729,0.5724137931034483,1.1708333333333334,0.03145764348029477,1.1375,1.2,0.17109126984126977,0.02173583207731325,0.1473511904761904,0.1900148809523809,0.4984499214093983,0.017955351692752697,0.4788732394366197,0.5141509433962265,2.6666666666666665,1.1547005383792515,2,4
1,27.666666666666668,1.5275252316519465,26,29,0.517381174277726,0.05056459099805217,0.4729729729729729,0.5724137931034483,1.1708333333333334,0.03145764348029477,1.1375,1.2,0.17109126984126977,0.02173583207731325,0.1473511904761904,0.1900148809523809,0.4984499214093983,0.017955351692752697,0.4788732394366197,0.5141509433962265,2.6666666666666665,1.1547005383792515,2,4
2,26.0,3.5590260840104375,21,29,0.5198851957767876,0.04158844875528842,0.4729729729729729,0.5724137931034483,1.171875,0.025769410160110365,1.1375,1.2,0.16975074404761897,0.017948601663524622,0.1473511904761904,0.1900148809523809,0.49465083818623534,0.01651247719008362,0.4788732394366197,0.5141509433962265,2.75,0.9574271077563381,2,4
3,26.333333333333332,2.8751811537130436,21,29,0.5247153672651742,0.03336513574619909,0.4729729729729729,0.5724137931034483,1.1666666666666667,0.029226129861250335,1.1375,1.2,0.17622767857142851,0.015350605814998707,0.1473511904761904,0.1900148809523809,0.5026091751486277,0.028557763296398416,0.4682926829268293,0.5495495495495496,2.3333333333333335,1.0327955589886446,1,4
4,24.666666666666668,3.0000000000000004,21,29,0.49028487505573765,0.06553177869358222,0.35,0.5724137931034483,1.2277777777777779,0.09223309842157765,1.1375,1.45,0.19207010582010575,0.029924507862158597,0.1473511904761904,0.2601934523809524,0.5302067818747074,0.040272448491697525,0.4788732394366197,0.6262135922330098,4.666666666666667,4.153311931459037,0,14
5,21.166666666666668,2.0412414523193148,18,24,0.4940476960336005,0.07308898159177246,0.35,0.54375,1.2666666666666666,0.10358169078880035,1.1625,1.45,0.2075744047619047,0.029112854269723536,0.1798214285714285,0.2601934523809524,0.5502461614937925,0.04590888209412387,0.4929577464788732,0.6262135922330098,7.333333333333333,4.179314138308661,2,14
6,20.333333333333332,3.829708431025353,13,24,0.47369560199008615,0.07912590118908379,0.35,0.54375,1.3041666666666667,0.10448285345771643,1.1625,1.45,0.217437996031746,0.031702308331052226,0.1798214285714285,0.2601934523809524,0.5775548617527139,0.04167081469125623,0.5244444444444445,0.6262135922330098,8.333333333333334,5.163977794943222,2,15
7,21.666666666666668,1.2110601416389966,21,24,0.47502161515820457,0.07954199426627112,0.35,0.54375,1.28125,0.09960860906568256,1.1625,1.45,0.21204861111111106,0.03465945574096651,0.1689732142857142,0.2601934523809524,0.5700267949802458,0.04106594952177424,0.5244444444444445,0.6262135922330098,7.0,4.0,2,14
8,20.666666666666668,3.265986323710904,15,24,0.47474647173237616,0.08310575229390602,0.35,0.54375,1.3125,0.1440486029088793,1.1625,1.525,0.21518356314044604,0.03800676848936672,0.1691666666666666,0.2601934523809524,0.5712177125528051,0.058820460559640124,0.5023474178403756,0.6425339366515838,7.833333333333333,5.23131595936115,2,14
9,21.333333333333332,4.04145188432738,17,25,0.42594178082191786,0.12050570725430164,0.2945205479452055,0.53125,1.3499999999999999,0.21323402636539965,1.175,1.5875,0.22442460317460314,0.061473843477931035,0.1665327380952381,0.2889434523809523,0.6134725257174385,0.08712673927149132,0.5221238938053098,0.6956521739130435,10.333333333333334,9.237604307034013,5,21
