step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,20.2,2.6997942308422114,16,25,0.45347796438502164,0.05727697703902257,0.3835616438356164,0.55,1.355,0.12207693384819984,1.225,1.5875,0.2267991071428571,0.03498484191436555,0.1778273809523809,0.2856845238095238,0.5923584946665343,0.04769583748222042,0.5231481481481481,0.6755555555555556,10.6,5.796550698475775,3,19
1,18.6,3.238655413730965,14,24,0.42558182522053817,0.04458584130962025,0.3380281690140845,0.5,1.3775,0.0918180568055954,1.225,1.5875,0.24074325647980704,0.023250931075279604,0.2094196428571428,0.2952529761904762,0.6231309549357513,0.0413367159884474,0.5395348837209303,0.705607476635514,11.4,5.501514942874069,3,21
2,18.3,3.888730155490635,11,24,0.3882393576672078,0.05807979258648732,0.2733812949640288,0.4697986577181208,1.48625,0.11109461683127987,1.35,1.7,0.25835863095238093,0.033850389019712476,0.2142857142857143,0.3089136904761905,0.6490248095850507,0.047395090677213744,0.5944700460829493,0.7211538461538461,15.9,5.065131346328106,9,25
3,16.6,4.427188724235731,10,26,0.3801154351407866,0.023655740296338195,0.3544303797468354,0.4189189189189189,1.51,0.07187952884282607,1.4,1.625,0.2643461799276673,0.020031239910459565,0.2375297619047619,0.3026041666666667,0.668758361158216,0.028936326049195167,0.6238532110091743,0.7155963302752294,15.9,2.558211180579986,12,21
4,15.6,3.5652645218989165,10,22,0.3528807843491282,0.04374912195607607,0.2828947368421052,0.4161073825503356,1.5625,0.11931517552730293,1.425,1.825,0.28538244047619044,0.025389449777296444,0.2478125,0.3273363095238095,0.6931563965827506,0.04505675045970306,0.6228070175438597,0.7798165137614679,19.9,5.506561742341788,13,31
5,14.1,3.956710193526379,9,20,0.3407138190058069,0.04884780376312206,0.2756410256410256,0.4313725490196078,1.6212499999999999,0.19729507652808326,1.3875,2.0375,0.2876175976800977,0.030465397524213823,0.2456845238095238,0.3327827380952381,0.7031740397987223,0.04850061071062179,0.6294642857142857,0.7767857142857143,21.4,7.441624673267107,10,32
6,13.3,3.4334951418181574,8,19,0.34769894308378013,0.04328961201700195,0.25,0.3924050632911392,1.62625,0.1016273831208893,1.5,1.85,0.2963612869198312,0.02982500266141159,0.2518452380952381,0.3419940476190476,0.7189853105376188,0.0420749622104647,0.6486486486486487,0.7830188679245284,23.8,6.0699624747146865,15,36
7,12.9,3.0349812373573433,8,18,0.29801451817045616,0.06211632126110738,0.1772151898734177,0.380281690140845,1.8325,0.2690776426568691,1.5125,2.425,0.3191235119047619,0.038035431239942234,0.2723363095238095,0.388125,0.7444303475296576,0.055376270458292076,0.6651162790697674,0.8608695652173913,28.8,7.842901957254795,19,45
8,12.9,3.1073389830457114,8,18,0.27868952888012793,0.061088763610740955,0.2040816326530612,0.3986486486486486,1.8125,0.17618645426554974,1.55,2.05,0.3211636151295961,0.03196796526587988,0.2679315476190476,0.3603720238095238,0.7472540281440818,0.04797113963295256,0.6792452830188679,0.8211009174311926,27.3,6.583649781424013,19,36
9,11.9,4.280446497997869,7,18,0.2688089474868591,0.07674028249316589,0.136986301369863,0.3841059602649007,1.8800000000000001,0.28254793103707787,1.5625,2.525,0.33321875,0.04360939823900762,0.271235119047619,0.3902083333333334,0.7695474564311587,0.0598894234629152,0.6834862385321101,0.863849765258216,31.1,9.433392225964575,19,46
