clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id
38,0.4333333333333333,1.0875,0.1292261904761904,0.4587155963302752,0,0,0
38,0.4333333333333333,1.0875,0.1292261904761904,0.4587155963302752,0,1,0
38,0.4333333333333333,1.0875,0.1292261904761904,0.4587155963302752,0,2,0
38,0.4333333333333333,1.0875,0.1292261904761904,0.4587155963302752,0,3,0
38,0.4333333333333333,1.0875,0.1292261904761904,0.4587155963302752,0,4,0
21,0.4709677419354838,1.2375,0.20625,0.5294117647058824,8,0,1
21,0.4709677419354838,1.2375,0.20625,0.5294117647058824,8,1,1
21,0.4709677419354838,1.2375,0.20625,0.5294117647058824,8,2,1
21,0.4709677419354838,1.2375,0.20625,0.5294117647058824,8,3,1
21,0.4709677419354838,1.2375,0.20625,0.5294117647058824,8,4,1
32,0.4652777777777778,1.1375,0.1758333333333333,0.4976303317535545,1,0,2
32,0.4652777777777778,1.1375,0.1758333333333333,0.4976303317535545,1,1,2
32,0.4652777777777778,1.1375,0.1758333333333333,0.4976303317535545,1,2,2
32,0.4652777777777778,1.1375,0.1758333333333333,0.4976303317535545,1,3,2
32,0.4652777777777778,1.1375,0.1758333333333333,0.4976303317535545,1,4,2
25,0.5584415584415584,1.1375,0.1685565476190476,0.4727272727272727,4,0,3
25,0.5584415584415584,1.1375,0.1685565476190476,0.4727272727272727,4,1,3
25,0.5584415584415584,1.1375,0.1685565476190476,0.4727272727272727,4,2,3
25,0.5584415584415584,1.1375,0.1685565476190476,0.4727272727272727,4,3,3
25,0.5584415584415584,1.1375,0.1685565476190476,0.4727272727272727,4,4,3
31,0.581081081081081,1.05,0.1379910714285714,0.463302752293578,0,0,4
30,0.58,1.075,0.1380208333333333,0.4748858447488584,1,1,4
30,0.58,1.075,0.1380208333333333,0.4748858447488584,1,2,4
30,0.58,1.075,0.1380208333333333,0.4748858447488584,1,3,4
30,0.58,1.075,0.1380208333333333,0.4748858447488584,1,4,4
30,0.58,1.075,0.1380208333333333,0.4748858447488584,1,5,4
30,0.58,1.075,0.1380208333333333,0.4748858447488584,1,6,4
31,0.4966887417218543,1.1375,0.1653273809523809,0.4573991031390134,2,0,5
31,0.4966887417218543,1.1375,0.1653273809523809,0.4573991031390134,2,1,5
31,0.4966887417218543,1.1375,0.1653273809523809,0.4573991031390134,2,2,5
31,0.4966887417218543,1.1375,0.1653273809523809,0.4573991031390134,2,3,5
31,0.4966887417218543,1.1375,0.1653273809523809,0.4573991031390134,2,4,5
30,0.5,1.1125,0.1601190476190476,0.4705882352941176,0,0,6
30,0.5,1.1125,0.1601190476190476,0.4705882352941176,0,1,6
30,0.5,1.1125,0.1601190476190476,0.4705882352941176,0,2,6
30,0.5,1.1125,0.1601190476190476,0.4705882352941176,0,3,6
29,0.5,1.1125,0.1674107142857142,0.4794520547945205,0,4,6
29,0.5,1.1125,0.1674107142857142,0.4794520547945205,0,5,6
29,0.5,1.1125,0.1674107142857142,0.4794520547945205,0,6,6
29,0.5,1.1125,0.1674107142857142,0.4794520547945205,0,7,6
29,0.5,1.1125,0.1674107142857142,0.4794520547945205,0,8,6
29,0.5,1.1125,0.1674107142857142,0.4794520547945205,0,9,6
23,0.5093167701863354,1.15,0.1756696428571428,0.4934497816593886,2,0,7
23,0.5093167701863354,1.15,0.1756696428571428,0.4934497816593886,2,1,7
23,0.5093167701863354,1.15,0.1756696428571428,0.4934497816593886,2,2,7
23,0.5093167701863354,1.15,0.1756696428571428,0.4934497816593886,2,3,7
23,0.5093167701863354,1.15,0.1756696428571428,0.4934497816593886,2,4,7
22,0.4729729729729729,1.25,0.2347470238095238,0.5700934579439252,7,0,8
22,0.4729729729729729,1.25,0.2347470238095238,0.5700934579439252,7,1,8
22,0.4729729729729729,1.25,0.2347470238095238,0.5700934579439252,7,2,8
22,0.4729729729729729,1.25,0.2347470238095238,0.5700934579439252,7,3,8
22,0.4729729729729729,1.25,0.2347470238095238,0.5700934579439252,7,4,8
26,0.5547945205479452,1.175,0.1978720238095238,0.488262910798122,6,0,9
26,0.5547945205479452,1.175,0.1978720238095238,0.488262910798122,6,1,9
26,0.5547945205479452,1.175,0.1978720238095238,0.488262910798122,6,2,9
26,0.5547945205479452,1.175,0.1978720238095238,0.488262910798122,6,3,9
26,0.5547945205479452,1.175,0.1978720238095238,0.488262910798122,6,4,9
