step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,26.822222222222223,3.6675858568652697,19,35,0.5133868272842413,0.04347319182828127,0.4078947368421052,0.6190476190476191,1.1733333333333333,0.06026043664560604,1.05,1.325,0.17195797752997116,0.019991650212476904,0.1367559523809523,0.2279613095238095,0.49683243499938967,0.030463518179458558,0.4324324324324324,0.5825688073394495,3.2666666666666666,2.155734448218508,0,10
1,26.8,3.672552307243315,19,35,0.5130083782345594,0.04373583354774287,0.4078947368421052,0.6190476190476191,1.1736111111111112,0.06020926884567968,1.05,1.325,0.17196773282097647,0.01998538938969158,0.1367559523809523,0.2279613095238095,0.49713815317908333,0.030398670416863064,0.4324324324324324,0.5825688073394495,3.2666666666666666,2.155734448218508,0,10
2,26.755555555555556,3.6205130653582045,19,35,0.5132321370704175,0.04380767352676114,0.4078947368421052,0.6190476190476191,1.1736111111111112,0.060063298903374016,1.05,1.325,0.17196889022838385,0.0199829497978554,0.1367559523809523,0.2279613095238095,0.4973880326668974,0.030295988200525616,0.4324324324324324,0.5825688073394495,3.2888888888888888,2.1318581041616365,0,10
3,26.755555555555556,3.6205130653582045,19,35,0.5132321370704175,0.04380767352676114,0.4078947368421052,0.6190476190476191,1.1736111111111112,0.060063298903374016,1.05,1.325,0.17196889022838385,0.0199829497978554,0.1367559523809523,0.2279613095238095,0.4973880326668974,0.030295988200525616,0.4324324324324324,0.5825688073394495,3.2888888888888888,2.1318581041616365,0,10
4,26.72222222222222,3.6382109993656395,19,35,0.5133743558421603,0.04392466676501863,0.4078947368421052,0.6190476190476191,1.1740277777777777,0.060056965519128515,1.05,1.325,0.17194359260933623,0.020043950808630934,0.1367559523809523,0.2279613095238095,0.49761987627940485,0.03047276678535218,0.4324324324324324,0.5825688073394495,3.3,2.1486865598742573,0,10
5,27.454545454545453,3.4456824103110932,23,33,0.5350695449038959,0.04444767737133538,0.4578313253012048,0.6013513513513513,1.1397727272727272,0.04100997661323618,1.0625,1.2,0.16410037878787873,0.0179899505387028,0.1379761904761904,0.1876934523809524,0.4964205931531058,0.03129736480216454,0.4495412844036697,0.5446428571428571,2.3636363636363638,2.062654952856986,0,7
6,27.625,3.0207614933986435,23,31,0.5336119690092016,0.05074776219319227,0.4578313253012048,0.6013513513513513,1.1375,0.04278267339539615,1.0625,1.2,0.16543712797619045,0.018978374710886585,0.1379761904761904,0.1876934523809524,0.491745229978589,0.03195202184306025,0.4495412844036697,0.5345622119815668,2.5,2.2038926600773587,0,7
7,27.666666666666668,3.204163957519444,23,31,0.5390039928669698,0.0470755282131086,0.4578313253012048,0.6013513513513513,1.1312499999999999,0.0472691760029725,1.0625,1.2,0.16944196428571426,0.020577467366755225,0.1379761904761904,0.1876934523809524,0.4901075445737287,0.03746442874394721,0.4495412844036697,0.5345622119815668,2.8333333333333335,2.48327740429189,0,7
8,26.666666666666668,4.041451884327381,23,31,0.5688731160138717,0.02953479296749772,0.5436241610738255,0.6013513513513513,1.1375,0.06959705453537525,1.0625,1.2,0.16894345238095235,0.01701239132772469,0.1544940476190476,0.1876934523809524,0.5064390497276344,0.03585550323797836,0.4660633484162896,0.5345622119815668,3.3333333333333335,3.5118845842842465,0,7
9,26.666666666666668,4.041451884327381,23,31,0.5688731160138717,0.02953479296749772,0.5436241610738255,0.6013513513513513,1.1375,0.06959705453537525,1.0625,1.2,0.16894345238095235,0.01701239132772469,0.1544940476190476,0.1876934523809524,0.5064390497276344,0.03585550323797836,0.4660633484162896,0.5345622119815668,3.3333333333333335,3.5118845842842465,0,7
10,31.0,,31,31,0.6013513513513513,,0.6013513513513513,0.6013513513513513,1.0625,,1.0625,1.0625,0.1544940476190476,,0.1544940476190476,0.1544940476190476,0.4660633484162896,,0.4660633484162896,0.4660633484162896,0.0,,0,0
