clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,dissimilarity_index,scenario
29,0.5850340136054422,1.1125,0.1726488095238095,0.44907407407407407,0,4,0,0.22499999999999998,llm_baseline
25,0.5496688741721855,1.1125,0.16364583333333335,0.4772727272727273,0,4,1,0.27499999999999997,llm_baseline
25,0.5266666666666666,1.1625,0.18144345238095239,0.4977168949771689,4,4,2,0.325,llm_baseline
32,0.44666666666666666,1.15,0.18822916666666667,0.4647887323943662,4,4,3,0.32499999999999996,llm_baseline
26,0.5684931506849316,1.1875,0.1356547619047619,0.5233644859813084,3,4,4,0.35,llm_baseline
28,0.5253164556962026,1.175,0.17756178420735383,0.497737556561086,5,4,5,0.25,llm_baseline
28,0.4594594594594595,1.175,0.19227678571428572,0.5260663507109005,4,4,6,0.30000000000000004,llm_baseline
33,0.5241379310344828,1.1375,0.14040178571428572,0.48598130841121495,0,4,7,0.32499999999999996,llm_baseline
19,0.4936708860759494,1.225,0.21206845238095234,0.5594713656387665,4,4,8,0.45,llm_baseline
32,0.5,1.1125,0.17702380952380953,0.4444444444444444,2,4,9,0.175,llm_baseline
28,0.48322147651006714,1.1625,0.17075892857142855,0.5046296296296297,3,4,10,0.22499999999999998,llm_baseline
27,0.5405405405405406,1.1625,0.15316964285714288,0.4792626728110599,2,4,11,0.175,llm_baseline
26,0.4875,1.075,0.17452380952380953,0.4649122807017544,0,4,12,0.2,llm_baseline
22,0.48344370860927155,1.2625,0.22102678571428572,0.5363636363636364,6,4,13,0.325,llm_baseline
25,0.4315068493150685,1.275,0.22077380952380957,0.5162790697674419,8,4,14,0.3,llm_baseline
32,0.42758620689655175,1.2875,0.2125892857142857,0.5441860465116279,6,4,15,0.27499999999999997,llm_baseline
27,0.47368421052631576,1.1875,0.20150297619047622,0.5324074074074074,5,4,16,0.3,llm_baseline
24,0.5306122448979592,1.1875,0.1953125,0.5093457943925234,6,4,17,0.27499999999999997,llm_baseline
33,0.5138888888888888,1.125,0.1953869047619048,0.49019607843137253,3,4,18,0.35,llm_baseline
28,0.5695364238410596,1.1375,0.15464285714285714,0.47685185185185186,1,4,19,0.25,llm_baseline
30,0.42207792207792205,1.175,0.17897321428571428,0.5159817351598174,5,4,20,0.25,llm_baseline
24,0.532051282051282,1.1375,0.1806845238095238,0.4885844748858447,3,4,21,0.175,llm_baseline
21,0.4675324675324675,1.3,0.2041815476190476,0.5374449339207048,9,4,22,0.325,llm_baseline
20,0.4861111111111111,1.25,0.21108630952380952,0.5622119815668203,5,4,23,0.325,llm_baseline
28,0.48,1.2125,0.1955357142857143,0.5069124423963134,4,4,24,0.325,llm_baseline
27,0.6258064516129033,1.0625,0.16590773809523812,0.4298245614035088,0,4,25,0.2,llm_baseline
32,0.5211267605633803,1.1125,0.18520833333333334,0.49282296650717705,2,4,26,0.175,llm_baseline
26,0.45751633986928103,1.225,0.17949065702230257,0.5227272727272727,4,4,27,0.375,llm_baseline
28,0.48,1.1875,0.17294642857142856,0.5162790697674419,5,4,28,0.225,llm_baseline
21,0.4863013698630137,1.225,0.20925595238095238,0.5566037735849056,6,4,29,0.35000000000000003,llm_baseline
27,0.4482758620689655,1.1625,0.2051488095238095,0.4792626728110599,2,4,30,0.32500000000000007,llm_baseline
37,0.4266666666666667,1.15,0.18647321428571426,0.4977168949771689,3,4,31,0.35,llm_baseline
30,0.5632911392405063,1.05,0.15764880952380952,0.45982142857142855,1,4,32,0.3,llm_baseline
27,0.5194805194805194,1.1625,0.16711309523809526,0.49099099099099097,3,4,33,0.25,llm_baseline
21,0.5064935064935064,1.25,0.18455357142857143,0.5,5,4,34,0.30000000000000004,llm_baseline
24,0.475,1.2125,0.19389880952380953,0.5042735042735043,4,4,35,0.4,llm_baseline
28,0.4675324675324675,1.15,0.17767857142857144,0.49099099099099097,3,4,36,0.275,llm_baseline
26,0.436241610738255,1.175,0.1780357142857143,0.4909090909090909,2,4,37,0.25,llm_baseline
20,0.43902439024390244,1.2375,0.2112946428571429,0.5043103448275862,5,4,38,0.375,llm_baseline
33,0.41025641025641024,1.1125,0.1653125,0.48868778280542985,1,4,39,0.25,llm_baseline
32,0.5103448275862069,1.1375,0.15611607142857142,0.4694835680751174,2,4,40,0.25,llm_baseline
