clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id
31,0.45517241379310347,1.15,0.18270833333333333,0.4439252336448598,3,0,0
31,0.45517241379310347,1.15,0.18270833333333333,0.4439252336448598,3,1,0
31,0.45517241379310347,1.15,0.18270833333333333,0.4439252336448598,3,2,0
31,0.45517241379310347,1.15,0.18270833333333333,0.4439252336448598,3,3,0
31,0.45517241379310347,1.15,0.18270833333333333,0.4439252336448598,3,4,0
26,0.4807692307692308,1.2125,0.1721875,0.5267857142857143,6,0,1
26,0.4807692307692308,1.2125,0.1721875,0.5267857142857143,6,1,1
26,0.4807692307692308,1.2125,0.1721875,0.5267857142857143,6,2,1
26,0.4807692307692308,1.2125,0.1721875,0.5267857142857143,6,3,1
26,0.4807692307692308,1.2125,0.1721875,0.5267857142857143,6,4,1
26,0.5424836601307189,1.1625,0.16324404761904762,0.5159817351598174,2,0,2
26,0.5424836601307189,1.1625,0.16324404761904762,0.5159817351598174,2,1,2
26,0.5424836601307189,1.1625,0.16324404761904762,0.5159817351598174,2,2,2
26,0.5424836601307189,1.1625,0.16324404761904762,0.5159817351598174,2,3,2
26,0.5424836601307189,1.1625,0.16324404761904762,0.5159817351598174,2,4,2
23,0.4589041095890411,1.2375,0.17023809523809524,0.5305164319248826,0,0,3
23,0.4589041095890411,1.2375,0.17023809523809524,0.5305164319248826,0,1,3
23,0.4589041095890411,1.2375,0.17023809523809524,0.5305164319248826,0,2,3
23,0.4589041095890411,1.2375,0.17023809523809524,0.5305164319248826,0,3,3
23,0.4589041095890411,1.2375,0.17023809523809524,0.5305164319248826,0,4,3
25,0.5422535211267606,1.1625,0.18023809523809525,0.4928909952606635,1,0,4
25,0.5422535211267606,1.1625,0.18023809523809525,0.4928909952606635,1,1,4
25,0.5422535211267606,1.1625,0.18023809523809525,0.4928909952606635,1,2,4
25,0.5422535211267606,1.1625,0.18023809523809525,0.4928909952606635,1,3,4
25,0.5422535211267606,1.1625,0.18023809523809525,0.4928909952606635,1,4,4
