clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id
23,0.5569620253164557,1.15,0.18111607142857142,0.5136363636363637,5,0,0
23,0.5569620253164557,1.15,0.18111607142857142,0.5136363636363637,5,1,0
23,0.5569620253164557,1.15,0.18111607142857142,0.5136363636363637,5,2,0
23,0.5569620253164557,1.15,0.18111607142857142,0.5136363636363637,5,3,0
23,0.5569620253164557,1.15,0.18111607142857142,0.5136363636363637,5,4,0
28,0.547945205479452,1.1875,0.1887797619047619,0.47641509433962265,7,0,1
28,0.547945205479452,1.1875,0.1887797619047619,0.47641509433962265,7,1,1
28,0.547945205479452,1.1875,0.1887797619047619,0.47641509433962265,7,2,1
28,0.547945205479452,1.1875,0.1887797619047619,0.47641509433962265,7,3,1
28,0.547945205479452,1.1875,0.1887797619047619,0.47641509433962265,7,4,1
28,0.6164383561643836,1.1125,0.16056547619047618,0.4883720930232558,4,0,2
28,0.6164383561643836,1.1125,0.16056547619047618,0.4883720930232558,4,1,2
28,0.6164383561643836,1.1125,0.16056547619047618,0.4883720930232558,4,2,2
28,0.6164383561643836,1.1125,0.16056547619047618,0.4883720930232558,4,3,2
28,0.6164383561643836,1.1125,0.16056547619047618,0.4883720930232558,4,4,2
29,0.5384615384615384,1.0875,0.16328869047619046,0.45454545454545453,2,0,3
29,0.5384615384615384,1.0875,0.16328869047619046,0.45454545454545453,2,1,3
29,0.5384615384615384,1.0875,0.16328869047619046,0.45454545454545453,2,2,3
29,0.5384615384615384,1.0875,0.16328869047619046,0.45454545454545453,2,3,3
29,0.5384615384615384,1.0875,0.16328869047619046,0.45454545454545453,2,4,3
22,0.5422535211267606,1.1875,0.1806547619047619,0.4881516587677725,3,0,4
22,0.5422535211267606,1.1875,0.1806547619047619,0.4881516587677725,3,1,4
22,0.5422535211267606,1.1875,0.1806547619047619,0.4881516587677725,3,2,4
22,0.5422535211267606,1.1875,0.1806547619047619,0.4881516587677725,3,3,4
22,0.5422535211267606,1.1875,0.1806547619047619,0.4881516587677725,3,4,4
25,0.5472972972972973,1.1375,0.1715625,0.5046296296296297,3,0,5
25,0.5472972972972973,1.1375,0.1715625,0.5046296296296297,3,1,5
25,0.5472972972972973,1.1375,0.1715625,0.5046296296296297,3,2,5
25,0.5472972972972973,1.1375,0.1715625,0.5046296296296297,3,3,5
25,0.5472972972972973,1.1375,0.1715625,0.5046296296296297,3,4,5
25,0.6099290780141844,1.15,0.15808035714285715,0.4811320754716981,4,0,6
25,0.6099290780141844,1.15,0.15808035714285715,0.4811320754716981,4,1,6
25,0.6099290780141844,1.15,0.15808035714285715,0.4811320754716981,4,2,6
25,0.6099290780141844,1.15,0.15808035714285715,0.4811320754716981,4,3,6
25,0.6099290780141844,1.15,0.15808035714285715,0.4811320754716981,4,4,6
20,0.47651006711409394,1.2625,0.19305059523809526,0.5401785714285714,6,0,7
20,0.47651006711409394,1.2625,0.19305059523809526,0.5401785714285714,6,1,7
20,0.47651006711409394,1.2625,0.19305059523809526,0.5401785714285714,6,2,7
20,0.47651006711409394,1.2625,0.19305059523809526,0.5401785714285714,6,3,7
20,0.47651006711409394,1.2625,0.19305059523809526,0.5401785714285714,6,4,7
26,0.6,1.1,0.1830654761904762,0.47685185185185186,3,0,8
26,0.6,1.1,0.1830654761904762,0.47685185185185186,3,1,8
26,0.6,1.1,0.1830654761904762,0.47685185185185186,3,2,8
26,0.6,1.1,0.1830654761904762,0.47685185185185186,3,3,8
26,0.6,1.1,0.1830654761904762,0.47685185185185186,3,4,8
24,0.538961038961039,1.1375,0.17092261904761905,0.4909090909090909,3,0,9
24,0.538961038961039,1.1375,0.17092261904761905,0.4909090909090909,3,1,9
24,0.538961038961039,1.1375,0.17092261904761905,0.4909090909090909,3,2,9
24,0.538961038961039,1.1375,0.17092261904761905,0.4909090909090909,3,3,9
24,0.538961038961039,1.1375,0.17092261904761905,0.4909090909090909,3,4,9
25,0.5163398692810458,1.175,0.1717450271247739,0.5114155251141552,2,0,10
25,0.5163398692810458,1.175,0.1717450271247739,0.5114155251141552,2,1,10
25,0.5163398692810458,1.175,0.1717450271247739,0.5114155251141552,2,2,10
25,0.5163398692810458,1.175,0.1717450271247739,0.5114155251141552,2,3,10
25,0.5163398692810458,1.175,0.1717450271247739,0.5114155251141552,2,4,10
28,0.52,1.125,0.14668154761904764,0.4818181818181818,1,0,11
28,0.52,1.125,0.14668154761904764,0.4818181818181818,1,1,11
28,0.52,1.125,0.14668154761904764,0.4818181818181818,1,2,11
28,0.52,1.125,0.14668154761904764,0.4818181818181818,1,3,11
28,0.52,1.125,0.14668154761904764,0.4818181818181818,1,4,11
19,0.5328947368421053,1.3125,0.21247023809523807,0.5426008968609866,7,0,12
19,0.5328947368421053,1.3125,0.21247023809523807,0.5426008968609866,7,1,12
19,0.5328947368421053,1.3125,0.21247023809523807,0.5426008968609866,7,2,12
19,0.5328947368421053,1.3125,0.21247023809523807,0.5426008968609866,7,3,12
19,0.5328947368421053,1.3125,0.21247023809523807,0.5426008968609866,7,4,12
33,0.4012738853503185,1.15,0.1446577380952381,0.4845814977973568,2,0,13
33,0.4012738853503185,1.15,0.1446577380952381,0.4845814977973568,2,1,13
33,0.4012738853503185,1.15,0.1446577380952381,0.4845814977973568,2,2,13
33,0.4012738853503185,1.15,0.1446577380952381,0.4845814977973568,2,3,13
33,0.4012738853503185,1.15,0.1446577380952381,0.4845814977973568,2,4,13
26,0.506578947368421,1.2125,0.19358630952380954,0.5046296296296297,5,0,14
26,0.506578947368421,1.2125,0.19358630952380954,0.5046296296296297,5,1,14
26,0.506578947368421,1.2125,0.19358630952380954,0.5046296296296297,5,2,14
26,0.506578947368421,1.2125,0.19358630952380954,0.5046296296296297,5,3,14
26,0.506578947368421,1.2125,0.19358630952380954,0.5046296296296297,5,4,14
22,0.5394736842105263,1.225,0.16642857142857143,0.5114155251141552,4,0,15
22,0.5394736842105263,1.225,0.16642857142857143,0.5114155251141552,4,1,15
22,0.5394736842105263,1.225,0.16642857142857143,0.5114155251141552,4,2,15
22,0.5394736842105263,1.225,0.16642857142857143,0.5114155251141552,4,3,15
22,0.5394736842105263,1.225,0.16642857142857143,0.5114155251141552,4,4,15
34,0.4722222222222222,1.1125,0.16861607142857143,0.47417840375586856,1,0,16
34,0.4722222222222222,1.1125,0.16861607142857143,0.47417840375586856,1,1,16
34,0.4722222222222222,1.1125,0.16861607142857143,0.47417840375586856,1,2,16
34,0.4722222222222222,1.1125,0.16861607142857143,0.47417840375586856,1,3,16
34,0.4722222222222222,1.1125,0.16861607142857143,0.47417840375586856,1,4,16
35,0.5211267605633803,1.15,0.16339285714285717,0.4722222222222222,2,0,17
35,0.5211267605633803,1.15,0.16339285714285717,0.4722222222222222,2,1,17
