run_id,converged,convergence_step,final_step
0,True,7,7
1,True,8,8
2,True,12,12
3,True,6,6
4,True,15,15
5,True,9,9
6,True,6,6
7,True,7,7
8,True,7,7
9,True,13,13
10,True,7,7
11,True,5,5
12,True,15,15
13,True,16,16
14,True,7,7
15,True,11,11
16,True,6,6
17,True,13,13
18,True,10,10
19,True,6,6
20,True,11,11
21,True,12,12
22,True,11,11
23,True,8,8
24,True,11,11
25,True,8,8
26,True,10,10
27,True,12,12
28,True,7,7
29,True,6,6
30,True,13,13
31,True,14,14
32,True,5,5
33,True,11,11
34,True,10,10
35,True,12,12
36,True,9,9
37,True,6,6
38,True,7,7
39,True,13,13
40,True,7,7
41,True,10,10
42,True,25,25
43,True,9,9
44,True,13,13
45,True,7,7
46,True,10,10
47,True,10,10
48,True,8,8
49,True,6,6
50,True,17,17
51,True,9,9
52,True,6,6
53,True,13,13
54,True,19,19
55,True,8,8
56,True,18,18
57,True,12,12
58,True,7,7
59,True,12,12
60,True,12,12
61,True,6,6
62,True,20,20
63,True,11,11
64,True,15,15
65,True,11,11
66,True,15,15
67,True,8,8
68,True,11,11
69,True,6,6
70,True,8,8
71,True,7,7
72,True,8,8
73,True,15,15
74,True,6,6
75,True,8,8
76,True,27,27
77,True,10,10
78,True,10,10
79,True,16,16
80,True,6,6
81,True,24,24
82,True,11,11
83,True,13,13
84,True,10,10
85,True,7,7
86,True,9,9
87,True,14,14
88,True,8,8
89,True,7,7
90,True,17,17
91,True,16,16
92,True,11,11
93,True,7,7
94,True,7,7
95,True,8,8
96,True,7,7
97,True,9,9
98,True,11,11
99,True,12,12
