run_id,converged,convergence_step,final_step
0,True,8,8
1,True,11,11
2,True,7,7
3,True,7,7
4,True,6,6
5,True,11,11
6,True,15,15
7,True,11,11
8,True,8,8
9,True,6,6
10,True,16,16
11,True,11,11
12,True,10,10
13,True,9,9
14,True,18,18
15,True,15,15
16,True,7,7
17,True,10,10
18,True,6,6
19,True,8,8
20,True,18,18
21,True,11,11
22,True,6,6
23,True,9,9
24,True,9,9
25,True,13,13
26,True,6,6
27,True,10,10
28,True,7,7
29,True,11,11
30,True,7,7
31,True,14,14
32,True,10,10
33,True,8,8
34,True,10,10
35,True,6,6
36,True,8,8
37,True,13,13
38,True,9,9
39,True,12,12
40,True,7,7
41,True,7,7
42,True,8,8
43,True,10,10
44,True,9,9
45,True,9,9
46,True,20,20
47,True,7,7
48,True,6,6
49,True,6,6
50,True,11,11
51,True,7,7
52,True,6,6
53,True,18,18
54,True,9,9
55,True,6,6
56,True,7,7
57,True,8,8
58,True,7,7
59,True,14,14
60,True,8,8
61,True,9,9
62,True,5,5
63,True,7,7
64,True,12,12
65,True,7,7
66,True,15,15
67,True,8,8
68,True,6,6
69,True,7,7
70,True,9,9
71,True,8,8
72,True,13,13
73,True,5,5
74,True,6,6
75,True,9,9
76,True,10,10
77,True,8,8
78,True,7,7
79,True,7,7
80,True,14,14
81,True,8,8
82,True,10,10
83,True,7,7
84,True,14,14
85,True,7,7
86,True,14,14
87,True,12,12
88,True,8,8
89,True,15,15
90,True,12,12
91,True,10,10
92,True,10,10
93,True,7,7
94,True,5,5
95,True,8,8
96,True,13,13
97,True,7,7
98,True,9,9
99,True,7,7
