clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id
20,0.39751552795031053,1.35,0.22437500000000005,0.6043478260869565,8,0,0
19,0.4339622641509434,1.325,0.22879464285714288,0.6061946902654868,9,1,0
18,0.432258064516129,1.3875,0.2328125,0.6211453744493393,10,2,0
17,0.4258064516129032,1.4,0.2401636904761905,0.625,11,3,0
17,0.4258064516129032,1.4,0.2401636904761905,0.625,11,4,0
17,0.4258064516129032,1.4,0.2401636904761905,0.625,11,5,0
17,0.4258064516129032,1.4,0.2401636904761905,0.625,11,6,0
17,0.4258064516129032,1.4,0.2401636904761905,0.625,11,7,0
17,0.4258064516129032,1.4,0.2401636904761905,0.625,11,8,0
22,0.4805194805194805,1.2125,0.17574404761904763,0.5333333333333333,1,0,1
22,0.4935064935064935,1.2125,0.17666666666666667,0.5446428571428571,1,1,1
22,0.5,1.2,0.16919642857142855,0.5442477876106194,0,2,1
18,0.5253164556962026,1.1875,0.16654761904761906,0.5458515283842795,2,3,1
17,0.5253164556962026,1.2,0.1738392857142857,0.5614035087719298,3,4,1
16,0.5246913580246914,1.1875,0.1708184523809524,0.5652173913043478,3,5,1
17,0.525,1.175,0.17433035714285716,0.5570175438596491,3,6,1
17,0.525,1.175,0.17433035714285716,0.5570175438596491,3,7,1
17,0.525,1.175,0.17433035714285716,0.5570175438596491,3,8,1
17,0.525,1.175,0.17433035714285716,0.5570175438596491,3,9,1
17,0.525,1.175,0.17433035714285716,0.5570175438596491,3,10,1
17,0.525,1.175,0.17433035714285716,0.5570175438596491,3,11,1
23,0.5096774193548387,1.2,0.18358630952380953,0.5113122171945701,6,0,2
23,0.5448275862068965,1.175,0.16999999999999998,0.5069767441860465,5,1,2
19,0.5302013422818792,1.2125,0.19038690476190473,0.5186915887850467,7,2,2
19,0.5302013422818792,1.2125,0.19038690476190473,0.5186915887850467,7,3,2
19,0.5302013422818792,1.2125,0.19038690476190473,0.5186915887850467,7,4,2
19,0.5302013422818792,1.2125,0.19038690476190473,0.5186915887850467,7,5,2
19,0.5302013422818792,1.2125,0.19038690476190473,0.5186915887850467,7,6,2
19,0.5302013422818792,1.2125,0.19038690476190473,0.5186915887850467,7,7,2
21,0.5064935064935064,1.175,0.1782886904761905,0.481981981981982,3,0,3
19,0.48717948717948717,1.1875,0.20038690476190477,0.5023041474654378,5,1,3
19,0.5061728395061729,1.15,0.19104166666666667,0.4798206278026906,4,2,3
19,0.5061728395061729,1.15,0.19104166666666667,0.4798206278026906,4,3,3
19,0.5061728395061729,1.15,0.19104166666666667,0.4798206278026906,4,4,3
19,0.5061728395061729,1.15,0.19104166666666667,0.4798206278026906,4,5,3
19,0.5061728395061729,1.15,0.19104166666666667,0.4798206278026906,4,6,3
19,0.5061728395061729,1.15,0.19104166666666667,0.4798206278026906,4,7,3
18,0.48366013071895425,1.2625,0.22160714285714284,0.5272727272727272,6,0,4
17,0.47468354430379744,1.2625,0.22479166666666667,0.5350877192982456,5,1,4
17,0.47468354430379744,1.2625,0.22479166666666667,0.5350877192982456,5,2,4
17,0.47468354430379744,1.2625,0.22479166666666667,0.5350877192982456,5,3,4
17,0.47468354430379744,1.2625,0.22479166666666667,0.5350877192982456,5,4,4
17,0.47468354430379744,1.2625,0.22479166666666667,0.5350877192982456,5,5,4
17,0.47468354430379744,1.2625,0.22479166666666667,0.5350877192982456,5,6,4
18,0.47435897435897434,1.25,0.20203869047619047,0.5540540540540541,7,0,5
18,0.4819277108433735,1.2125,0.19781494876431585,0.5478260869565217,6,1,5
17,0.49079754601226994,1.2125,0.19995535714285712,0.5434782608695652,4,2,5
16,0.48484848484848486,1.225,0.20636904761904767,0.5493562231759657,4,3,5
16,0.4909090909090909,1.225,0.21139880952380952,0.5517241379310345,5,4,5
14,0.46745562130177515,1.2375,0.21187500000000004,0.5617021276595745,6,5,5
12,0.4682080924855491,1.2375,0.21751488095238097,0.5714285714285714,6,6,5
12,0.4682080924855491,1.2375,0.21751488095238097,0.5714285714285714,6,7,5
12,0.4682080924855491,1.2375,0.21751488095238097,0.5714285714285714,6,8,5
12,0.4682080924855491,1.2375,0.21751488095238097,0.5714285714285714,6,9,5
12,0.4682080924855491,1.2375,0.21751488095238097,0.5714285714285714,6,10,5
12,0.4682080924855491,1.2375,0.21751488095238097,0.5714285714285714,6,11,5
16,0.5128205128205128,1.3,0.2123214285714286,0.5695067264573991,8,0,6
14,0.5324675324675324,1.2625,0.20453869047619047,0.5779816513761468,7,1,6
15,0.5263157894736842,1.275,0.20510416666666664,0.5779816513761468,7,2,6
15,0.5328947368421053,1.25,0.2046875,0.576036866359447,6,3,6
15,0.5328947368421053,1.25,0.20299107142857142,0.5806451612903226,6,4,6
15,0.5128205128205128,1.275,0.2073214285714286,0.5909090909090909,8,5,6
15,0.5316455696202531,1.2375,0.20613095238095233,0.581081081081081,6,6,6
15,0.5192307692307693,1.2625,0.20860119047619047,0.5863636363636363,6,7,6
14,0.532051282051282,1.2625,0.20943452380952382,0.593607305936073,7,8,6
15,0.5189873417721519,1.275,0.2067857142857143,0.581081081081081,8,9,6
13,0.5189873417721519,1.275,0.21324404761904764,0.5927601809954751,8,10,6
13,0.5189873417721519,1.275,0.21324404761904764,0.5927601809954751,8,11,6
13,0.5189873417721519,1.275,0.21324404761904764,0.5927601809954751,8,12,6
13,0.5189873417721519,1.275,0.21324404761904764,0.5927601809954751,8,13,6
13,0.5189873417721519,1.275,0.21324404761904764,0.5927601809954751,8,14,6
13,0.5189873417721519,1.275,0.21324404761904764,0.5927601809954751,8,15,6
22,0.5512820512820513,1.125,0.1852529761904762,0.509009009009009,2,0,7
17,0.5359477124183006,1.1875,0.1983779761904762,0.5458715596330275,5,1,7
14,0.538961038961039,1.2125,0.1895238095238095,0.5648148148148148,5,2,7
