step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,20.57,3.4178822671237796,13,31,0.5127655702312929,0.037503340681672805,0.379746835443038,0.577922077922078,1.2205,0.0656051858014319,1.075,1.4375,0.19263416591320073,0.021441100641973458,0.1490922619047619,0.2463095238095238,0.5324604809583632,0.041527665714221604,0.44651162790697674,0.6278026905829597,5.64,3.0765322207073513,0,13
1,18.8,3.0781077750376893,12,28,0.5089740070304112,0.03451002338625934,0.3924050632911392,0.575,1.239125,0.06757559833178681,1.1125,1.475,0.19928438229316395,0.021672087626697416,0.15699216395418927,0.2544642857142857,0.5452876598858201,0.04329333303759676,0.4484304932735426,0.6425339366515838,6.6,3.2035334027642453,1,14
2,17.82,2.9002960489779603,12,26,0.5043517342279376,0.03865713516708403,0.37267080745341613,0.577639751552795,1.2533750000000001,0.07397991042482173,1.1125,1.55,0.2041364564496685,0.024216410468698994,0.1475297619047619,0.26641369047619046,0.5526413011707981,0.0452899664336273,0.44782608695652176,0.676056338028169,7.45,3.591164803579007,0,17
3,17.39,2.820899634420684,12,25,0.5011512944717187,0.03868716115280295,0.37888198757763975,0.575,1.255875,0.07226614583145646,1.1125,1.5125,0.205348044755877,0.023538792331329595,0.1507233273056058,0.2731314044605184,0.5549393640377877,0.04549938873046897,0.44782608695652176,0.676056338028169,7.51,3.6195177981202264,2,18
4,17.09,2.8501107545376745,12,25,0.5011036982280007,0.03911068174187699,0.38064516129032255,0.5822784810126582,1.256375,0.07255037869987271,1.1,1.5125,0.20689327720012055,0.02446264970751517,0.1507233273056058,0.281577380952381,0.5576419906026551,0.04654194012481684,0.44782608695652176,0.676056338028169,7.61,3.5530467790533544,1,18
5,17.03,2.8513863365745507,12,26,0.50050098612678,0.03855785500270573,0.3885350318471338,0.5822784810126582,1.257375,0.07286729930552391,1.1,1.5125,0.2070159188517179,0.0241255680862254,0.1507233273056058,0.281577380952381,0.5581321246243519,0.04742133336753144,0.44782608695652176,0.676056338028169,7.71,3.5456474953971617,2,18
6,16.90721649484536,2.8434225057827325,12,26,0.4991986699454323,0.03850305101388109,0.3885350318471338,0.5822784810126582,1.2594072164948453,0.0736650050445465,1.1,1.5125,0.2077459716758947,0.024260936574618003,0.1507233273056058,0.281577380952381,0.5588443856614322,0.047729428045563356,0.44782608695652176,0.676056338028169,7.855670103092783,3.5560678504073895,2,18
7,16.764705882352942,2.897647070196329,12,26,0.4973758669355252,0.04043713073116651,0.3885350318471338,0.5822784810126582,1.2605882352941178,0.07602244250684059,1.1,1.5125,0.20761913182994718,0.025186210809558778,0.1507233273056058,0.281577380952381,0.5586993524208657,0.04965722935363075,0.44782608695652176,0.676056338028169,7.976470588235294,3.57230241410426,2,18
8,16.546875,3.0494844086714323,11,26,0.49525153800573796,0.039547142397698874,0.3885350318471338,0.5822784810126582,1.2626953125,0.0724258031491923,1.1,1.4375,0.20941969289199067,0.024337670925780108,0.15922619047619047,0.281577380952381,0.5629801616910862,0.04712886416089176,0.45535714285714285,0.6666666666666666,8.046875,3.6663622709147687,2,18
9,16.38,3.0765074287548324,10,26,0.4973738449989515,0.04099628451109557,0.3885350318471338,0.5822784810126582,1.261,0.07055899254220843,1.1,1.45,0.21187645042194095,0.024529796583351554,0.15922619047619047,0.281577380952381,0.5673197993227438,0.04600943616985935,0.45535714285714285,0.6621004566210046,8.32,3.5308552470343795,2,17
10,16.435897435897434,3.4243314506543627,10,26,0.49352735134138614,0.03808763334866683,0.3885350318471338,0.5448717948717948,1.2692307692307692,0.0753744028652131,1.1125,1.4875,0.21235369236951515,0.023040220916864747,0.17433035714285716,0.2698462929475588,0.5676514555536081,0.04408837191333865,0.4700460829493088,0.6621004566210046,8.282051282051283,3.4864302203703246,3,18
11,15.931034482758621,3.3158820684134134,10,24,0.5012172336390854,0.03251266449477586,0.40540540540540543,0.5443037974683544,1.259051724137931,0.07617359694750651,1.1125,1.4875,0.21052512679013116,0.019980639769771838,0.17433035714285716,0.25101190476190477,0.5673663726924228,0.042194348590856585,0.4700460829493088,0.6527777777777778,8.10344827586207,3.341779119679974,3,18
12,15.727272727272727,3.4939651125608298,10,24,0.4966906261815789,0.033830579995535494,0.40540540540540543,0.5443037974683544,1.2835227272727272,0.07011749956030053,1.1875,1.4875,0.214021453230314,0.019841445805975303,0.18522321428571428,0.25101190476190477,0.5786135401330678,0.034622551084726234,0.525,0.6527777777777778,8.863636363636363,3.328026077986405,4,18
