run_id,converged,convergence_step,final_step
0,True,8,8
1,True,8,8
2,True,8,8
3,True,7,7
4,True,9,9
5,True,12,12
6,True,17,17
7,True,11,11
8,True,11,11
9,True,7,7
10,True,9,9
11,True,6,6
12,True,13,13
13,True,7,7
14,True,11,11
15,True,13,13
16,True,7,7
17,True,7,7
18,True,11,11
19,True,13,13
20,True,7,7
21,True,13,13
22,True,9,9
23,True,7,7
24,True,6,6
25,True,14,14
26,True,9,9
27,True,8,8
28,True,7,7
29,True,9,9
30,True,7,7
31,True,8,8
32,True,5,5
33,True,7,7
34,True,7,7
35,True,9,9
36,True,10,10
37,True,6,6
38,True,7,7
39,True,6,6
40,True,8,8
41,True,7,7
42,True,15,15
43,True,14,14
44,True,18,18
45,True,8,8
46,True,7,7
47,True,9,9
48,True,12,12
49,True,9,9
50,True,12,12
51,True,10,10
52,True,13,13
53,True,7,7
54,True,6,6
55,True,6,6
56,True,7,7
57,True,18,18
58,True,7,7
59,True,12,12
60,True,10,10
61,True,12,12
62,True,17,17
63,True,11,11
64,True,9,9
65,True,7,7
66,True,8,8
67,True,8,8
68,True,10,10
69,True,21,21
70,True,12,12
71,True,16,16
72,True,6,6
73,True,14,14
74,True,10,10
75,True,5,5
76,True,14,14
77,True,8,8
78,True,9,9
79,True,16,16
80,True,10,10
81,True,7,7
82,True,8,8
83,True,8,8
84,True,6,6
85,True,8,8
86,True,8,8
87,True,11,11
88,True,6,6
89,True,10,10
90,True,10,10
91,True,16,16
92,True,5,5
93,True,9,9
94,True,12,12
95,True,8,8
96,True,14,14
97,True,8,8
98,True,9,9
99,True,8,8
