llm_model,metric,scenario,scenario_label,rank,mean_value,std_value,n_runs,significant_vs_next,p_value_vs_next
gemma-4-31b-it-q5,dissimilarity_index,political_liberal_conservative,Political (Liberal/Conservative),1,0.57375,0.105903,20,*,0.002972
gemma-4-31b-it-q5,dissimilarity_index,income_high_low,Economic (High/Low Income),2,0.47125,0.083617,20,*,9.4e-05
gemma-4-31b-it-q5,dissimilarity_index,llm_baseline,Color (Red/Blue),3,0.34375,0.083459,20,,0.46273
gemma-4-31b-it-q5,dissimilarity_index,race_white_black,Racial (White/Black),4,0.32,0.06718,20,,0.614625
gemma-4-31b-it-q5,dissimilarity_index,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),5,0.315,0.077545,20,*,0.026955
gemma-4-31b-it-q5,dissimilarity_index,green_yellow,Color (Green/Yellow),6,0.26,0.079637,20,,
gemma-4-31b-it-q5,clusters,green_yellow,Color (Green/Yellow),1,22.8,4.785944,20,,0.066695
gemma-4-31b-it-q5,clusters,race_white_black,Racial (White/Black),2,20.1,3.143916,20,*,0.047289
gemma-4-31b-it-q5,clusters,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),3,17.8,3.205259,20,,0.934777
gemma-4-31b-it-q5,clusters,llm_baseline,Color (Red/Blue),4,17.8,2.627787,20,*,1.4e-05
gemma-4-31b-it-q5,clusters,income_high_low,Economic (High/Low Income),5,13.65,1.871532,20,*,0.0
gemma-4-31b-it-q5,clusters,political_liberal_conservative,Political (Liberal/Conservative),6,8.75,2.099499,20,,
gemma-4-31b-it-q5,switch_rate,green_yellow,Color (Green/Yellow),1,0.536846,0.043043,20,,0.056285
gemma-4-31b-it-q5,switch_rate,race_white_black,Racial (White/Black),2,0.512927,0.034803,20,,0.704632
gemma-4-31b-it-q5,switch_rate,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),3,0.506239,0.032204,20,,0.786755
gemma-4-31b-it-q5,switch_rate,llm_baseline,Color (Red/Blue),4,0.499462,0.05567,20,*,1e-06
gemma-4-31b-it-q5,switch_rate,income_high_low,Economic (High/Low Income),5,0.366102,0.049932,20,*,0.000222
gemma-4-31b-it-q5,switch_rate,political_liberal_conservative,Political (Liberal/Conservative),6,0.298177,0.047514,20,,
gemma-4-31b-it-q5,distance,political_liberal_conservative,Political (Liberal/Conservative),1,1.74375,0.156992,20,*,4e-06
gemma-4-31b-it-q5,distance,income_high_low,Economic (High/Low Income),2,1.48875,0.123604,20,*,5e-06
gemma-4-31b-it-q5,distance,llm_baseline,Color (Red/Blue),3,1.29875,0.077151,20,*,0.003234
gemma-4-31b-it-q5,distance,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),4,1.224375,0.076999,20,,0.97833
gemma-4-31b-it-q5,distance,race_white_black,Racial (White/Black),5,1.221875,0.076828,20,,0.342448
gemma-4-31b-it-q5,distance,green_yellow,Color (Green/Yellow),6,1.1975,0.057868,20,,
gemma-4-31b-it-q5,mix_deviation,political_liberal_conservative,Political (Liberal/Conservative),1,0.324496,0.029477,20,*,0.000104
gemma-4-31b-it-q5,mix_deviation,income_high_low,Economic (High/Low Income),2,0.286949,0.028107,20,*,1e-06
gemma-4-31b-it-q5,mix_deviation,llm_baseline,Color (Red/Blue),3,0.212959,0.032513,20,,0.072045
gemma-4-31b-it-q5,mix_deviation,race_white_black,Racial (White/Black),4,0.193882,0.022645,20,,0.924573
gemma-4-31b-it-q5,mix_deviation,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),5,0.19311,0.023421,20,,0.189544
gemma-4-31b-it-q5,mix_deviation,green_yellow,Color (Green/Yellow),6,0.182682,0.026208,20,,
gemma-4-31b-it-q5,share,political_liberal_conservative,Political (Liberal/Conservative),1,0.751938,0.040093,20,*,1.4e-05
gemma-4-31b-it-q5,share,income_high_low,Economic (High/Low Income),2,0.682133,0.042447,20,*,0.0
gemma-4-31b-it-q5,share,llm_baseline,Color (Red/Blue),3,0.573387,0.036235,20,*,0.014364
gemma-4-31b-it-q5,share,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),4,0.540001,0.041413,20,,0.490273
gemma-4-31b-it-q5,share,race_white_black,Racial (White/Black),5,0.529634,0.038433,20,,0.171829
gemma-4-31b-it-q5,share,green_yellow,Color (Green/Yellow),6,0.511441,0.039236,20,,
gemma-4-31b-it-q5,ghetto_rate,political_liberal_conservative,Political (Liberal/Conservative),1,29.85,6.761151,20,*,1.1e-05
gemma-4-31b-it-q5,ghetto_rate,income_high_low,Economic (High/Low Income),2,18.45,5.586403,20,*,4e-06
gemma-4-31b-it-q5,ghetto_rate,llm_baseline,Color (Red/Blue),3,9.15,3.422449,20,*,0.004843
gemma-4-31b-it-q5,ghetto_rate,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),4,5.95,3.56112,20,,0.692484
gemma-4-31b-it-q5,ghetto_rate,race_white_black,Racial (White/Black),5,5.7,3.404332,20,,0.421421
gemma-4-31b-it-q5,ghetto_rate,green_yellow,Color (Green/Yellow),6,4.85,2.539685,20,,
