step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,22.75,3.4924731095675785,15,29,0.5060826737609527,0.05016608280288596,0.43243243243243246,0.6103896103896104,1.224375,0.05552900498601469,1.0625,1.35,0.1928064722724533,0.023522721232760804,0.1554761904761905,0.24793154761904762,0.5312551343301546,0.031203841820394238,0.44711538461538464,0.5927601809954751,6.05,2.3502519461807316,1,12
1,20.7,3.450400434427102,15,26,0.5103150602569219,0.04809517549683998,0.4189189189189189,0.6066666666666667,1.253125,0.06397920612034408,1.1125,1.3875,0.1980500678119349,0.023718152066000604,0.16489583333333332,0.25733630952380954,0.5459304544463587,0.03657323054390433,0.46190476190476193,0.6111111111111112,7.0,2.8469743865891624,2,12
2,19.85,3.1834274809261456,15,26,0.5089258166178318,0.04880215607597949,0.410958904109589,0.6118421052631579,1.26125,0.06588217153612794,1.1,1.3875,0.20206215152200122,0.025331172548769865,0.16074404761904762,0.25931547619047624,0.5517824431006043,0.035731847969934644,0.4597156398104265,0.6111111111111112,7.45,2.625281939746262,3,12
3,19.4,3.454973531774615,14,26,0.504967226531939,0.04944331349832769,0.4068965517241379,0.6148648648648649,1.2737500000000002,0.06588217153612795,1.1125,1.4,0.20396819431886679,0.02589657272764557,0.1632886904761905,0.25486607142857143,0.5576032040530212,0.0367804151039508,0.46859903381642515,0.6113744075829384,7.85,2.8704483420208984,2,12
4,19.3,3.2134585401827866,14,26,0.5056133605372317,0.04965871879893237,0.4068965517241379,0.6038961038961039,1.275625,0.06418453556163792,1.125,1.4,0.20444884908077157,0.025509320445246973,0.1660863095238095,0.25486607142857143,0.5578001189724997,0.03666203744500158,0.470873786407767,0.6113744075829384,8.0,2.752988806446741,2,12
5,18.95,3.0517466957034363,14,26,0.5101781191829098,0.05548175782105331,0.38513513513513514,0.6095890410958904,1.2806250000000001,0.07527089236113854,1.15,1.45,0.2052583728902954,0.02835030761655278,0.16821428571428573,0.2644642857142857,0.5606280559843491,0.03750501643142558,0.49047619047619045,0.631336405529954,8.35,3.3446736918962903,1,15
6,18.6,3.0331501776206204,13,25,0.5064321313387944,0.054453314309650995,0.3819444444444444,0.6066666666666667,1.2875,0.07036091169631646,1.1625,1.4125,0.20725336234177213,0.0288090861951113,0.16354166666666664,0.2683482142857143,0.5631408239665018,0.03573298015541381,0.5118483412322274,0.6232558139534884,8.55,3.3003189638515087,3,15
7,18.38888888888889,3.220136805440358,13,25,0.503870115504139,0.05718912642090836,0.3918918918918919,0.6013513513513513,1.2909722222222222,0.07298841008362865,1.1625,1.45,0.20776084572366219,0.029894764475359752,0.16354166666666664,0.2727083333333334,0.5614586720489103,0.035499199970548435,0.5118483412322274,0.6330275229357798,8.833333333333334,3.365045231756136,3,15
8,18.705882352941178,3.4052295422326693,13,26,0.5008628284000447,0.057759189698770745,0.3918918918918919,0.6095890410958904,1.2904411764705883,0.07837826595127895,1.1625,1.45,0.20881629392263235,0.03161805742575899,0.16354166666666664,0.2727083333333334,0.5605594157178199,0.03705480860569286,0.5071090047393365,0.6330275229357798,8.647058823529411,3.4810410883561156,4,15
9,18.076923076923077,3.2005608482873353,13,23,0.5090069193491303,0.06011246774288344,0.3918918918918919,0.5933333333333334,1.2836538461538463,0.07541285937407727,1.1625,1.45,0.20380807483655586,0.032615426780075854,0.16354166666666664,0.2727083333333334,0.5622324994946497,0.03797177367199027,0.5205479452054794,0.6330275229357798,8.615384615384615,3.7977726265637495,4,15
10,18.23076923076923,3.39494344954979,13,25,0.5070875580408164,0.05951340722612277,0.3918918918918919,0.5933333333333334,1.285576923076923,0.07549250684500806,1.1875,1.45,0.20473756201604304,0.03337873401610383,0.15755952380952382,0.2727083333333334,0.5642447585212883,0.03735049849257957,0.5205479452054794,0.6330275229357798,8.461538461538462,3.9288544686584457,4,15
11,17.846153846153847,2.9957234475763905,13,22,0.5091157847951079,0.0641912931059729,0.3918918918918919,0.5933333333333334,1.2923076923076924,0.07947393138149621,1.1875,1.45,0.2067364926739927,0.03387331864109408,0.15755952380952382,0.2727083333333334,0.5666280856351787,0.038416103576771776,0.518348623853211,0.6330275229357798,8.615384615384615,4.233565509482158,3,15
12,17.916666666666668,2.843120351538663,13,22,0.5034501118974904,0.0654515296526528,0.3918918918918919,0.5958904109589042,1.2947916666666666,0.09036830154563281,1.1875,1.45,0.2070188492063492,0.036886616282736914,0.15755952380952382,0.2727083333333334,0.5680073923794106,0.037572682947562816,0.5324074074074074,0.6330275229357798,8.833333333333334,4.086192567289223,4,16
13,18.0,3.0,13,22,0.5122775284319029,0.05518524231838257,0.41025641025641024,0.5821917808219178,1.2761363636363636,0.07404697526202231,1.1875,1.425,0.20000541125541124,0.032137281312515545,0.15755952380952382,0.25226190476190474,0.5616433844868999,0.03250391603420303,0.5324074074074074,0.6320754716981132,8.090909090909092,3.7001228480834376,4,16
14,17.90909090909091,2.8793938756115134,13,22,0.5120490558883225,0.05516463103444414,0.41025641025641024,0.5666666666666667,1.2750000000000001,0.07964766161036993,1.1875,1.425,0.20039366883116883,0.03271592956580825,0.15755952380952382,0.25226190476190474,0.5592725160490013,0.03551839609556543,0.5138888888888888,0.6320754716981132,7.818181818181818,3.7899388337592423,4,16
15,18.1,3.1073389830457114,13,22,0.5198505942862491,0.04766380241517333,0.4391891891891892,0.5670731707317073,1.26375,0.0830097885794199,1.1625,1.425,0.19730505952380953,0.0320255554603251,0.15842261904761906,0.25226190476190474,0.5544399591250858,0.03669556091792126,0.5138888888888888,0.6320754716981132,7.4,3.7178249316263163,4,16
16,17.88888888888889,3.100179206289713,13,22,0.5168119317854887,0.0474015273972306,0.4391891891891892,0.5670731707317073,1.2694444444444446,0.0765748997895379,1.1625,1.3875,0.20003968253968252,0.03374338805619005,0.15842261904761906,0.25427083333333333,0.5570155786060192,0.036974849283139134,0.5138888888888888,0.6226415094339622,7.444444444444445,3.166666666666667,4,14
17,17.5,3.0237157840738176,13,21,0.5068374400287886,0.04693304816884888,0.4391891891891892,0.5670731707317073,1.28125,0.07499999999999997,1.1625,1.3875,0.20341703869047617,0.035651283660731066,0.15842261904761906,0.25427083333333333,0.5604735601219318,0.040556788067371605,0.5138888888888888,0.6226415094339622,7.75,3.615443067098218,3,14
18,17.625,3.2043497223082786,13,22,0.5042331477693239,0.04728732813395814,0.4391891891891892,0.5670731707317073,1.2796875,0.0749813965022562,1.1625,1.3875,0.20384114583333332,0.03547831665294271,0.15842261904761906,0.25427083333333333,0.561073500658799,0.0398743886698835,0.5138888888888888,0.6226415094339622,7.75,3.615443067098218,3,14
19,17.375,3.020761493398643,13,21,0.5046514794376555,0.04715308901382228,0.4391891891891892,0.5670731707317073,1.2828125,0.07498139650225621,1.1625,1.3875,0.2042875744047619,0.035220084141858295,0.15842261904761906,0.25427083333333333,0.5639406544897378,0.03804376140398479,0.5138888888888888,0.6226415094339622,8.0,3.295017884191656,4,14
