step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,21.7,2.903718124640961,16,28,0.49806338970239866,0.05849240690533335,0.3673469387755102,0.5906040268456376,1.230625,0.07394821712380545,1.1375,1.4,0.20190997023809523,0.025277262318108673,0.15888392857142858,0.26321428571428573,0.5459187359635489,0.040188208970273906,0.4794520547945205,0.6467889908256881,4.7,2.8116299823936184,1,12
1,19.6,3.2346804934547775,13,25,0.48256635114730423,0.05250781919171574,0.3821656050955414,0.5771812080536913,1.259375,0.08160348209159755,1.1375,1.425,0.2176450892857143,0.027668538178601657,0.16684523809523807,0.2924702380952381,0.5652509012880905,0.0450114282582016,0.4798206278026906,0.6696035242290749,6.5,3.720497985909668,0,16
2,20.0,2.9019050004400464,15,24,0.4597604445369464,0.0590133353227102,0.3141025641025641,0.5668789808917197,1.29,0.06683640671937634,1.125,1.4125,0.22680960857444243,0.02885332555234911,0.1685955394816154,0.2817559523809524,0.5804328548896067,0.037158517505567736,0.5154185022026432,0.6403508771929824,7.5,3.4259074863841783,1,14
3,19.4,2.702825032793417,15,25,0.46287444898759206,0.05632641318647439,0.3148148148148148,0.564625850340136,1.29125,0.06400812037299805,1.1625,1.425,0.22842672543701026,0.02155986990301282,0.19200892857142854,0.28385416666666663,0.5812696062516206,0.031178705958158744,0.5304347826086957,0.6452991452991453,7.8,2.647739850474263,3,13
4,18.6,3.5153797429071734,11,25,0.45984639423843154,0.055277823910939244,0.3051948051948052,0.5766871165644172,1.303125,0.08800371926948976,1.1375,1.475,0.23158067736588306,0.029150792699267663,0.1760565476190476,0.30842261904761903,0.5883008118275228,0.04310691872071039,0.5158371040723982,0.6926605504587156,9.15,4.771350906576062,1,18
5,18.2,2.9307803882601857,11,23,0.45197835845833795,0.048821315038146476,0.34210526315789475,0.5324675324675324,1.3074999999999999,0.06668859288553501,1.2125,1.45,0.23473093731163353,0.022778643442010013,0.19732142857142856,0.2846577380952381,0.5957431119172838,0.03770060118438528,0.5475113122171946,0.6995515695067265,8.85,3.453068810569276,3,16
6,18.15,2.497893849668261,11,22,0.45202610003491017,0.04661421022729953,0.36942675159235666,0.535483870967742,1.316875,0.07303061272327413,1.2,1.475,0.2356015201175407,0.021288463626389333,0.20459821428571426,0.27391369047619046,0.5953318511876777,0.037356016948575065,0.5296803652968036,0.7050691244239631,9.65,4.487116058930924,4,21
7,17.3,2.5975697143777743,10,21,0.44275168805102016,0.04885946102820154,0.3057324840764331,0.5157232704402516,1.3431250000000001,0.07505206526139037,1.25,1.525,0.23879940852923448,0.022195011711038357,0.2053869047619048,0.2765476190476191,0.6072370809599726,0.03728439172582157,0.5590909090909091,0.6875,10.2,3.764096312879305,5,17
8,17.4,2.702825032793417,10,23,0.4508027219058116,0.04492875395913243,0.3548387096774194,0.5165562913907285,1.334375,0.09924675190230606,1.225,1.625,0.23343772096837762,0.021616686508100134,0.19936011904761905,0.2829761904761905,0.6008638249424816,0.0428841677911801,0.5321100917431193,0.6986301369863014,9.85,4.042862456491101,3,19
9,17.4,2.643761275949575,11,23,0.4367211940096447,0.04748195528256749,0.34415584415584416,0.50920245398773,1.353125,0.11469890503308859,1.2,1.7375,0.23843363848704038,0.02477963191122852,0.1986011904761905,0.29153273809523805,0.608296050863838,0.042881608772724025,0.5330188679245284,0.7162162162162162,10.7,4.856899595854388,2,25
10,16.3,2.5975697143777743,10,21,0.43517748507574094,0.055196876343303225,0.31724137931034485,0.5138888888888888,1.3643750000000001,0.11867379826539992,1.2125,1.7375,0.24109391011151296,0.022979262437636927,0.19519345238095237,0.2878422619047619,0.6155771640651448,0.04851582395271291,0.5454545454545454,0.7330316742081447,11.6,5.6791400386808,5,27
11,16.5,2.8377159087807513,11,24,0.4392857863165098,0.04653884302416949,0.3375796178343949,0.5197368421052632,1.36125,0.11669094358942116,1.2,1.75,0.2400283020644967,0.024686363242975677,0.20159226190476193,0.30238095238095236,0.6106333504566672,0.046354470970147256,0.5462555066079295,0.7256637168141593,11.1,5.963926647153834,4,28
12,16.2,2.966479394838265,11,23,0.4331294346427038,0.051704289176034965,0.3018867924528302,0.5263157894736842,1.3699999999999999,0.13125156640669297,1.2625,1.8125,0.2449986343429777,0.026525873228621197,0.20909226190476193,0.31446428571428575,0.6162325844250681,0.051003616104621265,0.545045045045045,0.74235807860262,12.3,5.458937625582472,6,28
13,16.6,2.663594721819606,11,21,0.4281083314818834,0.05624250678484767,0.3006134969325153,0.5165562913907285,1.378125,0.13462148446272373,1.2375,1.8125,0.2440758740204943,0.030243736632257805,0.2013839285714286,0.31446428571428575,0.6192632310967058,0.04832380823055978,0.5560538116591929,0.74235807860262,11.35,6.115338782197813,4,28
14,15.85,2.996050031203365,11,21,0.4255129258484228,0.0602135130317084,0.2929936305732484,0.5214723926380368,1.39375,0.13163321249433574,1.25,1.8125,0.2514655948613623,0.03011431582580643,0.2090029761904762,0.31446428571428575,0.6281434583808354,0.04679672528651166,0.5610859728506787,0.74235807860262,13.4,5.557356433261752,5,28
15,15.9,2.95403381657585,11,24,0.4163569286046072,0.04956350091880209,0.3018867924528302,0.4936708860759494,1.413125,0.12640493359375693,1.2625,1.8125,0.2512221688517179,0.03135726586836355,0.19118444846292945,0.31446428571428575,0.6303833119651199,0.049083988087229066,0.5695067264573991,0.74235807860262,13.9,5.369504534625929,6,28
16,15.5,2.7434131641941364,11,21,0.4163888725519299,0.05728847694432925,0.3018867924528302,0.515527950310559,1.40875,0.14008338682070004,1.2125,1.8125,0.2567211516726944,0.03604217312603441,0.18908981314044604,0.33856238698010854,0.6400750232662683,0.05079538736916158,0.5535714285714286,0.74235807860262,14.05,6.021671388891084,6,28
17,16.35,3.688888008172938,11,26,0.4106694733671604,0.05832787198139957,0.2830188679245283,0.49044585987261147,1.410625,0.13304845526111309,1.2625,1.8125,0.25494718203737193,0.039315715829049934,0.19983423749246532,0.36684749849306814,0.6380564043872547,0.05221051515219082,0.5727272727272728,0.7442922374429224,13.4,5.870533016237696,5,28
18,16.105263157894736,2.8066337456918276,11,23,0.4184562555864473,0.048326124646906055,0.294478527607362,0.5069444444444444,1.394736842105263,0.10715025385217149,1.2,1.5875,0.25351331255353576,0.03417096627927729,0.20809523809523806,0.355244122965642,0.6359132790084744,0.04239009831881873,0.5594713656387665,0.7309417040358744,13.473684210526315,5.178678735960785,5,25
19,16.0,2.886751345948129,12,24,0.41555148120261015,0.05115995208148897,0.29878048780487804,0.49693251533742333,1.3980263157894737,0.10174375133477492,1.25,1.6125,0.2581293176852388,0.0321201251535505,0.2025946275946276,0.35187728937728946,0.6383680788088967,0.047365388669933325,0.5638766519823789,0.7351598173515982,13.473684210526315,5.157178611224375,6,22
20,16.36842105263158,2.812877654956644,12,22,0.4017838844937397,0.04572357557457276,0.2919254658385093,0.48125,1.4046052631578947,0.1129013309324376,1.2375,1.625,0.2637051092922179,0.03163114955440974,0.20525297619047622,0.3520042194092827,0.6412982965368796,0.04738970869122803,0.5486725663716814,0.7399103139013453,14.052631578947368,5.502258972564777,7,26
21,15.333333333333334,3.029268985784408,11,23,0.4207921989112538,0.06676607727179033,0.2893081761006289,0.4935897435897436,1.4027777777777777,0.11909242854164875,1.2,1.65,0.2551331018518519,0.03652045865652082,0.21191964285714288,0.3583333333333334,0.6397694060235436,0.051025945318471266,0.5627906976744186,0.7477477477477478,14.0,5.698296959205805,6,28
22,15.444444444444445,2.935026249451156,11,22,0.4130069634087943,0.050576001771160214,0.2893081761006289,0.4797297297297297,1.3986111111111112,0.10466059367919256,1.2375,1.65,0.2568643468287456,0.033123240582972724,0.2158184523809524,0.3583333333333334,0.6434158693362896,0.04410271901078122,0.5818181818181818,0.7477477477477478,13.722222222222221,5.085221442983875,6,28
23,15.333333333333334,3.0486255340823383,11,23,0.41848035064609657,0.04557737798421742,0.2893081761006289,0.487012987012987,1.4187500000000002,0.10949835480902143,1.275,1.65,0.2612946428571428,0.031318745247133954,0.2158184523809524,0.3583333333333334,0.6422690963195165,0.046232863908412476,0.5772727272727273,0.7477477477477478,14.944444444444445,5.428380998183336,7,28
24,14.944444444444445,3.280463063120317,10,22,0.4089568117233652,0.04769736093473825,0.2893081761006289,0.4968152866242038,1.411111111111111,0.121713327071969,1.2125,1.65,0.26276523047686023,0.03516403773035578,0.19929174201326103,0.3583333333333334,0.6445824167791272,0.04843976685310298,0.5727272727272728,0.7477477477477478,15.555555555555555,6.195085549636927,4,28
25,14.88888888888889,2.741594402766581,11,22,0.40281839918812107,0.04631773753169625,0.2893081761006289,0.4934210526315789,1.417361111111111,0.11734962913241921,1.25,1.65,0.26339741979773623,0.03612338829663529,0.21239583333333328,0.3583333333333334,0.6481860230793403,0.05294259657021849,0.5676855895196506,0.7477477477477478,15.61111111111111,5.761320200918914,6,28
26,14.88888888888889,3.122760635547993,11,24,0.39877710977384445,0.0485914310104326,0.2893081761006289,0.4691358024691358,1.43125,0.13320497804688297,1.1625,1.65,0.2658952012591253,0.03631079341253059,0.2135565476190476,0.3583333333333334,0.6528699079468688,0.056635406617788465,0.543859649122807,0.7477477477477478,15.5,6.697233845138647,3,28
27,14.705882352941176,2.7332376836444574,11,21,0.3943135630824274,0.04714220508484783,0.3375796178343949,0.5033112582781457,1.4419117647058823,0.1086980098849154,1.275,1.65,0.2676488316845726,0.02895359706420223,0.2040922619047619,0.3180654761904762,0.6571926824318723,0.048857918136760436,0.5662100456621004,0.7351598173515982,16.0,5.385164807134504,7,25
28,15.411764705882353,3.554202152547948,11,26,0.3998636447581268,0.05313321979332982,0.30985915492957744,0.49375,1.427941176470588,0.11511962288649753,1.2375,1.625,0.2652676798567528,0.03110701972914247,0.21166365280289334,0.30836309523809524,0.6479858811904464,0.05415729619138221,0.5590909090909091,0.726457399103139,15.941176470588236,5.528003575379792,7,25
29,15.588235294117647,3.392248950353802,10,23,0.40147187307242377,0.048968630958433144,0.3291139240506329,0.5060240963855421,1.413235294117647,0.12139091266017643,1.25,1.625,0.26311770910896004,0.03342438548306206,0.18676913803496079,0.3148809523809524,0.6482609801872485,0.05214445254236032,0.5659574468085107,0.7288888888888889,15.352941176470589,6.030559431663328,6,25
30,15.0,3.5,10,25,0.39916066936616845,0.04548174149855724,0.3246753246753247,0.4782608695652174,1.4264705882352942,0.1128365065299451,1.25,1.625,0.2610443259582314,0.02860640769596796,0.20833333333333331,0.3007142857142857,0.6513863290657707,0.04643119511587714,0.5608695652173913,0.7239819004524887,14.764705882352942,5.2977520204883355,5,23
31,15.411764705882353,3.3737742872303227,12,24,0.4064525567605804,0.051138980308752066,0.3464052287581699,0.506578947368421,1.4080882352941178,0.11874516244016502,1.225,1.625,0.26119232661418995,0.031595684069893465,0.1985565476190476,0.3005059523809524,0.6489792694855359,0.05125456916281505,0.5491071428571429,0.7239819004524887,14.588235294117647,5.777746354866789,4,23
32,15.352941176470589,2.6443613706949223,12,20,0.40232693719226975,0.0622250989386659,0.30666666666666664,0.5228758169934641,1.4404411764705882,0.12291458954708923,1.25,1.625,0.26338600946707796,0.03189960744218974,0.19508740204942734,0.3080208333333333,0.6531347964077048,0.05340540622654422,0.5530973451327433,0.7214611872146118,15.823529411764707,5.445586448189569,6,24
