step,clusters_mean,clusters_std,clusters_min,clusters_max,switch_rate_mean,switch_rate_std,switch_rate_min,switch_rate_max,distance_mean,distance_std,distance_min,distance_max,mix_deviation_mean,mix_deviation_std,mix_deviation_min,mix_deviation_max,share_mean,share_std,share_min,share_max,ghetto_rate_mean,ghetto_rate_std,ghetto_rate_min,ghetto_rate_max
0,19.05,2.5848750351551657,13,23,0.49067554816699566,0.046320928858270764,0.4121212121212121,0.56,1.235625,0.07751007998963744,1.1125,1.45,0.20183153443339363,0.028942570226499955,0.14611607142857144,0.25464285714285717,0.5499879418827838,0.04182685880181949,0.46396396396396394,0.6403508771929824,5.3,2.7928480087537886,1,11
1,15.75,3.306691779757495,9,23,0.46536796785219214,0.05291325869784614,0.38271604938271603,0.5512820512820513,1.325,0.07243418064916446,1.2375,1.45,0.22603139127486438,0.03509712371026519,0.17126280892103676,0.2990922619047619,0.5873042672882408,0.047373240792616844,0.502283105022831,0.6842105263157895,9.45,4.006245124802025,4,18
2,14.05,2.818640956579122,7,19,0.444550300379481,0.05704028145080015,0.35185185185185186,0.5460122699386503,1.359375,0.08930239505835161,1.2125,1.55,0.23343438253465942,0.03197938155534247,0.18431547619047617,0.2937160940325498,0.618527683499998,0.04136996988196978,0.5407725321888412,0.7112068965517241,11.75,3.6544853478834383,7,21
3,13.65,2.888725816360089,8,20,0.424261312465788,0.057701096976345366,0.3254437869822485,0.5189873417721519,1.3987500000000002,0.10250962727573702,1.2625,1.575,0.24395698071706776,0.034733159873509764,0.18773809523809523,0.31800595238095236,0.6321734051569162,0.04751788059406544,0.5341880341880342,0.7217391304347827,13.25,5.838844514384494,4,24
4,12.65,2.7772572611727635,9,21,0.3902064738446619,0.048029505257835524,0.2830188679245283,0.4720496894409938,1.45,0.10629836360576374,1.3,1.675,0.25784470125075354,0.03622590342593146,0.20607142857142854,0.34089285714285716,0.651531165539737,0.04702243413990392,0.5777777777777777,0.7339055793991416,15.15,4.891184336183448,6,24
5,11.6,2.583347481568501,6,15,0.3733542963126086,0.05046522840483845,0.25308641975308643,0.44871794871794873,1.4893750000000001,0.10026896394986311,1.3625,1.675,0.27434749921755464,0.03317280432514888,0.22614583333333335,0.3497470238095238,0.6751515323438758,0.040258238317849894,0.6098654708520179,0.7424892703862661,18.1,5.729884723741693,10,29
6,10.9,2.673456268775053,6,16,0.36716811412021155,0.05394597164676059,0.27044025157232704,0.45121951219512196,1.511875,0.12885343315892714,1.3125,1.8375,0.27464981728450877,0.03528124578039611,0.22430059523809526,0.34883928571428574,0.680902949053755,0.04141407637926028,0.6133333333333333,0.7468354430379747,18.45,6.5492064605689375,9,31
7,10.95,2.584875035155166,7,17,0.3625256597894938,0.04726376910966116,0.2865853658536585,0.44155844155844154,1.54125,0.1265106090828999,1.35,1.8875,0.28333825911693794,0.03092202500916147,0.2291815476190476,0.3386755952380952,0.6908957778974404,0.03508122991953779,0.6283185840707964,0.7542372881355932,20.4,5.285531392893543,13,33
8,10.65,2.3232237130876205,6,14,0.36014372808857853,0.05277708703908976,0.23353293413173654,0.45454545454545453,1.543125,0.13330780320272648,1.275,1.8875,0.284381941305003,0.03530002456814231,0.22793154761904763,0.3667261904761905,0.6959903440639789,0.0375505275431991,0.6173913043478261,0.7565217391304347,20.25,5.108043193157033,10,33
9,10.85,2.7003898354048608,4,17,0.34791551820319133,0.054385901299495686,0.22699386503067484,0.4437869822485207,1.5550000000000002,0.12698425099200292,1.3,1.8875,0.2881638532441539,0.03439214478733924,0.2212202380952381,0.3678869047619048,0.6994215663025908,0.042314486943540966,0.6160337552742616,0.7610619469026548,21.05,5.443247869463693,10,33
10,10.0,2.4279079146675357,4,15,0.33903964103377277,0.05554565833408301,0.22699386503067484,0.4431137724550898,1.6,0.14418555296634447,1.2875,1.8875,0.29458809900542493,0.03774111160962315,0.20166666666666666,0.3678869047619048,0.7120763206695142,0.04435865825689345,0.620253164556962,0.7610619469026548,23.1,6.163560146880253,10,33
11,9.9,2.7125439603519985,3,15,0.3288586638899017,0.057397073360276586,0.22699386503067484,0.422360248447205,1.6287500000000001,0.14718297777721592,1.375,1.9125,0.3022325478450874,0.03836101356581625,0.23276785714285714,0.37087797619047624,0.7225140171853724,0.04937387900410067,0.6218487394957983,0.7962962962962963,24.3,6.546192143448538,11,35
