metric,hi,lo,gap,se_gap,gap_over_se,se_paired,floor,s_obs,flip_frac,class,tie_reason,w_pair
clusters,green_yellow,political_liberal_conservative,17.4063,0.09050315526605308,192.32810114554036,True,2.58,0.0,0.0,CERTIFIED,,
clusters,political_liberal_conservative,income_high_low,0.2908999999999935,0.0929902814182419,3.128283897664683,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,income_high_low,baseline,3.796900000000001,0.09370732706311996,40.51870989172983,True,2.58,0.0,0.0,CERTIFIED,,
clusters,baseline,race_white_black,31.18070000000001,0.07721114496684212,403.83677788213583,True,2.58,0.0,0.0,CERTIFIED,,
clusters,race_white_black,ethnic_asian_hispanic,3.655299999999997,0.02729253889376961,133.93037614519753,True,2.58,0.0,0.0,CERTIFIED,,
switch_rate,green_yellow,income_high_low,0.036109567137814436,0.00032646682202085923,110.60715730404989,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,income_high_low,political_liberal_conservative,0.00954295684872658,0.0002882457330912326,33.107018606607234,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,political_liberal_conservative,baseline,0.007207029777633989,0.00025884710882603644,27.842805779521463,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,baseline,ethnic_asian_hispanic,0.033909914442397826,0.00022035113318748532,153.89035650452337,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,ethnic_asian_hispanic,race_white_black,5.785330442831249e-05,5.330332261049105e-05,1.085360191353736,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
distance,green_yellow,income_high_low,0.17021750000000013,0.001212973867426791,140.330723168093,True,0.00804,0.0,0.0,CERTIFIED,,
distance,income_high_low,political_liberal_conservative,0.024975624999999946,0.0009603454878292692,26.006916590459504,True,0.00804,0.0,0.0,CERTIFIED,,
distance,political_liberal_conservative,baseline,0.032042499999999974,0.0008359604828760706,38.33016112168332,True,0.00804,0.0,0.0,CERTIFIED,,
distance,baseline,race_white_black,0.21553156249999983,0.0007547140473741958,285.5804304290852,True,0.00804,0.0,0.0,CERTIFIED,,
distance,race_white_black,ethnic_asian_hispanic,0.01776718750000006,0.0001556553395284169,114.14441389436838,True,0.00804,0.0,0.0,CERTIFIED,,
mix_deviation,green_yellow,income_high_low,0.02578942765668027,0.000204193426873076,126.29900997112236,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,income_high_low,political_liberal_conservative,0.01044294577227628,0.00018583663208484477,56.194226375715274,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,political_liberal_conservative,baseline,0.005480987161045697,0.00016647722862796733,32.92334456920987,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,baseline,race_white_black,0.0374676118443911,0.0001378716988114156,271.7570913203894,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,race_white_black,ethnic_asian_hispanic,0.0006410966484719227,2.7570536699005454e-05,23.25296222815455,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
share,green_yellow,income_high_low,0.05891000673897806,0.00030206567554991745,195.02383589837225,True,0.00486,0.0,0.0,CERTIFIED,,
share,income_high_low,political_liberal_conservative,0.006622792877084671,0.00029012137322173445,22.827662793471585,True,0.00486,0.0,0.0,CERTIFIED,,
share,political_liberal_conservative,baseline,0.017524981612773383,0.0002644539405639053,66.26855918805441,True,0.00486,0.0,0.0,CERTIFIED,,
share,baseline,race_white_black,0.0937330062882934,0.0002215083840003699,423.1578263337286,True,0.00486,0.0,0.0,CERTIFIED,,
share,race_white_black,ethnic_asian_hispanic,0.007658844883743021,5.6536787675326834e-05,135.46657315808926,True,0.00486,0.0,0.0,CERTIFIED,,
ghetto_rate,green_yellow,income_high_low,24.8172,0.1589949884638999,156.0879386184854,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,income_high_low,political_liberal_conservative,3.797000000000004,0.13704414328865341,27.706401082769784,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,political_liberal_conservative,baseline,5.519199999999998,0.12450065532886857,44.33069035195861,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,baseline,race_white_black,33.6278,0.10698883762868777,314.3112940128168,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,race_white_black,ethnic_asian_hispanic,2.8522999999999996,0.027958301766447948,102.0197873185192,True,1.18,0.0,0.0,CERTIFIED,,
dissimilarity_index,green_yellow,income_high_low,0.037588125000000056,0.0005324851810804171,70.5899926148807,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,income_high_low,political_liberal_conservative,0.009716874999999986,0.0005012205383872928,19.38642624515072,True,0.01,0.0,0.0,FLOOR-TIE,gap below floor,
dissimilarity_index,political_liberal_conservative,baseline,0.008746250000000011,0.0004219497040513536,20.728181382811314,True,0.01,0.0,0.0,FLOOR-TIE,gap below floor,
dissimilarity_index,baseline,race_white_black,0.06508874999999997,0.00035782063894459115,181.90328593672604,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,race_white_black,ethnic_asian_hispanic,0.004692500000000016,8.366783674561312e-05,56.0848730231579,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
