run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,green_yellow,True,15,0.27499999999999997,44,0.4246575342465753,1.64375,0.2583110119047619,0.694300518134715,89,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,19,20,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
1,green_yellow,True,5,0.36875,25,0.4012345679012346,1.803125,0.2729947916666667,0.7204641350210971,103,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,9,10,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
2,green_yellow,True,7,0.29375,52,0.44976816074188564,1.559375,0.22868338557993736,0.657922350472193,76,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,11,12,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
3,green_yellow,True,12,0.24375,37,0.4048706240487062,1.784375,0.2604389880952381,0.700836820083682,98,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,16,17,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
4,green_yellow,True,8,0.30624999999999997,30,0.38345864661654133,1.671875,0.27168526785714286,0.7234262125902993,97,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,12,13,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
5,green_yellow,True,5,0.3875,35,0.4185692541856925,1.665625,0.25317708333333333,0.6926315789473684,101,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,9,10,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
6,green_yellow,True,9,0.2875,47,0.3975720789074355,1.63125,0.24207961309523812,0.6774869109947644,78,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,13,14,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
7,green_yellow,True,6,0.25,45,0.40902255639097745,1.56875,0.24287574404761902,0.6756476683937824,72,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,10,11,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
8,green_yellow,True,8,0.16875,33,0.4117647058823529,1.584375,0.24867187499999996,0.7035069075451648,77,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,12,13,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
9,green_yellow,True,14,0.26875,31,0.4567901234567901,1.60625,0.2316703869047619,0.6666666666666666,77,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,18,19,converged,llm_green_yellow_20260906_004413,gemma-4-31b-vf-lp,live
