run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,political_liberal_conservative,True,5,0.14375,56,0.4655436447166922,1.38125,0.2113764880952381,0.6090621707060063,43,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,9,10,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
1,political_liberal_conservative,True,10,0.31250000000000006,47,0.40342679127725856,1.54375,0.24953497023809526,0.6724324324324324,82,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,14,15,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
2,political_liberal_conservative,True,7,0.25,62,0.49921752738654146,1.3875,0.19936011904761902,0.6090712742980562,52,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,11,12,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
3,political_liberal_conservative,True,13,0.23124999999999996,63,0.440809968847352,1.415625,0.21353422619047618,0.6192513368983957,61,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,17,18,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
4,political_liberal_conservative,True,9,0.23124999999999998,41,0.45839874411302983,1.4625,0.2298921130952381,0.6545064377682404,60,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,13,14,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
5,political_liberal_conservative,True,3,0.21874999999999997,64,0.49139280125195617,1.33125,0.1877827380952381,0.5837837837837838,43,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,7,8,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
6,political_liberal_conservative,True,11,0.26875,56,0.4331306990881459,1.46875,0.2164211309523809,0.629822732012513,60,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,15,16,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
7,political_liberal_conservative,True,4,0.21250000000000002,58,0.4439461883408072,1.36875,0.20084077380952384,0.6041450777202072,44,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,8,9,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
8,political_liberal_conservative,True,7,0.17500000000000002,53,0.4813664596273292,1.396875,0.20218750000000002,0.6305732484076433,47,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,11,12,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
9,political_liberal_conservative,True,6,0.18749999999999997,37,0.5015060240963856,1.409375,0.20238095238095238,0.6101159114857745,46,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,10,11,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
10,political_liberal_conservative,True,5,0.1875,69,0.49228395061728397,1.3375,0.18532366071428572,0.5829787234042553,39,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,9,10,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
11,political_liberal_conservative,True,8,0.1875,46,0.46615384615384614,1.390625,0.20931547619047616,0.6240601503759399,48,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,12,13,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
12,political_liberal_conservative,True,3,0.25,53,0.46307692307692305,1.48125,0.2178534226190476,0.6247334754797441,55,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,7,8,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
13,political_liberal_conservative,True,12,0.38125,41,0.413312693498452,1.809375,0.26024181547619046,0.690200210748156,101,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,16,17,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
14,political_liberal_conservative,True,5,0.275,64,0.46322378716744916,1.40625,0.19981026785714287,0.6068376068376068,47,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,9,10,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
15,political_liberal_conservative,True,5,0.2,59,0.48773006134969327,1.371875,0.19828125000000002,0.6182965299684543,44,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,9,10,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
16,political_liberal_conservative,True,4,0.19374999999999998,68,0.4908814589665654,1.278125,0.1766703869047619,0.5743099787685775,34,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,8,9,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
17,political_liberal_conservative,True,4,0.125,53,0.48148148148148145,1.375,0.19597470238095238,0.6141649048625792,47,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,8,9,converged,llm_political_liberal_conservative_20260906_004304,gemma-4-31b-vf-lp,live
