run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,race_white_black,True,2,0.07500000000000001,104,0.5200594353640416,1.11875,0.16276309896999555,0.48863636363636365,7,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,6,7,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
1,race_white_black,True,2,0.14999999999999997,101,0.4922360248447205,1.15,0.16807291666666666,0.4967741935483871,8,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,6,7,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
2,race_white_black,True,2,0.15,104,0.5238095238095238,1.13125,0.1522061011904762,0.487778958554729,11,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,6,7,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
3,race_white_black,True,1,0.13125,108,0.4984848484848485,1.15,0.16562872023809525,0.48595213319458896,16,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,5,6,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
4,race_white_black,True,2,0.15000000000000002,80,0.4842105263157895,1.215625,0.18298253470667264,0.5220125786163522,24,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,6,7,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
5,race_white_black,True,1,0.16250000000000003,88,0.5514018691588785,1.190625,0.16788690476190476,0.5048128342245989,20,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,5,6,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
6,race_white_black,True,3,0.16250000000000003,90,0.45950155763239875,1.271875,0.17949404761904764,0.5399361022364217,28,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,7,8,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
7,race_white_black,True,1,0.13125,93,0.4938080495356037,1.184375,0.17513392857142857,0.5267094017094017,12,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,5,6,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
8,race_white_black,True,1,0.10625000000000002,102,0.49842271293375395,1.2,0.1634672619047619,0.5180851063829788,12,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,5,6,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
9,race_white_black,True,1,0.10625000000000001,76,0.5409090909090909,1.184375,0.15848958333333335,0.5042016806722689,13,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,5,6,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
10,race_white_black,True,1,0.1375,98,0.5069124423963134,1.165625,0.16287574404761904,0.5180084745762712,12,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,5,6,converged,llm_race_white_black_20260906_003844,gemma-4-31b-vf-lp,live
