metric,hi,lo,gap,se_gap,gap_over_se,se_paired,floor,s_obs,flip_frac,class,tie_reason,w_pair
clusters,baseline,political_liberal_conservative,1.9483000000000033,0.0357215665114424,54.54128108788063,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,political_liberal_conservative,green_yellow,1.7745000000000033,0.025837796619940664,68.67845683987268,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,green_yellow,income_high_low,1.3303999999999974,0.01814818226853492,73.30761727617357,True,2.58,0.0,0.0,FLOOR-TIE,both at chance level,
clusters,income_high_low,race_white_black,0.014899999999997249,0.001645621404509767,9.054330454844795,True,2.58,0.0,0.0,FLOOR-TIE,both at chance level,
clusters,race_white_black,ethnic_asian_hispanic,0.0006000000000057071,0.00037413633584534395,1.6036934735302695,True,2.58,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,ethnic_asian_hispanic,race_white_black,8.189727707108574e-08,4.386933126579182e-07,0.18668458056698745,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,race_white_black,income_high_low,4.285836964212919e-06,2.99487461631022e-06,1.431057227194775,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,income_high_low,green_yellow,0.00023506601026457297,2.8983733408346004e-05,8.11027368188822,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,green_yellow,baseline,4.5330228701456754e-05,5.2396816736585783e-05,0.8651332566507838,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,baseline,political_liberal_conservative,9.922795905259463e-05,6.45359158085361e-05,1.537561802748445,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
distance,baseline,political_liberal_conservative,0.009211875000000092,0.00019737749475555997,46.67135435784327,True,0.00804,0.0,0.0,CERTIFIED,,
distance,political_liberal_conservative,green_yellow,0.007953437499999882,0.00013883633224889155,57.28642763150624,True,0.00804,0.0,0.0,FLOOR-TIE,gap below floor,
distance,green_yellow,income_high_low,0.007205312499999783,0.00010587246948316555,68.05652626385066,True,0.00804,0.0,0.0,FLOOR-TIE,both at chance level,
distance,income_high_low,race_white_black,7.812500000015099e-05,8.848939417262437e-06,8.828741650976319,True,0.00804,0.0,0.0,FLOOR-TIE,both at chance level,
distance,race_white_black,ethnic_asian_hispanic,5.312500000131948e-06,3.4655587564091777e-06,1.5329418352255755,True,0.00804,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,baseline,political_liberal_conservative,0.00023406773182638174,3.3182605560273104e-05,7.053928643464105,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,political_liberal_conservative,green_yellow,8.870093320539896e-05,2.364340985148433e-05,3.7516133993604277,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,green_yellow,income_high_low,0.0005770269123187011,1.5684086183651867e-05,36.79059816185904,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,income_high_low,race_white_black,6.557758154196458e-06,1.423143037425349e-06,4.607940299564193,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,race_white_black,ethnic_asian_hispanic,6.168154761954092e-07,4.988891906267604e-07,1.2363777122941801,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
share,baseline,political_liberal_conservative,0.0037897193871792023,7.08534101271375e-05,53.48676062844441,True,0.00486,0.0,0.0,FLOOR-TIE,gap below floor,
share,political_liberal_conservative,green_yellow,0.003317913653967053,5.405542197507146e-05,61.37984928685161,True,0.00486,0.0,0.0,FLOOR-TIE,gap below floor,
share,green_yellow,income_high_low,0.003504038329106396,4.5052516686934863e-05,77.77675004163663,True,0.00486,0.0,0.0,FLOOR-TIE,both at chance level,
share,income_high_low,race_white_black,3.803206271685289e-05,4.0388843004617894e-06,9.41647739513223,True,0.00486,0.0,0.0,FLOOR-TIE,both at chance level,
share,race_white_black,ethnic_asian_hispanic,1.4607395523724698e-06,1.1245658860275857e-06,1.29893639005215,True,0.00486,0.0,0.0,FLOOR-TIE,both at chance level,
ghetto_rate,baseline,political_liberal_conservative,1.4861000000000004,0.03507654081250797,42.36734767956568,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,political_liberal_conservative,green_yellow,1.280899999999999,0.025192518438983624,50.844460155992095,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,green_yellow,income_high_low,1.1405000000000012,0.01932856265565118,59.00593956822485,True,1.18,0.0,0.0,FLOOR-TIE,both at chance level,
ghetto_rate,income_high_low,race_white_black,0.013499999999998735,0.0017123282999532193,7.8840021509704385,True,1.18,0.0,0.0,FLOOR-TIE,both at chance level,
ghetto_rate,race_white_black,ethnic_asian_hispanic,0.000600000000000378,0.0006,1.0000000000006302,True,1.18,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,baseline,political_liberal_conservative,0.0026156250000000103,0.00010543515361633097,24.807902395798976,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,political_liberal_conservative,green_yellow,0.002031250000000012,7.409652571654306e-05,27.413566025626867,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,green_yellow,income_high_low,0.0020874999999999644,4.7578140915228024e-05,43.87519057794526,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,income_high_low,race_white_black,2.312499999999884e-05,4.876169207494137e-06,4.742452325989478,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,race_white_black,ethnic_asian_hispanic,0.0,1.2500625046878903e-06,0.0,True,0.01,0.0,0.0,EXACT-TIE,,
