llm_model,metric,scenario,scenario_label,rank,mean_value,std_value,n_runs,significant_vs_next,p_value_vs_next,test_vs_next,excess_vs_chance,significant_vs_chance,p_value_vs_chance
phi-4-14b-vf-lp,dissimilarity_index,llm_baseline,Color (Red/Blue),1,0.131703,0.035556,10000,***,0.0,paired t,0.006758,***,0.0
phi-4-14b-vf-lp,dissimilarity_index,political_liberal_conservative,Political (Liberal/Conservative),2,0.129087,0.034736,10000,***,0.0,paired t,0.004142,***,0.0
phi-4-14b-vf-lp,dissimilarity_index,green_yellow,Color (Green/Yellow),3,0.127056,0.034058,10000,***,0.0,paired t,0.002111,***,0.0
phi-4-14b-vf-lp,dissimilarity_index,income_high_low,Economic (High/Low Income),4,0.124968,0.033343,10000,***,3e-06,paired t,2.4e-05,***,2e-06
phi-4-14b-vf-lp,dissimilarity_index,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),5,0.124945,0.033329,10000,,1.0,paired t,1e-06,,0.317335
phi-4-14b-vf-lp,dissimilarity_index,race_white_black,Racial (White/Black),6,0.124945,0.033329,10000,,,,1e-06,,0.563729
phi-4-14b-vf-lp,clusters,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),1,96.075,8.439473,10000,,0.108813,paired t,0.0003,,0.179726
phi-4-14b-vf-lp,clusters,race_white_black,Racial (White/Black),2,96.0744,8.439739,10000,***,0.0,paired t,0.0009,*,0.029042
phi-4-14b-vf-lp,clusters,income_high_low,Economic (High/Low Income),3,96.0595,8.440574,10000,***,0.0,paired t,0.0158,***,0.0
phi-4-14b-vf-lp,clusters,green_yellow,Color (Green/Yellow),4,94.7291,8.710953,10000,***,0.0,paired t,1.3462,***,0.0
phi-4-14b-vf-lp,clusters,political_liberal_conservative,Political (Liberal/Conservative),5,92.9546,8.795333,10000,***,0.0,paired t,3.1207,***,0.0
phi-4-14b-vf-lp,clusters,llm_baseline,Color (Red/Blue),6,91.0063,9.042933,10000,,,,5.069,***,0.0
phi-4-14b-vf-lp,switch_rate,political_liberal_conservative,Political (Liberal/Conservative),1,0.502069,0.020227,10000,,0.124187,paired t,-0.000384,,0.0
phi-4-14b-vf-lp,switch_rate,llm_baseline,Color (Red/Blue),2,0.50197,0.020315,10000,,0.386986,paired t,-0.000285,,0.0
phi-4-14b-vf-lp,switch_rate,green_yellow,Color (Green/Yellow),3,0.501925,0.020099,10000,***,0.0,paired t,-0.000239,,0.0
phi-4-14b-vf-lp,switch_rate,income_high_low,Economic (High/Low Income),4,0.50169,0.019961,10000,,0.152445,paired t,-4e-06,,0.168066
phi-4-14b-vf-lp,switch_rate,race_white_black,Racial (White/Black),5,0.501685,0.019962,10000,,0.851912,paired t,0.0,,0.849803
phi-4-14b-vf-lp,switch_rate,ethnic_asian_hispanic,Ethnic (Asian/Hispanic),6,0.501685,0.019962,10000,,,,0.0,,0.313828
phi-4-14b-vf-lp,distance,llm_baseline,Color (Red/Blue),1,1.175629,0.033187,10000,***,0.0,paired t,0.024456,***,0.0
