run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,political_liberal_conservative,True,1,0.06875,104,0.5215453194650818,1.115625,0.1614905209732796,0.48651452282157676,7,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
1,political_liberal_conservative,True,0,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,4,5,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
2,political_liberal_conservative,True,7,0.13124999999999998,105,0.5255023183925811,1.1375,0.15244791666666666,0.4878048780487805,12,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,11,12,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
3,political_liberal_conservative,True,4,0.125,111,0.49544072948328266,1.14375,0.16290922619047618,0.4812108559498956,15,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,8,9,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
4,political_liberal_conservative,True,13,0.15624999999999997,80,0.4940828402366864,1.2,0.18200104493207941,0.5254413291796469,23,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,17,18,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
5,political_liberal_conservative,True,1,0.16250000000000003,90,0.554160125588697,1.171875,0.16884300595238094,0.4956989247311828,16,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
6,political_liberal_conservative,True,8,0.15,91,0.45950155763239875,1.24375,0.17658110119047618,0.5343347639484979,24,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,12,13,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
7,political_liberal_conservative,True,1,0.13125,94,0.4938080495356037,1.16875,0.17487723214285716,0.5219251336898396,9,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
8,political_liberal_conservative,True,1,0.1,106,0.4952978056426332,1.18125,0.16455729166666666,0.5138592750533049,11,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
9,political_liberal_conservative,True,5,0.10000000000000003,76,0.540090771558245,1.190625,0.1592708333333333,0.4989539748953975,13,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,9,10,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
10,political_liberal_conservative,True,1,0.14375000000000002,99,0.5030864197530864,1.16875,0.16387276785714286,0.5153764581124072,11,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
11,political_liberal_conservative,True,1,0.11875,94,0.512539184952978,1.153125,0.16664806547619046,0.49625668449197863,11,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
12,political_liberal_conservative,True,1,0.15625,86,0.48142414860681115,1.225,0.18988095238095237,0.5223404255319148,16,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
13,political_liberal_conservative,True,2,0.21250000000000002,88,0.5068285280728376,1.203125,0.1774590773809524,0.5158562367864693,15,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,6,7,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
14,political_liberal_conservative,True,1,0.1625,95,0.5220700152207002,1.1375,0.15944196428571428,0.49156118143459915,9,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
15,political_liberal_conservative,True,6,0.15625,85,0.5166666666666667,1.18125,0.16580357142857144,0.518324607329843,12,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,10,11,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
16,political_liberal_conservative,True,1,0.125,87,0.518796992481203,1.134375,0.14984747023809525,0.498416050686378,7,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
17,political_liberal_conservative,True,1,0.10625000000000001,94,0.48328267477203646,1.175,0.1678422619047619,0.5095137420718816,13,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
18,political_liberal_conservative,True,4,0.14375000000000002,90,0.48989113530326595,1.184375,0.18418793849828335,0.5148936170212766,15,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,8,9,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
19,political_liberal_conservative,True,1,0.06250000000000001,117,0.5053929121725732,1.125,0.158125,0.48504273504273504,3,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
20,political_liberal_conservative,True,1,0.11875000000000001,87,0.5203761755485894,1.1875,0.1595424107142857,0.5197860962566845,12,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,5,6,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
21,political_liberal_conservative,True,2,0.09375,90,0.5015384615384615,1.18125,0.17803943452380952,0.5164021164021164,13,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,6,7,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
22,political_liberal_conservative,True,4,0.19375,101,0.45839874411302983,1.2,0.17998139880952382,0.5117521367521367,16,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,8,9,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
23,political_liberal_conservative,True,2,0.11249999999999999,94,0.495398773006135,1.1625,0.16797619047619045,0.5010548523206751,11,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,6,7,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
24,political_liberal_conservative,True,0,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,4,5,converged,llm_political_liberal_conservative_20260906_010403,phi-4-14b-vf-lp,live
