metric,hi,lo,gap,se_gap,gap_over_se,se_paired,floor,s_obs,flip_frac,class,tie_reason,w_pair
clusters,political_liberal_conservative,baseline,0.003200000000006753,0.03810044803429536,0.08398851365543882,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,baseline,income_high_low,4.692999999999998,0.031897285835700326,147.12850567202375,True,2.58,0.0,0.0,CERTIFIED,,
clusters,income_high_low,race_white_black,1.1591999999999985,0.016251521380926753,71.32870657638665,True,2.58,0.0,0.0,FLOOR-TIE,both at chance level,
clusters,race_white_black,green_yellow,0.012000000000000455,0.002355027519045488,5.095481858685097,True,2.58,0.0,0.0,FLOOR-TIE,both at chance level,
clusters,green_yellow,ethnic_asian_hispanic,0.013199999999997658,0.0017328809213644088,7.617372802283753,True,2.58,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,ethnic_asian_hispanic,race_white_black,2.6381725825030955e-06,3.6980002738749525e-06,0.7134051885125158,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,race_white_black,green_yellow,3.103157477535312e-06,4.143611294942513e-06,0.7489016842199635,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,green_yellow,income_high_low,0.00016624601632941882,2.675678146669467e-05,6.2132292157916105,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,income_high_low,political_liberal_conservative,0.0001346901859872185,5.6174725977462216e-05,2.3977008101696367,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,political_liberal_conservative,baseline,3.0454946301161634e-05,7.032435389042747e-05,0.4330640043791025,True,0.00606,0.0,0.0,FLOOR-TIE,both at chance level,
distance,baseline,political_liberal_conservative,0.00047593750000007873,0.00020123265490844058,2.365110673596325,True,0.00804,0.0,0.0,FLOOR-TIE,gap below floor,
distance,political_liberal_conservative,income_high_low,0.021681562499999973,0.0001790457318313343,121.09510949093479,True,0.00804,0.0,0.0,CERTIFIED,,
distance,income_high_low,race_white_black,0.005971562499999861,9.32185510343036e-05,64.05980820064859,True,0.00804,0.0,0.0,FLOOR-TIE,both at chance level,
distance,race_white_black,green_yellow,5.781250000014282e-05,1.2838184144636197e-05,4.503167998590901,True,0.00804,0.0,0.0,FLOOR-TIE,both at chance level,
distance,green_yellow,ethnic_asian_hispanic,6.562499999995808e-05,1.0742494522053788e-05,6.108916310381479,True,0.00804,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,baseline,political_liberal_conservative,0.00019938612368691766,3.599004004780785e-05,5.540036171731414,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,political_liberal_conservative,income_high_low,0.0004967759655707948,3.0058208249614204e-05,16.52713167216715,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,income_high_low,race_white_black,0.0003906690143605507,1.4183043434129238e-05,27.544794329577236,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,race_white_black,green_yellow,3.9461160247777904e-06,2.0285266888022956e-06,1.94531136640243,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,green_yellow,ethnic_asian_hispanic,3.06339798850086e-06,1.5239266330866852e-06,2.0102004400933686,True,0.003,0.0,0.0,FLOOR-TIE,both at chance level,
share,baseline,political_liberal_conservative,0.00015202868707953066,7.012795776206054e-05,2.167875579599135,True,0.00486,0.0,0.0,FLOOR-TIE,gap below floor,
share,political_liberal_conservative,income_high_low,0.009289531203938717,6.531924248433552e-05,142.21737501267683,True,0.00486,0.0,0.0,CERTIFIED,,
share,income_high_low,race_white_black,0.0028433222706835126,3.7605180994816983e-05,75.60985469197449,True,0.00486,0.0,0.0,FLOOR-TIE,both at chance level,
share,race_white_black,green_yellow,2.5990206263315496e-05,5.407041057948535e-06,4.806733661677861,True,0.00486,0.0,0.0,FLOOR-TIE,both at chance level,
share,green_yellow,ethnic_asian_hispanic,3.5484821207965034e-05,4.1433415374675275e-06,8.5643003085992,True,0.00486,0.0,0.0,FLOOR-TIE,both at chance level,
ghetto_rate,baseline,political_liberal_conservative,0.10379999999999967,0.034899346017300145,2.974267768471776,True,1.18,0.0,0.0,FLOOR-TIE,gap below floor,
ghetto_rate,political_liberal_conservative,income_high_low,3.4685000000000006,0.03186506414917947,108.84961611129582,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,income_high_low,race_white_black,0.9474,0.016947331506892774,55.90260623713391,True,1.18,0.0,0.0,FLOOR-TIE,both at chance level,
ghetto_rate,race_white_black,green_yellow,0.00990000000000002,0.002328248499217257,4.252123432412107,True,1.18,0.0,0.0,FLOOR-TIE,both at chance level,
ghetto_rate,green_yellow,ethnic_asian_hispanic,0.009999999999999787,0.002002598571882046,4.993512000061883,True,1.18,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,baseline,political_liberal_conservative,0.00037124999999998964,0.00011512579636488457,3.224733393577007,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,political_liberal_conservative,income_high_low,0.005701874999999995,9.359222042354738e-05,60.922531533031446,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,income_high_low,race_white_black,0.0016650000000000137,4.39939887610195e-05,37.84607958702014,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,race_white_black,green_yellow,1.8749999999997935e-05,6.786987554873444e-06,2.7626395139820707,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
dissimilarity_index,green_yellow,ethnic_asian_hispanic,2.1874999999990652e-05,5.034412375669762e-06,4.345094991762663,True,0.01,0.0,0.0,FLOOR-TIE,both at chance level,
