run_id,scenario_key,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,llm_baseline,baseline,True,10,0.06875,103,0.5266272189349113,1.1125,0.1605463502015226,0.488659793814433,6,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,14,15,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
1,llm_baseline,baseline,True,2,0.14999999999999997,100,0.4953271028037383,1.15625,0.1675669642857143,0.4989247311827957,7,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,6,7,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
2,llm_baseline,baseline,True,6,0.14375,104,0.522273425499232,1.13125,0.15191592261904763,0.49042553191489363,11,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,10,11,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
3,llm_baseline,baseline,True,7,0.13125,108,0.4954128440366973,1.153125,0.1643452380952381,0.4859228362877998,16,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,11,12,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
4,llm_baseline,baseline,True,1,0.15000000000000002,86,0.48059701492537316,1.18125,0.17897574123989218,0.5083507306889353,18,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,5,6,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
5,llm_baseline,baseline,True,5,0.15625,85,0.5522620904836193,1.1875,0.169453125,0.5026852846401718,19,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,9,10,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
6,llm_baseline,baseline,True,4,0.17500000000000002,89,0.46594427244582043,1.240625,0.17589285714285713,0.5360169491525424,23,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,8,9,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
7,llm_baseline,baseline,True,7,0.1375,92,0.49382716049382713,1.1875,0.1761383928571429,0.5287846481876333,12,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,11,12,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
8,llm_baseline,baseline,True,2,0.1,106,0.4952681388012618,1.18125,0.1644122023809524,0.5154749199573105,12,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,6,7,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
9,llm_baseline,baseline,True,3,0.10625000000000001,76,0.5481927710843374,1.178125,0.15997395833333333,0.5010482180293501,15,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,7,8,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
10,llm_baseline,baseline,True,1,0.14375000000000002,100,0.5015290519877675,1.15625,0.16132068452380954,0.510593220338983,9,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,5,6,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
11,llm_baseline,baseline,True,3,0.125,95,0.5141509433962265,1.159375,0.16509300595238097,0.49785867237687365,11,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,7,8,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
12,llm_baseline,baseline,True,2,0.14375,81,0.4815950920245399,1.225,0.18895833333333334,0.5319148936170213,16,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,6,7,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
13,llm_baseline,baseline,True,1,0.2125,90,0.5053435114503817,1.1875,0.1742857142857143,0.5084566596194503,11,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,5,6,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
14,llm_baseline,baseline,True,8,0.175,89,0.5217391304347826,1.153125,0.1602938988095238,0.4984358706986444,14,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,12,13,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
15,llm_baseline,baseline,True,4,0.14375,86,0.5151057401812689,1.184375,0.16587425595238098,0.5187110187110187,13,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,8,9,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
16,llm_baseline,baseline,True,7,0.13749999999999998,83,0.5219364599092284,1.153125,0.152109375,0.5079533404029692,13,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,11,12,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
17,llm_baseline,baseline,True,9,0.1125,88,0.4879518072289157,1.1875,0.16833333333333333,0.5173501577287066,17,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,13,14,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
18,llm_baseline,baseline,True,8,0.15625,81,0.4776579352850539,1.25,0.18991640543364685,0.5370762711864406,26,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,12,13,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
19,llm_baseline,baseline,True,4,0.06250000000000001,114,0.5,1.1375,0.1584375,0.48772678762006405,4,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,8,9,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
20,llm_baseline,baseline,True,3,0.11875000000000002,82,0.5246913580246914,1.196875,0.15856026785714286,0.5254237288135594,14,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,7,8,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
21,llm_baseline,baseline,True,5,0.1,85,0.5,1.215625,0.17569940476190476,0.5265901981230449,17,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,9,10,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
22,llm_baseline,baseline,True,1,0.18750000000000003,100,0.4597156398104265,1.190625,0.1778720238095238,0.5150537634408602,16,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,5,6,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
23,llm_baseline,baseline,True,7,0.10624999999999998,90,0.5091743119266054,1.178125,0.16444940476190475,0.511578947368421,14,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,11,12,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
24,llm_baseline,baseline,True,4,0.14375000000000002,91,0.47754491017964074,1.19375,0.1680357142857143,0.5294725956566702,12,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,8,9,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
25,llm_baseline,baseline,True,7,0.17500000000000002,83,0.49390243902439024,1.215625,0.1880654761904762,0.5413612565445026,20,0.175,88,0.49074074074074076,1.190625,0.1879315476190476,0.5289778714436248,14,11,12,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
26,llm_baseline,baseline,True,8,0.15000000000000002,99,0.47368421052631576,1.225,0.16216145833333334,0.5131164742917104,21,0.1375,105,0.48043818466353677,1.16875,0.15899925595238093,0.5005268703898841,9,12,13,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
27,llm_baseline,baseline,True,5,0.11249999999999999,72,0.5030674846625767,1.203125,0.1656659226190476,0.5221987315010571,10,0.1,80,0.5007824726134585,1.178125,0.17068824404761904,0.5095744680851064,6,9,10,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
28,llm_baseline,baseline,True,6,0.13749999999999998,88,0.5255255255255256,1.125,0.15319568452380952,0.4802494802494803,3,0.1375,94,0.5242424242424243,1.109375,0.1557105654761905,0.46764091858037576,1,10,11,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
29,llm_baseline,baseline,True,2,0.14375000000000002,78,0.4497751124437781,1.225,0.19309895833333332,0.5446985446985447,21,0.1375,84,0.4555052790346908,1.1875,0.19140625,0.5335429769392034,14,6,7,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
30,llm_baseline,baseline,True,7,0.10625000000000001,92,0.4858420268256334,1.184375,0.1640364583333333,0.5036420395421436,10,0.1,97,0.48059701492537316,1.171875,0.1637127976190476,0.49373695198329853,7,11,12,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
31,llm_baseline,baseline,True,7,0.1375,93,0.48114630467571645,1.16875,0.16846354166666666,0.4979209979209979,11,0.125,99,0.4840182648401826,1.146875,0.1668340773809524,0.49269311064718163,8,11,12,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
32,llm_baseline,baseline,True,5,0.2,77,0.44780635400907715,1.278125,0.1907998511904762,0.5582371458551941,28,0.16249999999999998,90,0.45622119815668205,1.190625,0.18597470238095237,0.5211864406779662,13,9,10,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
33,llm_baseline,baseline,True,4,0.11249999999999999,83,0.49327354260089684,1.2,0.17098958333333333,0.5072765072765073,18,0.10000000000000002,85,0.4909365558912387,1.190625,0.16859002976190476,0.5052301255230126,15,8,9,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
34,llm_baseline,baseline,True,14,0.15,94,0.5137614678899083,1.153125,0.16271205357142857,0.5047821466524973,7,0.13125,98,0.508500772797527,1.15,0.16924107142857142,0.4919786096256685,9,18,19,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
35,llm_baseline,baseline,True,0,0.11249999999999998,93,0.49697885196374625,1.14375,0.15364955357142857,0.48523206751054854,7,0.11249999999999998,93,0.49697885196374625,1.14375,0.15364955357142857,0.48523206751054854,7,4,5,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
36,llm_baseline,baseline,True,4,0.14375,76,0.48936170212765956,1.24375,0.18142113095238094,0.5411887382690302,21,0.125,83,0.48619631901840493,1.190625,0.17386532738095237,0.5204616998950682,9,8,9,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
37,llm_baseline,baseline,True,2,0.08750000000000002,81,0.5434439178515008,1.1875,0.1691108630952381,0.5085470085470085,16,0.08750000000000002,85,0.5402843601895735,1.175,0.16748883928571429,0.5,14,6,7,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
38,llm_baseline,baseline,True,1,0.2,83,0.47480916030534354,1.23125,0.1881063988095238,0.5335429769392034,23,0.1875,88,0.4846153846153846,1.190625,0.18453125,0.5210084033613446,16,5,6,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
39,llm_baseline,baseline,True,1,0.17500000000000002,90,0.432348367029549,1.2625,0.2002120535714286,0.5439153439153439,23,0.1625,96,0.43613707165109034,1.209375,0.20293526785714286,0.5291005291005291,17,5,6,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
40,llm_baseline,baseline,True,5,0.09375000000000001,86,0.513235294117647,1.140625,0.16347098214285713,0.5026014568158168,7,0.0875,92,0.5090361445783133,1.11875,0.16585193452380956,0.48739495798319327,4,9,10,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
41,llm_baseline,baseline,True,4,0.15625,97,0.5,1.15625,0.16196800595238095,0.508937960042061,11,0.15625,103,0.49768875192604006,1.128125,0.16027157738095238,0.4989429175475687,6,8,9,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
42,llm_baseline,baseline,True,6,0.11875000000000002,101,0.5069767441860465,1.190625,0.17354082698910284,0.5179324894514767,16,0.1,109,0.4984520123839009,1.15625,0.17150669642857141,0.4989384288747346,10,10,11,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
43,llm_baseline,baseline,True,7,0.06875,100,0.5082706766917293,1.134375,0.15793526785714285,0.49109947643979057,11,0.06875,104,0.5075528700906344,1.128125,0.159765625,0.48893572181243417,11,11,12,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
44,llm_baseline,baseline,True,9,0.13749999999999998,76,0.5214067278287462,1.225,0.17979538690476188,0.5284210526315789,27,0.13125000000000003,91,0.5238828967642527,1.146875,0.1782291666666667,0.5005291005291005,13,13,14,converged,llm_baseline_20260906_020534,granite-4.2-30b-vf-lp,live
