metric,hi,lo,gap,se_gap,gap_over_se,se_paired,floor,s_obs,flip_frac,class,tie_reason,w_pair
clusters,political_liberal_conservative,baseline,1.3349000000000002,0.027830049410035487,47.96613833961202,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,baseline,income_high_low,0.8003999999999998,0.03329124231207763,24.04235902334065,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,income_high_low,green_yellow,1.9807000000000006,0.03781872256670838,52.373529975959585,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,green_yellow,race_white_black,23.860000000000003,0.08310000337578877,287.1239353878489,True,2.58,0.0,0.0,CERTIFIED,,
clusters,race_white_black,ethnic_asian_hispanic,36.9979,0.0988347428267963,374.3410357715733,True,2.58,0.0,0.0,CERTIFIED,,
switch_rate,political_liberal_conservative,income_high_low,0.036549410189176915,0.0003799441293957484,96.19680200692662,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,income_high_low,baseline,0.008047631489334517,0.00040794024695248925,19.72747614253365,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,baseline,green_yellow,0.07915495665349812,0.00040967437149396353,193.21432376851635,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,green_yellow,race_white_black,0.17362663823213778,0.00045805833975426315,379.04918034083636,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,race_white_black,ethnic_asian_hispanic,0.08202143239103643,0.0003479307014391484,235.74071518199042,True,0.00606,0.0,0.0,CERTIFIED,,
distance,political_liberal_conservative,income_high_low,0.02743312500000039,0.004801573841249474,5.713361057644736,True,0.00804,0.0,0.0,CERTIFIED,,
distance,income_high_low,baseline,0.16176812500000004,0.004753476085522888,34.031542830872446,True,0.00804,0.0,0.0,CERTIFIED,,
distance,baseline,green_yellow,0.36434124999999984,0.003313757234353789,109.9480813569765,True,0.00804,0.0,0.0,CERTIFIED,,
distance,green_yellow,race_white_black,0.6644750000000001,0.002644871566801115,251.23148070424483,True,0.00804,0.0,0.0,CERTIFIED,,
distance,race_white_black,ethnic_asian_hispanic,0.36722374999999974,0.0013594151939568375,270.1336218930472,True,0.00804,0.0,0.0,CERTIFIED,,
mix_deviation,political_liberal_conservative,income_high_low,0.012779396477724192,0.00021432514326405282,59.626212226438234,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,income_high_low,baseline,0.007945978242375862,0.00022730479924523993,34.957371198321766,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,baseline,green_yellow,0.04202451608974189,0.00022452403743490233,187.17156777445857,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,green_yellow,race_white_black,0.10228039864683258,0.00027616953458422264,370.3536626544172,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,race_white_black,ethnic_asian_hispanic,0.07014236460665774,0.0002225940632951882,315.11336631489576,True,0.003,0.0,0.0,CERTIFIED,,
share,political_liberal_conservative,income_high_low,0.01970252737892153,0.00023463725377290094,83.97015845570319,True,0.00486,0.0,0.0,CERTIFIED,,
share,income_high_low,baseline,0.005973391743169465,0.00025163174358721447,23.73862557248908,True,0.00486,0.0,0.0,CERTIFIED,,
share,baseline,green_yellow,0.048897041783920625,0.0002505892001104169,195.12828869869557,True,0.00486,0.0,0.0,CERTIFIED,,
share,green_yellow,race_white_black,0.15096012829251215,0.00036194255472369165,417.08311532407595,True,0.00486,0.0,0.0,CERTIFIED,,
share,race_white_black,ethnic_asian_hispanic,0.1391389887554435,0.0003410734870348423,407.944311254043,True,0.00486,0.0,0.0,CERTIFIED,,
ghetto_rate,political_liberal_conservative,income_high_low,11.893,0.224243224206129,53.03616214984365,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,income_high_low,baseline,7.414199999999994,0.2363517083691271,31.369352272337782,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,baseline,green_yellow,35.9195,0.21559343688526977,166.6075763665984,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,green_yellow,race_white_black,85.95370000000001,0.23014146114990675,373.4820295766374,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,race_white_black,ethnic_asian_hispanic,55.299400000000006,0.17326239623702247,319.16561932082817,True,1.18,0.0,0.0,CERTIFIED,,
dissimilarity_index,income_high_low,political_liberal_conservative,0.005418124999999996,0.0012221967683304885,4.433103687061056,True,0.01,0.0,0.0,FLOOR-TIE,gap below floor,
dissimilarity_index,political_liberal_conservative,baseline,0.027298749999999927,0.0010728029626699497,25.446191845014926,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,baseline,green_yellow,0.0628475,0.0009679498590154125,64.9284665054115,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,green_yellow,race_white_black,0.12888375000000002,0.0008366244969510752,154.05208725024576,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,race_white_black,ethnic_asian_hispanic,0.09797499999999998,0.0005285577958788976,185.3628889099724,True,0.01,0.0,0.0,CERTIFIED,,
