run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,green_yellow,True,60,0.5437500000000001,9,0.1906158357771261,2.44375,0.37959077380952383,0.8733264675592173,187,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,64,65,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
1,green_yellow,True,32,0.5125,9,0.19708029197080293,2.784375,0.38355282738095237,0.8756371049949032,198,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,36,37,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
2,green_yellow,True,23,0.425,15,0.23148148148148148,2.33125,0.3549813988095238,0.8468085106382979,175,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,27,28,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
3,green_yellow,True,19,0.4,10,0.23970588235294119,2.23125,0.35208333333333336,0.8386433710174718,173,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,23,24,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
4,green_yellow,True,55,0.38125,14,0.25037707390648567,2.0125,0.33456473214285715,0.8304033092037229,147,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,59,60,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
5,green_yellow,True,24,0.4375,14,0.22699386503067484,2.228125,0.3502306547619048,0.8422152560083594,161,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,28,29,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
6,green_yellow,True,27,0.5062499999999999,18,0.2269170579029734,2.4375,0.3553534226190476,0.8442105263157895,174,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,31,32,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
7,green_yellow,True,19,0.42500000000000004,10,0.18926974664679583,2.659375,0.3748772321428572,0.8655030800821355,186,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,23,24,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
8,green_yellow,True,26,0.36250000000000004,16,0.26251896813353565,2.159375,0.3359040178571428,0.8253138075313807,155,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,30,31,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
9,green_yellow,True,32,0.44375000000000003,9,0.19501466275659823,2.6875,0.37481026785714283,0.86652977412731,187,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,36,37,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
10,green_yellow,True,40,0.34374999999999994,14,0.26993865030674846,2.11875,0.32898065476190474,0.8202959830866807,147,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,44,45,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
11,green_yellow,True,15,0.4375,9,0.2027439024390244,2.64375,0.37878720238095237,0.8682824025289779,197,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,19,20,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
12,green_yellow,True,34,0.44375,9,0.20601503759398496,2.45625,0.3649888392857143,0.8550573514077163,180,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,38,39,converged,llm_green_yellow_20260906_045114,hermes-4.3-36b-vf-lp,live
