run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,income_high_low,True,74.0,0.5062500000000001,10,0.1698389458272328,2.634375,0.39056175595238096,0.885480572597137,197,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,78,79,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
1,income_high_low,True,99.0,0.38125,10,0.16110304789550073,2.6375,0.39860119047619047,0.8903553299492386,208,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,103,104,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
2,income_high_low,True,144.0,0.6937500000000001,5,0.059593023255813955,4.390625,0.4545461309523809,0.9570990806945863,269,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,148,149,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
3,income_high_low,True,61.0,0.36874999999999997,12,0.1580547112462006,2.671875,0.3990997023809523,0.8936392075078207,205,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,65,66,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
4,income_high_low,True,185.0,0.43125,9,0.1282051282051282,2.690625,0.40941964285714294,0.9079878665318504,218,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,189,190,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
5,income_high_low,True,45.0,0.6375,6,0.125,3.890625,0.42124255952380957,0.916076845298281,235,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,49,50,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
6,income_high_low,True,122.0,0.4875,10,0.12927191679049035,2.671875,0.4025186011904761,0.9024896265560166,217,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,126,127,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
7,income_high_low,True,106.0,0.39375000000000004,8,0.14985163204747776,2.478125,0.40159226190476194,0.89375,208,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,110,111,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
8,income_high_low,True,118.0,0.6,10,0.12790697674418605,3.078125,0.41936011904761905,0.9160696008188332,237,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,122,123,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
9,income_high_low,True,55.0,0.5,10,0.14705882352941177,2.690625,0.40348958333333335,0.8979381443298969,214,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,59,60,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
10,income_high_low,True,75.0,0.29999999999999993,15,0.18962962962962962,2.409375,0.3740476190476191,0.8703319502074689,183,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,79,80,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
11,income_high_low,True,116.0,0.4875,7,0.14553314121037464,3.009375,0.40925223214285716,0.899492385786802,221,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,120,121,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
12,income_high_low,True,31.0,0.4,10,0.18059701492537314,2.38125,0.377358630952381,0.8712357217030114,186,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,35,36,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
13,income_high_low,True,84.0,0.6625,11,0.14556040756914118,2.96875,0.4040550595238095,0.9013360739979445,221,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,88,89,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
14,income_high_low,True,93.0,0.6625,11,0.14201183431952663,3.015625,0.41268601190476184,0.9096509240246407,228,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,97,98,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
15,income_high_low,True,65.0,0.525,13,0.16041979010494753,2.54375,0.38998883928571426,0.8841778697001034,204,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,69,70,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
16,income_high_low,True,43.0,0.5875,8,0.1484149855907781,2.865625,0.4047358630952381,0.8974358974358975,217,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,47,48,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
17,income_high_low,True,67.0,0.3812499999999999,10,0.16807909604519775,2.415625,0.38898437500000005,0.8823529411764706,197,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,71,72,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
18,income_high_low,True,88.0,0.55625,6,0.11935953420669577,3.3875,0.4223177083333334,0.9191402251791198,231,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,92,93,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
19,income_high_low,True,84.0,0.41875000000000007,12,0.15820029027576196,2.603125,0.3980208333333334,0.8930753564154786,206,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,88,89,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
20,income_high_low,True,44.0,0.30625,12,0.1915204678362573,2.196875,0.3742857142857143,0.8675564681724846,181,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,48,49,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
21,income_high_low,True,53.0,0.4375,14,0.14852941176470588,2.40625,0.3953794642857143,0.8947368421052632,200,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,57,58,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
22,income_high_low,True,45.0,0.49375,10,0.11458333333333333,3.6,0.4199888392857143,0.9137214137214137,233,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,49,50,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
23,income_high_low,True,112.0,0.525,10,0.12574850299401197,3.025,0.4140811011904762,0.9150259067357513,231,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,116,117,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
24,income_high_low,True,181.0,0.50625,9,0.14884393063583815,2.784375,0.40420386904761896,0.8972533062054934,210,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,185,186,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
25,income_high_low,True,44.0,0.5812499999999999,6,0.14603616133518776,3.3,0.4153831845238095,0.9022931206380858,225,0.175,88,0.49074074074074076,1.190625,0.1879315476190476,0.5289778714436248,14,48,49,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
26,income_high_low,True,272.0,0.5437500000000001,15,0.15088757396449703,2.50625,0.4011904761904762,0.8979166666666667,215,0.1375,105,0.48043818466353677,1.16875,0.15899925595238093,0.5005268703898841,9,276,277,converged,llm_income_high_low_20260906_043906,hermes-4.3-36b-vf-lp,live
