run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,political_liberal_conservative,True,21,0.39375,9,0.1415525114155251,2.6375,0.38885416666666667,0.8893528183716075,202,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,25,26,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
1,political_liberal_conservative,True,20,0.44375,7,0.12425149700598802,2.753125,0.4122395833333334,0.9087136929460581,220,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,24,25,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
2,political_liberal_conservative,True,16,0.5875,8,0.07153502235469449,3.296875,0.4442671130952382,0.9450207468879668,258,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,20,21,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
3,political_liberal_conservative,True,17,0.48125,8,0.09327217125382263,2.6875,0.41875744047619046,0.9275970619097587,227,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,21,22,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
4,political_liberal_conservative,True,32,0.45625,8,0.09603658536585366,2.64375,0.41670386904761897,0.9225941422594143,222,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,36,37,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
5,political_liberal_conservative,True,15,0.5750000000000001,10,0.1046875,2.965625,0.41488839285714285,0.9208556149732621,230,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,19,20,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
6,political_liberal_conservative,True,73,0.43124999999999997,10,0.11229135053110774,2.759375,0.4084002976190476,0.9111807732497388,208,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,77,78,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
7,political_liberal_conservative,True,17,0.35624999999999996,9,0.11922503725782414,2.8125,0.41315848214285716,0.9149377593360996,219,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,21,22,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
8,political_liberal_conservative,True,20,0.51875,6,0.1716867469879518,2.884375,0.3963764880952381,0.889937106918239,207,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,24,25,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
9,political_liberal_conservative,True,33,0.4625,11,0.14871016691957512,2.553125,0.3921056547619048,0.8923719958202717,202,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,37,38,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
10,political_liberal_conservative,True,29,0.34375,8,0.15137614678899083,2.5375,0.3998921130952381,0.898815931108719,215,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,33,34,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
11,political_liberal_conservative,True,27,0.40625,9,0.12423312883435583,2.484375,0.40523809523809523,0.9114194236926361,215,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,31,32,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
12,political_liberal_conservative,True,20,0.4625,7,0.12217194570135746,2.853125,0.41806175595238093,0.9157127991675338,230,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,24,25,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
13,political_liberal_conservative,True,30,0.6437499999999999,4,0.0481203007518797,3.76875,0.4567596726190476,0.9605809128630706,263,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,34,35,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
14,political_liberal_conservative,True,20,0.61875,6,0.09327217125382263,3.13125,0.4207477678571429,0.9231578947368421,230,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,24,25,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
15,political_liberal_conservative,True,33,0.39374999999999993,6,0.10606060606060606,2.58125,0.41175967261904767,0.9157127991675338,219,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,37,38,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
16,political_liberal_conservative,True,21,0.5125,7,0.11694152923538231,2.56875,0.40993303571428574,0.9104166666666667,221,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,25,26,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
17,political_liberal_conservative,True,25,0.475,6,0.0913312693498452,2.878125,0.4261421130952381,0.930406852248394,235,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,29,30,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
18,political_liberal_conservative,True,29,0.4,10,0.10248447204968944,2.85625,0.41602306547619056,0.92,222,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,33,34,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
19,political_liberal_conservative,True,26,0.40625,8,0.08507462686567165,2.853125,0.4298809523809523,0.9315352697095436,237,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,30,31,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
20,political_liberal_conservative,True,49,0.375,7,0.1588502269288956,2.365625,0.39046875,0.889589905362776,200,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,53,54,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
21,political_liberal_conservative,True,34,0.5375,5,0.11076923076923077,2.9375,0.41859747023809524,0.9201277955271565,230,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,38,39,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
22,political_liberal_conservative,True,17,0.6499999999999999,3,0.06656804733727811,4.825,0.45414062499999996,0.9538934426229508,268,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,21,22,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
23,political_liberal_conservative,True,23,0.63125,8,0.08103975535168195,3.39375,0.4356994047619048,0.9410526315789474,244,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,27,28,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
24,political_liberal_conservative,True,25,0.46875,7,0.1092814371257485,3.159375,0.42409226190476196,0.9232365145228216,237,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,29,30,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
25,political_liberal_conservative,True,25,0.60625,6,0.0911854103343465,3.403125,0.435219494047619,0.9348739495798319,244,0.175,88,0.49074074074074076,1.190625,0.1879315476190476,0.5289778714436248,14,29,30,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
26,political_liberal_conservative,True,35,0.6124999999999998,7,0.09940652818991098,3.053125,0.4256584821428572,0.927007299270073,240,0.1375,105,0.48043818466353677,1.16875,0.15899925595238093,0.5005268703898841,9,39,40,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
27,political_liberal_conservative,True,17,0.30624999999999997,9,0.1519756838905775,2.35625,0.38939360119047617,0.8892405063291139,195,0.1,80,0.5007824726134585,1.178125,0.17068824404761904,0.5095744680851064,6,21,22,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
28,political_liberal_conservative,True,32,0.4625000000000001,9,0.1148036253776435,2.70625,0.4131473214285714,0.9160545645330536,218,0.1375,94,0.5242424242424243,1.109375,0.1557105654761905,0.46764091858037576,1,36,37,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
29,political_liberal_conservative,True,58,0.5125,8,0.10601719197707736,3.01875,0.4234970238095238,0.9257375381485249,231,0.1375,84,0.4555052790346908,1.1875,0.19140625,0.5335429769392034,14,62,63,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
30,political_liberal_conservative,True,21,0.42500000000000004,6,0.10823170731707317,2.721875,0.4108444940476191,0.9135021097046413,213,0.1,97,0.48059701492537316,1.171875,0.1637127976190476,0.49373695198329853,7,25,26,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
31,political_liberal_conservative,True,38,0.48749999999999993,6,0.13204747774480713,2.64375,0.40959449404761905,0.9071949947862357,215,0.125,99,0.4840182648401826,1.146875,0.1668340773809524,0.49269311064718163,8,42,43,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
32,political_liberal_conservative,True,35,0.46874999999999994,6,0.10747663551401869,2.875,0.4225706845238095,0.9234042553191489,228,0.16249999999999998,90,0.45622119815668205,1.190625,0.18597470238095237,0.5211864406779662,13,39,40,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
33,political_liberal_conservative,True,31,0.41875,10,0.11026033690658499,3.003125,0.41939732142857145,0.9190031152647975,228,0.10000000000000002,85,0.4909365558912387,1.190625,0.16859002976190476,0.5052301255230126,15,35,36,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
34,political_liberal_conservative,True,23,0.35,9,0.14074074074074075,2.796875,0.40197916666666667,0.9021852237252862,215,0.13125,98,0.508500772797527,1.15,0.16924107142857142,0.4919786096256685,9,27,28,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
35,political_liberal_conservative,True,19,0.31875,13,0.17804154302670624,2.246875,0.38438244047619047,0.8833333333333333,190,0.11249999999999998,93,0.49697885196374625,1.14375,0.15364955357142857,0.48523206751054854,7,23,24,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
36,political_liberal_conservative,True,37,0.525,6,0.08431952662721894,3.015625,0.4384523809523809,0.9389865563598759,244,0.125,83,0.48619631901840493,1.190625,0.17386532738095237,0.5204616998950682,9,41,42,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
37,political_liberal_conservative,True,32,0.48125000000000007,7,0.11894273127753303,2.665625,0.4142708333333333,0.9136690647482014,226,0.08750000000000002,85,0.5402843601895735,1.175,0.16748883928571429,0.5,14,36,37,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
38,political_liberal_conservative,True,43,0.5312500000000001,7,0.08307692307692308,2.89375,0.4345833333333333,0.9362380446333688,245,0.1875,88,0.4846153846153846,1.190625,0.18453125,0.5210084033613446,16,47,48,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
39,political_liberal_conservative,True,12,0.46249999999999997,9,0.08759124087591241,3.2,0.43318080357142863,0.937178166838311,246,0.1625,96,0.43613707165109034,1.209375,0.20293526785714286,0.5291005291005291,17,16,17,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
40,political_liberal_conservative,True,18,0.61875,6,0.10703363914373089,2.875,0.42181919642857135,0.9229957805907173,224,0.0875,92,0.5090361445783133,1.11875,0.16585193452380956,0.48739495798319327,4,22,23,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
41,political_liberal_conservative,True,52,0.6374999999999998,5,0.06398809523809523,3.978125,0.4487351190476191,0.9529780564263323,258,0.15625,103,0.49768875192604006,1.128125,0.16027157738095238,0.4989429175475687,6,56,57,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
42,political_liberal_conservative,True,29,0.2,13,0.153125,2.221875,0.3835081845238095,0.8847780126849895,188,0.1,109,0.4984520123839009,1.15625,0.17150669642857141,0.4989384288747346,10,33,34,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
43,political_liberal_conservative,True,35,0.50625,15,0.121875,2.790625,0.40905877976190474,0.9136460554371002,216,0.06875,104,0.5075528700906344,1.128125,0.159765625,0.48893572181243417,11,39,40,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
44,political_liberal_conservative,True,46,0.5625,9,0.12481644640234948,2.859375,0.41230407523510976,0.9127310061601642,221,0.13125000000000003,91,0.5238828967642527,1.146875,0.1782291666666667,0.5005291005291005,13,50,51,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
45,political_liberal_conservative,True,32,0.7875,6,0.08245877061469266,4.678125,0.44113839285714285,0.9389865563598759,259,0.1375,99,0.506079027355623,1.146875,0.1577641369047619,0.4963350785340314,7,36,37,converged,llm_political_liberal_conservative_20260906_044814,hermes-4.3-36b-vf-lp,live
