metric,hi,lo,gap,se_gap,gap_over_se,se_paired,floor,s_obs,flip_frac,class,tie_reason,w_pair
clusters,political_liberal_conservative,baseline,3.4938000000000002,0.03892438396129959,89.75864598072243,True,2.58,0.0,0.0,CERTIFIED,,
clusters,baseline,income_high_low,17.1071,0.0657062758834272,260.35716938745037,True,2.58,0.0,0.0,CERTIFIED,,
clusters,income_high_low,race_white_black,21.789,0.09305113514286184,234.16157112481486,True,2.58,0.0,0.0,CERTIFIED,,
clusters,race_white_black,ethnic_asian_hispanic,13.856499999999997,0.09675829159146605,143.20736519930577,True,2.58,0.0,0.0,CERTIFIED,,
clusters,ethnic_asian_hispanic,green_yellow,18.6909,0.0714512858360489,261.5894141203823,True,2.58,0.0,0.0,CERTIFIED,,
switch_rate,political_liberal_conservative,baseline,0.06785805052175711,0.00042143898596401995,161.01512385365896,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,baseline,income_high_low,0.10054890254900176,0.00047796222185887477,210.36997894509383,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,income_high_low,race_white_black,0.0545305782069434,0.00038955581706808315,139.98142452949952,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,race_white_black,ethnic_asian_hispanic,0.0814606325416623,0.00031866672919971174,255.62954986307994,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,ethnic_asian_hispanic,green_yellow,0.013081650246373366,0.00016537723479426476,79.10188039271192,True,0.00606,0.0,0.0,CERTIFIED,,
distance,political_liberal_conservative,baseline,0.27455593749999974,0.0030247114326503845,90.77095240765557,True,0.00804,0.0,0.0,CERTIFIED,,
distance,baseline,income_high_low,0.3743990625,0.0026851103849462677,139.43525919791642,True,0.00804,0.0,0.0,CERTIFIED,,
distance,income_high_low,race_white_black,0.34392312500000033,0.001972618617759665,174.3485141545503,True,0.00804,0.0,0.0,CERTIFIED,,
distance,race_white_black,ethnic_asian_hispanic,0.18803437499999998,0.0010240846479405655,183.61214122107694,True,0.00804,0.0,0.0,CERTIFIED,,
distance,ethnic_asian_hispanic,green_yellow,0.10906468750000009,0.0005163235214784114,211.23323451875768,True,0.00804,0.0,0.0,CERTIFIED,,
mix_deviation,political_liberal_conservative,baseline,0.03494744085513091,0.00023503166648105328,148.69247781957137,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,baseline,income_high_low,0.05271910802976293,0.0002794974641379093,188.62106027463037,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,income_high_low,race_white_black,0.03839980802663395,0.00025259329928404276,152.02227507806185,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,race_white_black,ethnic_asian_hispanic,0.06611968047982658,0.00019166080871551504,344.98278976777664,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,ethnic_asian_hispanic,green_yellow,0.015064646529329317,0.00010078239552630446,149.47696421243933,True,0.003,0.0,0.0,CERTIFIED,,
share,political_liberal_conservative,baseline,0.04415753869291117,0.00026334812010511807,167.6774403222823,True,0.00486,0.0,0.0,CERTIFIED,,
share,baseline,income_high_low,0.08366789812678443,0.00034942576993313086,239.44398303192077,True,0.00486,0.0,0.0,CERTIFIED,,
share,income_high_low,race_white_black,0.07886656344635634,0.00038394065633327596,205.41342039561704,True,0.00486,0.0,0.0,CERTIFIED,,
share,race_white_black,ethnic_asian_hispanic,0.10426066444201132,0.00029023937527310634,359.223018392681,True,0.00486,0.0,0.0,CERTIFIED,,
share,ethnic_asian_hispanic,green_yellow,0.04266070217566931,0.00017020668520368137,250.64057927347855,True,0.00486,0.0,0.0,CERTIFIED,,
ghetto_rate,political_liberal_conservative,baseline,31.787599999999998,0.22313714984906544,142.45767691082273,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,baseline,income_high_low,51.1114,0.25161905774209925,203.1300826680124,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,income_high_low,race_white_black,45.66489999999999,0.2267103009460653,201.4240191532529,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,race_white_black,ethnic_asian_hispanic,29.973900000000008,0.15419098340997922,194.39463538735106,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,ethnic_asian_hispanic,green_yellow,16.824099999999998,0.07732563510495365,217.57467594239273,True,1.18,0.0,0.0,CERTIFIED,,
dissimilarity_index,political_liberal_conservative,baseline,0.04737312499999996,0.0009973020440343743,47.5012813654347,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,baseline,income_high_low,0.06611375000000003,0.0009428813133745207,70.11884641491359,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,income_high_low,race_white_black,0.05253625000000001,0.0006242267142175383,84.16213020593592,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,race_white_black,ethnic_asian_hispanic,0.08261999999999997,0.0005857218234840243,141.05672127522058,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,ethnic_asian_hispanic,green_yellow,0.032313125,0.0002773995871509773,116.48584387551118,True,0.01,0.0,0.0,CERTIFIED,,
