run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,income_high_low,True,34.0,0.19375000000000003,40,0.4012251148545176,1.60625,0.2578385416666667,0.7133825079030558,84,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,38,39,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
1,income_high_low,True,148.0,0.425,25,0.2922173274596182,2.19375,0.33426339285714285,0.801440329218107,152,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,152,153,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
2,income_high_low,True,326.0,0.40625,30,0.2815829528158295,2.078125,0.324533512464547,0.7964509394572025,145,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,330,331,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
3,income_high_low,True,247.0,0.30625,41,0.3452914798206278,1.759375,0.2932924107142857,0.7461300309597523,114,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,251,252,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
4,income_high_low,True,107.0,0.2625,19,0.31851851851851853,1.9125,0.30889508928571424,0.7692307692307693,132,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,111,112,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
5,income_high_low,True,135.0,0.41874999999999996,28,0.35201149425287354,2.09375,0.3012202380952381,0.7533129459734964,119,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,139,140,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
6,income_high_low,True,202.0,0.375,24,0.3488372093023256,1.81875,0.2900358262427228,0.7512639029322548,111,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,206,207,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
7,income_high_low,True,60.0,0.21875,38,0.3854166666666667,1.65625,0.26568824404761904,0.7150259067357513,88,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,64,65,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
8,income_high_low,True,13.0,0.21875000000000003,43,0.40773809523809523,1.54375,0.2469047619047619,0.6989583333333333,76,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,17,18,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
9,income_high_low,True,85.0,0.32499999999999996,27,0.3076923076923077,1.85,0.30775297619047615,0.7660878447395302,122,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,89,90,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
10,income_high_low,True,128.0,0.31875,30,0.39316239316239315,1.775,0.27923735119047616,0.7331319234642497,100,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,132,133,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
11,income_high_low,True,92.0,0.32499999999999996,30,0.36363636363636365,1.778125,0.28402157738095235,0.7378435517970402,105,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,96,97,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
12,income_high_low,True,76.0,0.3125,28,0.30547550432276654,1.83125,0.30424107142857143,0.7673716012084593,115,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,80,81,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
13,income_high_low,True,80.0,0.47500000000000003,32,0.32348596750369274,2.05625,0.31890252976190475,0.7685185185185185,120,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,84,85,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
14,income_high_low,True,41.0,0.44999999999999996,36,0.4227405247813411,1.721875,0.26984747023809524,0.7150153217568948,96,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,45,46,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
15,income_high_low,True,52.0,0.31875000000000003,30,0.36706948640483383,1.8375,0.2916778273809524,0.7384937238493724,104,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,56,57,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
16,income_high_low,True,136.0,0.30625,29,0.35474452554744523,1.971875,0.29403645833333336,0.7392197125256673,118,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,140,141,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
17,income_high_low,True,401.0,0.23125000000000004,26,0.33527696793002915,1.84375,0.29883556547619045,0.7650663942798774,117,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,405,406,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
18,income_high_low,True,255.0,0.35000000000000003,32,0.28820960698689957,2.146875,0.32039062500000004,0.7934560327198364,144,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,259,260,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
19,income_high_low,True,183.0,0.1875,37,0.36764705882352944,1.765625,0.28207217261904766,0.7451181911613566,100,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,187,188,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
20,income_high_low,True,723.0,0.3125,23,0.30914368650217705,2.0,0.3117224702380953,0.7833163784333672,131,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,727,728,converged,llm_income_high_low_20260906_111046,deepseek-v4-flash-vf-lp,live
