metric,hi,lo,gap,se_gap,gap_over_se,se_paired,floor,s_obs,flip_frac,class,tie_reason,w_pair
clusters,political_liberal_conservative,green_yellow,3.9392000000000014,0.048492942708699936,81.23243878316512,True,2.58,0.0,0.0,CERTIFIED,,
clusters,green_yellow,income_high_low,0.198599999999999,0.054853957921648336,3.620522702913671,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,income_high_low,baseline,0.638300000000001,0.05601929245458846,11.394288860706927,True,2.58,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,baseline,race_white_black,8.9878,0.07066671419027097,127.18576352369011,True,2.58,0.0,0.0,CERTIFIED,,
clusters,race_white_black,ethnic_asian_hispanic,48.831900000000005,0.10335246688996458,472.47928829787355,True,2.58,0.0,0.0,CERTIFIED,,
switch_rate,political_liberal_conservative,income_high_low,0.037618316957126474,0.00047386151500316686,79.38673170551752,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,income_high_low,baseline,0.0038538948065706125,0.0004943237139042038,7.796297644983036,True,0.00606,0.0,0.0,FLOOR-TIE,gap below floor,
switch_rate,baseline,green_yellow,0.009277192642129894,0.00045113424295293886,20.564150886452808,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,green_yellow,race_white_black,0.0611050036757782,0.0004682529880570074,130.49570474569825,True,0.00606,0.0,0.0,CERTIFIED,,
switch_rate,race_white_black,ethnic_asian_hispanic,0.1338192582555377,0.0004119122690153595,324.8732031590635,True,0.00606,0.0,0.0,CERTIFIED,,
distance,political_liberal_conservative,income_high_low,0.1396821874999996,0.002651510588245914,52.68022994862158,True,0.00804,0.0,0.0,CERTIFIED,,
distance,income_high_low,baseline,0.010934062500000064,0.002677434506434655,4.083783365651831,True,0.00804,0.0,0.0,CERTIFIED,,
distance,baseline,green_yellow,0.03614468750000022,0.0023542630800951316,15.352866808130752,True,0.00804,0.0,0.0,CERTIFIED,,
distance,green_yellow,race_white_black,0.24183874999999966,0.0021605465220855945,111.93406276044942,True,0.00804,0.0,0.0,CERTIFIED,,
distance,race_white_black,ethnic_asian_hispanic,0.5576387500000004,0.0017747377769895918,314.2090945660142,True,0.00804,0.0,0.0,CERTIFIED,,
mix_deviation,political_liberal_conservative,income_high_low,0.019361692413595366,0.0002633323364480379,73.52569257067263,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,income_high_low,baseline,0.0016562551651832513,0.0002775848828767594,5.966661973874804,True,0.003,0.0,0.0,FLOOR-TIE,gap below floor,
mix_deviation,baseline,green_yellow,0.005926946909053599,0.00025621056124384213,23.13310926871891,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,green_yellow,race_white_black,0.03593272109993095,0.00027309998053681955,131.57350296876524,True,0.003,0.0,0.0,CERTIFIED,,
mix_deviation,race_white_black,ethnic_asian_hispanic,0.10448753046517875,0.00024754203580463796,422.1001500837664,True,0.003,0.0,0.0,CERTIFIED,,
share,political_liberal_conservative,income_high_low,0.028331133845735823,0.00031266974015755814,90.61041158463053,True,0.00486,0.0,0.0,CERTIFIED,,
share,income_high_low,baseline,0.001842090455343226,0.0003337684433680897,5.519067161516268,True,0.00486,0.0,0.0,FLOOR-TIE,gap below floor,
share,baseline,green_yellow,0.006381643879475485,0.0003073260042187599,20.76506313124392,True,0.00486,0.0,0.0,CERTIFIED,,
share,green_yellow,race_white_black,0.053743213670155776,0.00035184822631096214,152.74544434581782,True,0.00486,0.0,0.0,CERTIFIED,,
share,race_white_black,ethnic_asian_hispanic,0.19808176516152654,0.00035871020578392087,552.2055463368852,True,0.00486,0.0,0.0,CERTIFIED,,
ghetto_rate,political_liberal_conservative,income_high_low,18.36359999999999,0.23707834173119188,77.45794013027691,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,income_high_low,baseline,1.3490999999999929,0.24845851984306808,5.429880210395338,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,baseline,green_yellow,3.6657000000000153,0.2245751494506351,16.322821153485595,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,green_yellow,race_white_black,31.380899999999997,0.2293568005819695,136.82131909921208,True,1.18,0.0,0.0,CERTIFIED,,
ghetto_rate,race_white_black,ethnic_asian_hispanic,82.4797,0.20271810045929636,406.86894664623713,True,1.18,0.0,0.0,CERTIFIED,,
dissimilarity_index,political_liberal_conservative,income_high_low,0.023540624999999926,0.0008942119608006938,26.325553707558573,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,income_high_low,baseline,0.0012043750000000353,0.0009343779621644312,1.2889591244320147,True,0.01,0.0,0.0,FLOOR-TIE,gap below floor,
dissimilarity_index,baseline,green_yellow,0.008638749999999973,0.0008120503670792947,10.638194809357707,True,0.01,0.0,0.0,FLOOR-TIE,gap below floor,
dissimilarity_index,green_yellow,race_white_black,0.04668625000000004,0.0007502663542395995,62.22623437154782,True,0.01,0.0,0.0,CERTIFIED,,
dissimilarity_index,race_white_black,ethnic_asian_hispanic,0.14241624999999997,0.0006307932960661409,225.77324598748925,True,0.01,0.0,0.0,CERTIFIED,,
