run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,baseline,True,25,0.44999999999999996,19,0.2576419213973799,2.203125,0.3425409226190476,0.8280450358239508,161,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,29,30,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
1,baseline,True,35,0.48124999999999996,11,0.2113095238095238,2.40625,0.3684263392857143,0.8546391752577319,179,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,39,40,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
2,baseline,True,65,0.4125,15,0.2740963855421687,2.25625,0.33871279761904766,0.8168574401664932,161,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,69,70,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
3,baseline,True,21,0.35,30,0.3068362480127186,1.984375,0.31845982142857143,0.7903225806451613,145,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,25,26,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
4,baseline,True,40,0.35625,14,0.2854938271604938,1.984375,0.3227492559523809,0.8002125398512221,137,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,44,45,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
5,baseline,True,55,0.3125,14,0.2533136966126657,2.171875,0.3447842261904762,0.8266666666666667,158,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,59,60,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
6,baseline,True,53,0.38125,23,0.30401234567901236,2.121875,0.3109561011904762,0.7898089171974523,137,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,57,58,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
7,baseline,True,39,0.38125,20,0.3269230769230769,1.965625,0.3095610119047619,0.7876288659793814,137,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,43,44,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
8,baseline,True,37,0.23125,16,0.32732732732732733,1.821875,0.3014136904761905,0.7792887029288703,117,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,41,42,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
9,baseline,True,46,0.45,12,0.23238380809595202,2.240625,0.3500297619047619,0.8349106203995794,167,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,50,51,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
10,baseline,True,45,0.525,20,0.2721804511278195,2.203125,0.32878348214285713,0.8114583333333333,149,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,49,50,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
11,baseline,True,37,0.33125,17,0.28808446455505277,2.109375,0.33834449404761907,0.8123689727463312,157,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,41,42,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
12,baseline,True,30,0.45,16,0.2545180722891566,2.340625,0.34700148809523806,0.831765935214211,163,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,34,35,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
13,baseline,True,25,0.53125,19,0.25,2.534375,0.3594605654761905,0.840625,180,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,29,30,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
14,baseline,True,45,0.625,8,0.18436578171091444,2.796875,0.39104538690476187,0.8744813278008299,206,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,49,50,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
15,baseline,True,46,0.2375,12,0.28680981595092025,1.984375,0.33204613095238095,0.8076514346439958,152,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,50,51,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
16,baseline,True,40,0.4375,19,0.3075780089153046,1.99375,0.31398065476190473,0.7954545454545454,134,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,44,45,converged,llm_baseline_20260906_124958,qwen3.6-27b-vf-lp,live
