run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,ethnic_asian_hispanic,True,20,0.10625,90,0.5029585798816568,1.171875,0.16930138826690552,0.5186721991701245,17,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,24,25,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
1,ethnic_asian_hispanic,True,26,0.18125,79,0.4815950920245399,1.24375,0.18709821428571427,0.551906779661017,27,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,30,31,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
2,ethnic_asian_hispanic,True,6,0.1625,88,0.5230769230769231,1.20625,0.1659188988095238,0.5270988310308182,22,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,10,11,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
3,ethnic_asian_hispanic,True,8,0.125,99,0.49390243902439024,1.196875,0.1613467261904762,0.5073375262054507,23,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,12,13,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
4,ethnic_asian_hispanic,True,18,0.19375,68,0.5007385524372231,1.25,0.1865327380952381,0.5559006211180124,33,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,22,23,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
5,ethnic_asian_hispanic,True,11,0.17500000000000004,75,0.5389312977099237,1.240625,0.17501119570085089,0.5247629083245522,26,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,15,16,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
6,ethnic_asian_hispanic,True,12,0.2,80,0.45468509984639016,1.33125,0.18928943452380953,0.5597883597883598,36,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,16,17,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
7,ethnic_asian_hispanic,True,17,0.1625,73,0.47049924357034795,1.284375,0.18984747023809526,0.5539267015706806,30,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,21,22,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
8,ethnic_asian_hispanic,True,45,0.1625,72,0.4815384615384615,1.334375,0.18832589285714285,0.5785036880927292,36,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,49,50,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
9,ethnic_asian_hispanic,True,8,0.1,66,0.5248868778280543,1.25,0.16792410714285716,0.5355648535564853,26,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,12,13,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
10,ethnic_asian_hispanic,True,16,0.16875000000000004,90,0.5054263565891473,1.25625,0.17355654761904762,0.546031746031746,24,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,20,21,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
11,ethnic_asian_hispanic,True,7,0.13125000000000003,86,0.5280373831775701,1.178125,0.16462425595238095,0.507399577167019,15,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,11,12,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
12,ethnic_asian_hispanic,True,22,0.2,68,0.4649390243902439,1.321875,0.20017485119047618,0.5691657866948258,30,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,26,27,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
13,ethnic_asian_hispanic,True,12,0.26875,65,0.4827586206896552,1.35625,0.1965215773809524,0.5676810073452256,39,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,16,17,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
14,ethnic_asian_hispanic,True,16,0.21875,74,0.4992503748125937,1.25,0.1743563988095238,0.5541666666666667,31,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,20,21,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
15,ethnic_asian_hispanic,True,14,0.15000000000000002,72,0.5122324159021406,1.25,0.17305059523809524,0.5567226890756303,24,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,18,19,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
16,ethnic_asian_hispanic,True,6,0.14375,76,0.530827067669173,1.178125,0.1550892857142857,0.5227513227513227,18,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,10,11,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
17,ethnic_asian_hispanic,True,16,0.13125,76,0.4819277108433735,1.2625,0.17318080357142857,0.5532359081419624,23,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,20,21,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
18,ethnic_asian_hispanic,True,18,0.19999999999999998,66,0.4670750382848392,1.321875,0.19854082698910286,0.5780590717299579,34,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,22,23,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
19,ethnic_asian_hispanic,True,20,0.11875,101,0.4968944099378882,1.23125,0.1701153273809524,0.528281750266809,19,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,24,25,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
20,ethnic_asian_hispanic,True,14,0.16250000000000003,78,0.513302034428795,1.246875,0.1688690476190476,0.5400213447171825,20,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,18,19,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
21,ethnic_asian_hispanic,True,15,0.1375,75,0.4954128440366973,1.275,0.1849888392857143,0.5606694560669456,28,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,19,20,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
22,ethnic_asian_hispanic,True,9,0.19374999999999998,88,0.459375,1.26875,0.1823139880952381,0.5473908413205538,27,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,13,14,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
23,ethnic_asian_hispanic,True,30,0.1625,69,0.4893939393939394,1.290625,0.19060639880952382,0.570675105485232,32,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,34,35,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
24,ethnic_asian_hispanic,True,14,0.16875,80,0.4741506646971935,1.240625,0.17071056547619046,0.5522540983606558,23,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,18,19,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
25,ethnic_asian_hispanic,True,25,0.21249999999999997,68,0.48036253776435045,1.284375,0.20166666666666666,0.5790575916230366,35,0.175,88,0.49074074074074076,1.190625,0.1879315476190476,0.5289778714436248,14,29,30,converged,llm_ethnic_asian_hispanic_20260906_125725,qwen3.6-27b-vf-lp,live
