run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,green_yellow,True,29,0.39375000000000004,26,0.30368098159509205,2.071875,0.32871651785714284,0.8069254984260231,147,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,33,34,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
1,green_yellow,True,46,0.44375,10,0.22434017595307917,2.55,0.36702008928571433,0.8549222797927462,187,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,50,51,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
2,green_yellow,True,39,0.43125,25,0.29012345679012347,2.328125,0.3206324404761905,0.7951167728237792,154,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,43,44,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
3,green_yellow,True,32,0.32500000000000007,16,0.27342549923195086,2.284375,0.33795014880952384,0.8115789473684211,155,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,36,37,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
4,green_yellow,True,52,0.31249999999999994,19,0.28763040238450077,1.890625,0.31828869047619046,0.8010416666666667,133,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,56,57,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
5,green_yellow,True,34,0.5375,16,0.2310077519379845,2.609375,0.35765252976190476,0.8441145281018028,183,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,38,39,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
6,green_yellow,True,50,0.30625,21,0.29249617151607965,2.228125,0.33060639880952375,0.8069254984260231,150,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,54,55,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
7,green_yellow,True,40,0.36875,14,0.23493975903614459,2.23125,0.34495535714285713,0.8365878725590956,166,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,44,45,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
8,green_yellow,True,37,0.30000000000000004,20,0.3338368580060423,1.81875,0.29328125000000005,0.7692307692307693,117,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,41,42,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
9,green_yellow,True,32,0.28750000000000003,22,0.3561430793157076,1.775,0.2781808035714286,0.7508021390374332,110,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,36,37,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
10,green_yellow,True,33,0.5062500000000001,21,0.29235382308845576,2.06875,0.3226971726190476,0.8020833333333334,143,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,37,38,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
11,green_yellow,True,56,0.45625,15,0.2719033232628399,2.290625,0.33978050595238096,0.8162839248434238,167,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,60,61,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
12,green_yellow,True,46,0.41875,20,0.2754946727549467,2.090625,0.3221428571428572,0.806998939554613,144,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,50,51,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
13,green_yellow,True,27,0.525,14,0.2764350453172205,2.475,0.3479724702380952,0.8238993710691824,168,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,31,32,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
14,green_yellow,True,27,0.5375,18,0.2926829268292683,2.515625,0.33312127976190475,0.813953488372093,164,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,31,32,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
15,green_yellow,True,23,0.21875,21,0.3769230769230769,1.7125,0.27553571428571433,0.7433439829605963,99,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,27,28,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
16,green_yellow,True,46,0.46875,12,0.2708978328173375,2.225,0.33537574404761905,0.8198103266596417,152,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,50,51,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
17,green_yellow,True,27,0.18125,21,0.34312210200927357,1.784375,0.29056175595238093,0.7676874340021119,116,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,31,32,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
18,green_yellow,True,45,0.4375,15,0.22205438066465258,2.3375,0.3595684523809524,0.8473684210526315,176,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,49,50,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
19,green_yellow,True,34,0.225,17,0.3180428134556575,1.953125,0.3120572916666666,0.7890295358649789,134,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,38,39,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
20,green_yellow,True,35,0.34375,20,0.38685015290519875,1.678125,0.27479910714285716,0.7505285412262156,101,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,39,40,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
21,green_yellow,True,61,0.35,15,0.2549019607843137,2.18125,0.3411607142857143,0.8302083333333333,156,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,65,66,converged,llm_green_yellow_20260906_130627,qwen3.6-27b-vf-lp,live
