run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,political_liberal_conservative,True,16,0.425,18,0.2706422018348624,2.159375,0.3325869532766085,0.8218029350104822,152,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,20,21,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
1,political_liberal_conservative,True,23,0.55,11,0.19541984732824427,2.6875,0.37502604166666664,0.8673575129533678,186,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,27,28,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
2,political_liberal_conservative,True,39,0.42500000000000004,16,0.26242236024844723,2.2125,0.34457217261904766,0.8317560462670873,165,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,43,44,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
3,political_liberal_conservative,True,21,0.31875,18,0.28794992175273865,1.946875,0.32593005952380955,0.8106382978723404,143,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,25,26,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
4,political_liberal_conservative,True,47,0.25625,14,0.23466257668711657,2.084375,0.3500930059523809,0.8428270042194093,170,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,51,52,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
5,political_liberal_conservative,True,24,0.46249999999999997,12,0.2225609756097561,2.384375,0.35874627976190476,0.8459915611814346,179,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,28,29,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
6,political_liberal_conservative,True,45,0.48125,13,0.2054794520547945,2.703125,0.37257068452380954,0.8625,190,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,49,50,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
7,political_liberal_conservative,True,32,0.44999999999999996,12,0.20763358778625954,2.6125,0.37018973214285716,0.8602711157455682,185,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,36,37,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
8,political_liberal_conservative,True,24,0.275,17,0.2515151515151515,2.028125,0.3384263392857143,0.8291404612159329,158,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,28,29,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
9,political_liberal_conservative,True,34,0.48750000000000004,11,0.23952095808383234,2.409375,0.34489955357142854,0.8310598111227702,165,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,38,39,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
10,political_liberal_conservative,True,19,0.5125,14,0.29465648854961835,2.1125,0.3302380952380952,0.8148535564853556,152,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,23,24,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
11,political_liberal_conservative,True,16,0.3125,10,0.2147239263803681,2.34375,0.36758184523809523,0.8594080338266384,186,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,20,21,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
12,political_liberal_conservative,True,23,0.48125,13,0.18110236220472442,2.3,0.36,0.8613756613756614,175,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,27,28,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
13,political_liberal_conservative,True,20,0.525,9,0.18998527245949925,3.128125,0.38959449404761903,0.880781089414183,203,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,24,25,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
14,political_liberal_conservative,True,32,0.7500000000000001,11,0.11674347158218126,4.040625,0.4261755952380952,0.9191176470588235,242,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,36,37,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
15,political_liberal_conservative,True,65,0.24375000000000002,10,0.23008849557522124,2.11875,0.35371651785714286,0.8455958549222798,166,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,69,70,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
16,political_liberal_conservative,True,28,0.61875,9,0.19575113808801214,2.625,0.3797544642857143,0.8706624605678234,194,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,32,33,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
17,political_liberal_conservative,True,53,0.31875,16,0.2633181126331811,2.04375,0.33037946428571424,0.8180862250262881,149,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,57,58,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
18,political_liberal_conservative,True,15,0.36874999999999997,17,0.2668711656441718,2.275,0.33744419642857143,0.8194297782470961,161,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,19,20,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
19,political_liberal_conservative,True,8,0.28125,16,0.27675840978593275,2.184375,0.32806175595238096,0.8164556962025317,150,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,12,13,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
20,political_liberal_conservative,True,32,0.41250000000000003,11,0.28270676691729324,2.1375,0.33577380952380953,0.82,153,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,36,37,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
21,political_liberal_conservative,True,8,0.3,13,0.274888558692422,2.21875,0.33459077380952384,0.8145491803278688,145,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,12,13,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
22,political_liberal_conservative,True,24,0.41250000000000003,12,0.2515432098765432,2.571875,0.35556919642857143,0.844845908607864,175,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,28,29,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
23,political_liberal_conservative,True,38,0.4437499999999999,9,0.19207317073170732,2.5375,0.38034598214285714,0.872093023255814,195,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,42,43,converged,llm_political_liberal_conservative_20260906_130332,qwen3.6-27b-vf-lp,live
