run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,race_white_black,True,77,0.3187499999999999,21,0.3338323353293413,1.925,0.30476190476190473,0.7670514165792235,128,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,81,82,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
1,race_white_black,True,46,0.37499999999999994,23,0.329153605015674,1.828125,0.29074776785714285,0.7590618336886994,118,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,50,51,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
2,race_white_black,True,66,0.4875,26,0.27889060092449924,2.29375,0.3253422619047619,0.807570977917981,160,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,70,71,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
3,race_white_black,True,40,0.31875,35,0.3671274961597542,1.71875,0.28274181547619043,0.7386722866174921,104,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,44,45,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
4,race_white_black,True,63,0.29374999999999996,18,0.2973372781065089,1.946875,0.3137611607142857,0.783195020746888,131,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,67,68,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
5,race_white_black,True,74,0.35,23,0.3464447806354009,1.828125,0.2863988095238095,0.7439664218258132,103,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,78,79,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
6,race_white_black,True,83,0.2875,26,0.35060975609756095,1.878125,0.2861272321428571,0.7502645502645503,114,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,87,88,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
7,race_white_black,True,85,0.29375,26,0.3611940298507463,1.825,0.276171875,0.7401656314699793,105,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,89,90,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
8,race_white_black,True,42,0.22499999999999998,39,0.4305343511450382,1.55,0.22419642857142857,0.6832101372756072,70,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,46,47,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
9,race_white_black,True,52,0.325,21,0.3614088820826952,1.79375,0.28611607142857143,0.7418335089567967,117,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,56,57,converged,llm_race_white_black_20260906_125320,qwen3.6-27b-vf-lp,live
