run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,political_liberal_conservative,False,,0.7875000000000001,5,0.024427480916030534,5.190625,0.4761904761904763,0.9736842105263158,286,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
1,political_liberal_conservative,False,,0.6499999999999999,6,0.049079754601226995,4.015625,0.4551636904761905,0.9556962025316456,264,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
2,political_liberal_conservative,False,,0.81875,5,0.034328358208955224,5.696875,0.47301339285714283,0.968944099378882,282,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
3,political_liberal_conservative,False,,0.80625,8,0.04892966360856269,3.978125,0.46122395833333335,0.9538784067085954,267,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
4,political_liberal_conservative,False,,0.7437499999999999,4,0.03625377643504532,4.615625,0.46677083333333336,0.9682203389830508,282,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
5,political_liberal_conservative,False,,0.78125,6,0.04573170731707317,5.20625,0.464516369047619,0.961093585699264,276,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
6,political_liberal_conservative,False,,0.6625,9,0.0745814307458143,3.365625,0.4488950892857143,0.936830835117773,253,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
7,political_liberal_conservative,False,,0.78125,5,0.02710843373493976,3.984375,0.4705431547619048,0.9727463312368972,282,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
8,political_liberal_conservative,False,,0.8125000000000001,2,0.042042042042042045,4.821875,0.46690104166666657,0.96875,282,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
9,political_liberal_conservative,False,,0.7124999999999999,3,0.06042296072507553,5.1125,0.4642038690476191,0.9624217118997912,278,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,999,1000,max_steps,llm_political_liberal_conservative_20260906_155812,olmo-2-32b-vf-lp,live
