run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,baseline,True,18,0.29375,19,0.34776119402985073,1.803125,0.29505523212419765,0.7674661105318039,118,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,22,23,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
1,baseline,True,15,0.49375,12,0.2375776397515528,2.53125,0.35283854166666667,0.840042372881356,166,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,19,20,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
2,baseline,True,11,0.44375,19,0.2794759825327511,2.36875,0.3276944320047769,0.8026584867075665,156,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,15,16,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
3,baseline,True,14,0.29375000000000007,12,0.2833333333333333,2.25,0.3329092261904762,0.8079748163693599,150,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,18,19,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
4,baseline,True,18,0.30624999999999997,20,0.28129829984544047,1.9875,0.3176041666666667,0.8016789087093389,139,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,22,23,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
5,baseline,True,15,0.36875,16,0.2876923076923077,2.040625,0.32103422619047617,0.801063829787234,144,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,19,20,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
6,baseline,True,12,0.275,20,0.34238310708898945,2.059375,0.3063169642857143,0.7792887029288703,127,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,16,17,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
7,baseline,True,15,0.45625,11,0.2878120411160059,2.146875,0.3307924107142857,0.8105590062111802,151,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,19,20,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
8,baseline,True,13,0.24375,18,0.3323170731707317,1.840625,0.3026190476190476,0.780564263322884,130,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,17,18,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
9,baseline,True,11,0.41874999999999996,12,0.3180473372781065,2.140625,0.30776041666666665,0.7824267782426778,141,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,15,16,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
10,baseline,True,14,0.43124999999999997,18,0.3338368580060423,2.121875,0.32023809523809527,0.794577685088634,141,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,18,19,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
11,baseline,True,11,0.36875,14,0.25696594427244585,2.1375,0.3440141369047619,0.8297644539614561,163,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,15,16,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
12,baseline,True,8,0.425,14,0.2579185520361991,2.20625,0.3443675595238095,0.8303477344573235,162,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,12,13,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
13,baseline,True,9,0.44375,11,0.24696969696969698,2.390625,0.36316220238095237,0.8447729672650475,178,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,13,14,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
14,baseline,True,16,0.5375,15,0.2676923076923077,2.39375,0.33977306547619046,0.8164556962025317,158,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,20,21,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
15,baseline,True,28,0.3875,13,0.27896341463414637,2.053125,0.33568824404761904,0.8194297782470961,149,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,32,33,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
16,baseline,True,19,0.6375,7,0.16816816816816818,2.828125,0.39184895833333333,0.8787878787878788,208,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,23,24,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
17,baseline,True,12,0.1875,23,0.37142857142857144,1.71875,0.2746726190476191,0.7518172377985463,103,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,16,17,converged,llm_baseline_20260912_200214,llama-3.3-70b-vf-lp,live
