run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,political_liberal_conservative,True,6,0.38125,21,0.29249617151607965,2.10625,0.3333482142857143,0.8025343189017952,145,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,10,11,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
1,political_liberal_conservative,True,9,0.44375,15,0.3013698630136986,2.13125,0.33095982142857144,0.8031413612565445,150,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,13,14,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
2,political_liberal_conservative,True,11,0.53125,19,0.28484848484848485,2.459375,0.33961309523809524,0.8142250530785563,163,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,15,16,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
3,political_liberal_conservative,True,7,0.3187499999999999,21,0.33178294573643413,1.93125,0.30206845238095237,0.773784355179704,128,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,11,12,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
4,political_liberal_conservative,True,12,0.22499999999999998,22,0.334913112164297,1.890625,0.2956547619047619,0.780982905982906,124,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,16,17,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
5,political_liberal_conservative,True,7,0.40625,31,0.3441358024691358,1.83125,0.28507812499999996,0.7555321390937829,114,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,11,12,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
6,political_liberal_conservative,True,6,0.35,21,0.3246951219512195,2.184375,0.3023511904761905,0.7688229056203606,129,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,10,11,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
7,political_liberal_conservative,True,8,0.4125,20,0.30709876543209874,1.965625,0.31428199404761903,0.7927736450584485,132,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,12,13,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
8,political_liberal_conservative,True,11,0.2,29,0.3993808049535604,1.696875,0.27304315476190477,0.7353255069370331,106,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,15,16,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
9,political_liberal_conservative,True,8,0.31875000000000003,19,0.3271604938271605,1.85625,0.29200892857142857,0.7688229056203606,124,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,12,13,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
10,political_liberal_conservative,True,5,0.375,27,0.38544891640866874,1.71875,0.2652455357142857,0.7317596566523605,93,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,9,10,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
11,political_liberal_conservative,True,8,0.42499999999999993,15,0.2754777070063694,2.2375,0.3397767857142857,0.8200431034482759,162,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,12,13,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
12,political_liberal_conservative,True,12,0.4125,22,0.30357142857142855,1.94375,0.3164285714285714,0.7995846313603323,134,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,16,17,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
13,political_liberal_conservative,True,11,0.5,13,0.23875968992248062,2.6,0.35914434523809524,0.8452508004268944,184,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,15,16,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
14,political_liberal_conservative,True,11,0.6249999999999999,18,0.25,2.65625,0.35779389880952384,0.8373056994818653,182,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,15,16,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
15,political_liberal_conservative,True,8,0.2625,27,0.37480798771121354,1.7875,0.2753720238095238,0.749738219895288,105,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,12,13,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
16,political_liberal_conservative,True,16,0.44375,11,0.31363636363636366,2.121875,0.3224441964285714,0.7983014861995754,144,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,20,21,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
17,political_liberal_conservative,True,13,0.20625000000000002,25,0.35661218424962854,1.715625,0.2759598214285714,0.7455867082035307,106,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,17,18,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
18,political_liberal_conservative,True,6,0.34375,20,0.3282208588957055,1.990625,0.31278645833333335,0.7852631578947369,135,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,10,11,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
19,political_liberal_conservative,True,7,0.26249999999999996,20,0.3292307692307692,1.9125,0.3016034226190476,0.7788359788359789,126,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,11,12,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
20,political_liberal_conservative,True,5,0.34375,32,0.39747634069400634,1.646875,0.25470238095238096,0.7192224622030238,83,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,9,10,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
21,political_liberal_conservative,True,10,0.39375,18,0.29141104294478526,2.225,0.32093005952380954,0.7876569037656904,144,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,14,15,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
22,political_liberal_conservative,True,17,0.4,16,0.23208722741433022,2.571875,0.3646651785714286,0.8502673796791443,178,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,21,22,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
23,political_liberal_conservative,True,7,0.4312500000000001,18,0.3323262839879154,1.965625,0.31485491071428573,0.7854889589905363,132,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,11,12,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
24,political_liberal_conservative,True,13,0.33125,17,0.3496932515337423,1.915625,0.2989657738095238,0.7689075630252101,116,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,17,18,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
25,political_liberal_conservative,True,10,0.32499999999999996,16,0.3313782991202346,2.09375,0.3129873511904762,0.7854954034729316,132,0.175,88,0.49074074074074076,1.190625,0.1879315476190476,0.5289778714436248,14,14,15,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
26,political_liberal_conservative,True,7,0.36875,16,0.297583081570997,1.959375,0.3081584821428571,0.7883211678832117,126,0.1375,105,0.48043818466353677,1.16875,0.15899925595238093,0.5005268703898841,9,11,12,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
27,political_liberal_conservative,True,9,0.1625,25,0.3803680981595092,1.603125,0.26065104166666664,0.7330508474576272,89,0.1,80,0.5007824726134585,1.178125,0.17068824404761904,0.5095744680851064,6,13,14,converged,llm_political_liberal_conservative_20260912_200442,llama-3.3-70b-vf-lp,live
