metric,hi,lo,gap,se_gap,gap_over_se,se_paired,floor,s_obs,flip_frac,class,tie_reason,w_pair
clusters,political_liberal_conservative,income_high_low,2.419000000000011,0.027727978362628747,87.24040275724877,True,2.55,0.0,0.0,FLOOR-TIE,gap below floor,
clusters,income_high_low,ethnic_asian_hispanic,0.519599999999997,0.014505951408391877,35.819780817644386,True,2.55,0.0,0.0,FLOOR-TIE,both at chance level,
clusters,ethnic_asian_hispanic,baseline,0.05159999999999343,0.007323872466857344,7.045453103327298,True,2.55,0.0,0.0,FLOOR-TIE,both at chance level,
clusters,baseline,race_white_black,0.07139999999999702,0.007965961941596602,8.963135968195006,True,2.55,0.0,0.0,FLOOR-TIE,both at chance level,
clusters,race_white_black,green_yellow,0.0841000000000065,0.005926738700428956,14.189928770424727,True,2.55,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,ethnic_asian_hispanic,income_high_low,1.081849751916053e-05,2.7329108793176815e-05,0.39585987238125947,True,0.00598,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,income_high_low,green_yellow,1.110093408185353e-05,2.4057807124195438e-05,0.4614275118487042,True,0.00598,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,green_yellow,political_liberal_conservative,8.905099491807178e-06,4.6786087699265766e-05,0.19033648526134253,True,0.00598,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,political_liberal_conservative,baseline,2.3641021828613162e-05,4.690535641602667e-05,0.504015396854238,True,0.00598,0.0,0.0,FLOOR-TIE,both at chance level,
switch_rate,baseline,race_white_black,0.00021214098136801418,1.7864183035506314e-05,11.875213153961148,True,0.00598,0.0,0.0,FLOOR-TIE,both at chance level,
distance,political_liberal_conservative,income_high_low,0.011216249999999928,0.00014428763325684252,77.73535227398307,True,0.008,0.0,0.0,CERTIFIED,,
distance,income_high_low,ethnic_asian_hispanic,0.0023809374999999022,6.969594820273962e-05,34.161777856496855,True,0.008,0.0,0.0,FLOOR-TIE,both at chance level,
distance,ethnic_asian_hispanic,baseline,1.8124999999979963e-05,3.675170954871316e-05,0.4931743372633015,True,0.008,0.0,0.0,FLOOR-TIE,both at chance level,
distance,baseline,race_white_black,0.0006125000000001268,4.0614817417284835e-05,15.080703027842725,True,0.008,0.0,0.0,FLOOR-TIE,both at chance level,
distance,race_white_black,green_yellow,0.00018999999999991246,2.6504998377549455e-05,7.168459220161593,True,0.008,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,political_liberal_conservative,income_high_low,0.0004822278099360644,2.4844431346200923e-05,19.409895248409622,True,0.00301,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,income_high_low,baseline,0.00014149646524935777,1.2859119601399881e-05,11.003588864198296,True,0.00301,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,baseline,ethnic_asian_hispanic,9.672817304851034e-06,7.226350371762631e-06,1.338548064683953,True,0.00301,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,ethnic_asian_hispanic,green_yellow,5.0879802210468394e-05,6.185855597652387e-06,8.225184278433197,True,0.00301,0.0,0.0,FLOOR-TIE,both at chance level,
mix_deviation,green_yellow,race_white_black,0.00016807183960121375,7.952969896539909e-06,21.133217123622785,True,0.00301,0.0,0.0,FLOOR-TIE,both at chance level,
share,political_liberal_conservative,income_high_low,0.00531186058062183,6.100021544986424e-05,87.07937408823778,True,0.00484,0.0,0.0,CERTIFIED,,
share,income_high_low,ethnic_asian_hispanic,0.0013086731032763144,3.103531392637943e-05,42.16722622431626,True,0.00484,0.0,0.0,FLOOR-TIE,both at chance level,
