run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,political_liberal_conservative,True,4,0.0625,104,0.5288888888888889,1.10625,0.16225556053142262,0.4860392967942089,6,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,8,9,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
1,political_liberal_conservative,True,3,0.15625,101,0.4984423676012461,1.15,0.1670758928571429,0.4978494623655914,6,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,7,8,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
2,political_liberal_conservative,True,4,0.13124999999999998,107,0.524031007751938,1.13125,0.15268229166666666,0.485653560042508,11,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,8,9,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
3,political_liberal_conservative,True,2,0.11875000000000002,111,0.49847560975609756,1.134375,0.162265625,0.47794117647058826,13,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,6,7,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
4,political_liberal_conservative,True,2,0.15625,86,0.4856711915535445,1.171875,0.1833110119047619,0.5110410094637224,16,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,6,7,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
5,political_liberal_conservative,True,9,0.15000000000000002,90,0.543613707165109,1.171875,0.17249255952380954,0.49623250807319697,16,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,13,14,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
6,political_liberal_conservative,True,3,0.15,96,0.4675925925925926,1.19375,0.1712611607142857,0.5239107332624867,12,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,7,8,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
7,political_liberal_conservative,True,0,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,4,5,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
8,political_liberal_conservative,True,5,0.0875,106,0.48757763975155277,1.175,0.16449032738095237,0.5111583421891605,11,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,9,10,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
9,political_liberal_conservative,True,5,0.10625000000000001,78,0.5379939209726444,1.18125,0.16141369047619047,0.4957983193277311,11,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,9,10,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
10,political_liberal_conservative,True,0,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,4,5,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
11,political_liberal_conservative,True,7,0.125,96,0.5142857142857142,1.16875,0.1660863095238095,0.4983957219251337,16,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,11,12,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
12,political_liberal_conservative,True,1,0.15,85,0.47678018575851394,1.21875,0.1876078869047619,0.5239616613418531,15,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,5,6,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
13,political_liberal_conservative,True,3,0.21875,90,0.4992389649923896,1.19375,0.1791592261904762,0.5164021164021164,11,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,7,8,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
14,political_liberal_conservative,True,18,0.18125,86,0.5181818181818182,1.1625,0.16319940476190475,0.5047219307450157,18,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,22,23,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
15,political_liberal_conservative,True,4,0.14375,89,0.515015015015015,1.146875,0.1620424107142857,0.5078206465067779,4,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,8,9,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
16,political_liberal_conservative,True,5,0.13125,86,0.5248868778280543,1.140625,0.14908110119047618,0.5015873015873016,9,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,9,10,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
17,political_liberal_conservative,True,7,0.1125,87,0.48333333333333334,1.19375,0.17187127976190475,0.5211864406779662,18,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,11,12,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
18,political_liberal_conservative,True,9,0.15000000000000002,81,0.4899845916795069,1.2125,0.1881659226190476,0.5318471337579618,21,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,13,14,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
19,political_liberal_conservative,True,0,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,4,5,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
20,political_liberal_conservative,True,6,0.13125,84,0.5217391304347826,1.2,0.16079613095238093,0.5223404255319148,14,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,10,11,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
21,political_liberal_conservative,True,2,0.08750000000000002,94,0.500768049155146,1.165625,0.17413318452380952,0.5052966101694916,12,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,6,7,converged,llm_political_liberal_conservative_20260913_134326,mistral-small-4-119b-vf-lp,live
