label,scenario,role,n_similar,n_occupied,condition,repeat,p_move,prompt_n,t
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,0,0.4746882525888081,182,1788722493.832239
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,1,0.4746882525888081,182,1788722494.2914498
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,2,0.4746882525888081,182,1788722494.744519
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,3,0.4746882525888081,182,1788722495.2003853
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,4,0.4746882525888081,182,1788722495.6584308
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,5,0.4746882525888081,182,1788722496.115511
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,6,0.4746882525888081,182,1788722496.5725088
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,7,0.4746882525888081,182,1788722497.0230527
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,8,0.4746882525888081,182,1788722497.4836683
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,9,0.4746882525888081,182,1788722497.9333916
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,10,0.4746882525888081,182,1788722498.3829226
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,blue,1,7,sequential,11,0.4746882525888081,182,1788722498.8327296
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,0,0.5577587563751237,177,1788722499.2995238
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,1,0.5577587563751237,177,1788722499.7594435
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,2,0.5577587563751237,177,1788722500.2080035
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,3,0.5577587563751237,177,1788722500.6600077
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,4,0.5577587563751237,177,1788722501.1093614
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,5,0.5577587563751237,177,1788722501.5598981
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,6,0.5577587563751237,177,1788722502.0094073
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,7,0.5577587563751237,177,1788722502.4600759
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,8,0.5577587563751237,177,1788722502.921536
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,9,0.5577587563751237,177,1788722503.3753645
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,10,0.5577587563751237,177,1788722503.8244112
hermes-4.3-36b-chat-grammar,race_white_black,blue,1,6,sequential,11,0.5577587563751237,177,1788722504.278762
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,0,0.4861638130707875,179,1788722504.756429
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,1,0.48616381032466577,179,1788722505.2367682
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,2,0.4861638130707875,179,1788722505.6908283
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,3,0.4861638130707875,179,1788722506.1424866
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,4,0.4861638130707875,179,1788722506.600704
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,5,0.4861638130707875,179,1788722507.0555148
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,6,0.4861638130707875,179,1788722507.5104792
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,7,0.4861638130707875,179,1788722507.9685159
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,8,0.4861638130707875,179,1788722508.4185348
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,9,0.4861638130707875,179,1788722508.8694465
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,10,0.4861638130707875,179,1788722509.3199728
hermes-4.3-36b-chat-grammar,race_white_black,red,1,6,sequential,11,0.4861638130707875,179,1788722509.7696192
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,0,0.6148385648300698,179,1788722510.2394373
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,1,0.6148385648300698,179,1788722510.6958346
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,2,0.6148385648300698,179,1788722511.1454852
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,3,0.6148385648300698,179,1788722511.5959196
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,4,0.6148385648300698,179,1788722512.0503027
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,5,0.6148385648300698,179,1788722512.500937
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,6,0.6148385648300698,179,1788722512.9531205
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,7,0.6148385648300698,179,1788722513.403429
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,8,0.6148385648300698,179,1788722513.860436
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,9,0.6148385648300698,179,1788722514.311532
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,10,0.6148385648300698,179,1788722514.7625074
hermes-4.3-36b-chat-grammar,ethnic_asian_hispanic,red,0,2,sequential,11,0.6148385648300698,179,1788722515.2130523
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,0,0.4437906169584284,177,1788722515.683651
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,1,0.4437906169584284,177,1788722516.1397367
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,2,0.4437906169584284,177,1788722516.5894425
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,3,0.4437906169584284,177,1788722517.038372
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,4,0.4437906169584284,177,1788722517.4887784
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,5,0.4437906169584284,177,1788722517.9390457
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,6,0.4437906169584284,177,1788722518.389294
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,7,0.4437906169584284,177,1788722518.8389165
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,8,0.4437906169584284,177,1788722519.2880158
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,9,0.4437906169584284,177,1788722519.7376595
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,10,0.4437906169584284,177,1788722520.1874845
hermes-4.3-36b-chat-grammar,green_yellow,blue,3,8,sequential,11,0.4437906169584284,177,1788722520.6412244
hermes-4.3-36b-chat-grammar,baseline,red,3,8,sequential,0,0.5638921076820906,177,1788722521.1084228
hermes-4.3-36b-chat-grammar,baseline,red,3,8,sequential,1,0.5638921076820906,177,1788722521.5582914
