label,scenario,role,n_similar,n_occupied,condition,repeat,p_move,prompt_n,t
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,0,0.18969693216380373,181,1788725088.3461752
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,1,0.18969693216380373,181,1788725089.0414238
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,2,0.18969693216380373,181,1788725089.7273712
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,3,0.18969693216380373,181,1788725090.416504
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,4,0.18969693216380373,181,1788725091.1004531
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,5,0.18969693216380373,181,1788725091.7845912
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,6,0.18969693216380373,181,1788725092.475622
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,7,0.18969693216380373,181,1788725093.1644232
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,8,0.18969693216380373,181,1788725093.8504
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,9,0.18969693216380373,181,1788725094.5374222
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,10,0.18969693216380373,181,1788725095.2234387
llama-3.3-70b-chat-grammar,ethnic_asian_hispanic,red,0,8,sequential,11,0.18969693216380373,181,1788725095.9125574
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,0,0.30932027115016825,180,1788725096.6267033
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,1,0.30932027115016825,180,1788725097.3195143
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,2,0.30932027115016825,180,1788725098.005645
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,3,0.30932027115016825,180,1788725098.6914458
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,4,0.30932027115016825,180,1788725099.3775237
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,5,0.30932027115016825,180,1788725100.0668998
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,6,0.30932027115016825,180,1788725100.753563
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,7,0.30932027115016825,180,1788725101.4400082
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,8,0.30932027115016825,180,1788725102.1305962
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,9,0.30932027115016825,180,1788725102.8204463
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,10,0.30932027115016825,180,1788725103.5125444
llama-3.3-70b-chat-grammar,green_yellow,red,1,6,sequential,11,0.30932027115016825,180,1788725104.1995192
llama-3.3-70b-chat-grammar,income_high_low,red,3,8,sequential,0,0.24631941323155393,179,1788725104.9100037
llama-3.3-70b-chat-grammar,income_high_low,red,3,8,sequential,1,0.24631941323155393,179,1788725105.6047776
llama-3.3-70b-chat-grammar,income_high_low,red,3,8,sequential,2,0.24631941323155393,179,1788725106.2953956
llama-3.3-70b-chat-grammar,income_high_low,red,3,8,sequential,3,0.24631941323155393,179,1788725106.983056
llama-3.3-70b-chat-grammar,income_high_low,red,3,8,sequential,4,0.24631941323155393,179,1788725107.6737216
llama-3.3-70b-chat-grammar,income_high_low,red,3,8,sequential,5,0.24631941323155393,179,1788725108.35944
