clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,dissimilarity_index,scenario
30,0.58,1.1,0.1448214285714285,0.4587155963302752,1,4,0,0.2249999999999999,llm_baseline
30,0.541095890410959,1.125,0.1568898809523809,0.449074074074074,2,4,1,0.2249999999999999,llm_baseline
28,0.4133333333333333,1.275,0.1900595238095238,0.5258215962441315,9,4,2,0.35,llm_baseline
28,0.5408805031446541,1.15,0.1453422619047619,0.4911504424778761,4,4,3,0.15,llm_baseline
28,0.5448717948717948,1.1,0.1553571428571428,0.4541484716157205,1,4,4,0.3249999999999999,llm_baseline
26,0.5526315789473685,1.125,0.1665773809523809,0.4954954954954955,3,4,5,0.2249999999999999,llm_baseline
21,0.5454545454545454,1.1625,0.1485714285714285,0.5044642857142857,2,4,6,0.1999999999999999,llm_baseline
31,0.5064102564102564,1.125,0.1636160714285714,0.4444444444444444,4,5,7,0.125,llm_baseline
23,0.4545454545454545,1.275,0.2136607142857142,0.5429864253393665,8,4,8,0.3,llm_baseline
26,0.5104895104895105,1.1625,0.1767857142857142,0.4904761904761904,3,4,9,0.2499999999999999,llm_baseline
31,0.5194805194805194,1.1375,0.1489136904761904,0.4684684684684684,4,4,0,0.15,ethnic_asian_hispanic
26,0.5273972602739726,1.175,0.1780208333333333,0.518348623853211,3,4,1,0.175,ethnic_asian_hispanic
25,0.4394904458598726,1.2875,0.2079464285714286,0.5486725663716814,11,4,2,0.35,ethnic_asian_hispanic
29,0.5,1.1375,0.1723065476190476,0.4694835680751174,2,4,3,0.2999999999999999,ethnic_asian_hispanic
23,0.5066666666666667,1.1875,0.1959821428571428,0.5162790697674419,6,5,4,0.2749999999999999,ethnic_asian_hispanic
30,0.5033112582781457,1.1625,0.158110119047619,0.4727272727272727,2,4,5,0.2499999999999999,ethnic_asian_hispanic
26,0.527027027027027,1.15,0.1697023809523809,0.5138888888888888,0,4,6,0.3,ethnic_asian_hispanic
29,0.5882352941176471,1.0875,0.1821428571428571,0.4608294930875576,1,4,7,0.2249999999999999,ethnic_asian_hispanic
22,0.5256410256410257,1.225,0.1756696428571428,0.5219298245614035,4,4,8,0.2499999999999999,ethnic_asian_hispanic
25,0.4931506849315068,1.1375,0.1546428571428571,0.5118483412322274,1,4,9,0.275,ethnic_asian_hispanic
31,0.42,1.2125,0.1669494047619047,0.5321100917431193,3,4,0,0.3249999999999999,green_yellow
22,0.5379746835443038,1.175,0.1802083333333333,0.5066666666666667,2,4,1,0.3,green_yellow
35,0.5,1.0875,0.1502083333333333,0.4590909090909091,1,4,2,0.1999999999999999,green_yellow
24,0.5,1.1625,0.1819047619047618,0.5201793721973094,2,4,3,0.225,green_yellow
22,0.5128205128205128,1.2,0.1587797619047619,0.4734513274336283,2,4,4,0.275,green_yellow
30,0.512987012987013,1.1375,0.1573809523809523,0.4713656387665198,1,4,5,0.25,green_yellow
21,0.5205479452054794,1.2,0.1998065476190476,0.5205479452054794,6,4,6,0.325,green_yellow
22,0.4829931972789115,1.2,0.1896875,0.5277777777777778,5,4,7,0.2749999999999999,green_yellow
29,0.5684931506849316,1.125,0.1394940476190476,0.4809523809523809,3,4,8,0.1749999999999999,green_yellow
25,0.4324324324324324,1.2375,0.2027529761904762,0.5700934579439252,3,4,9,0.225,green_yellow
24,0.4551282051282051,1.225,0.1992708333333333,0.5296803652968036,5,4,0,0.2,income_high_low
30,0.4520547945205479,1.1875,0.1735119047619047,0.4811320754716981,3,4,1,0.15,income_high_low
30,0.4705882352941176,1.175,0.1853869047619047,0.4814814814814814,5,6,2,0.1999999999999999,income_high_low
25,0.5957446808510638,1.175,0.1556994047619047,0.5046728971962616,0,4,3,0.1999999999999999,income_high_low
23,0.5098039215686274,1.225,0.171955997588909,0.5339366515837104,7,4,4,0.4,income_high_low
28,0.4057971014492754,1.2375,0.1939880952380952,0.5047619047619047,6,4,5,0.3,income_high_low
22,0.4805194805194805,1.175,0.2042113095238095,0.5324074074074074,4,4,6,0.2749999999999999,income_high_low
26,0.5064102564102564,1.1625,0.1918154761904761,0.527027027027027,3,4,7,0.2,income_high_low
26,0.5422535211267606,1.175,0.1982142857142857,0.4814814814814814,2,4,8,0.3,income_high_low
24,0.4827586206896552,1.275,0.1976488095238095,0.5514018691588785,10,4,9,0.35,income_high_low
25,0.5064102564102564,1.1375,0.178735119047619,0.4729729729729729,1,4,0,0.1999999999999999,political_liberal_conservative
22,0.506578947368421,1.25,0.195922619047619,0.5429864253393665,5,4,1,0.35,political_liberal_conservative
21,0.50625,1.15,0.181547619047619,0.4711111111111111,3,4,2,0.275,political_liberal_conservative
21,0.5133333333333333,1.1875,0.1793898809523809,0.5091743119266054,5,4,3,0.2749999999999999,political_liberal_conservative
30,0.5273972602739726,1.1,0.1577380952380952,0.4861111111111111,2,4,4,0.25,political_liberal_conservative
29,0.5341614906832298,1.125,0.1585267857142857,0.4497816593886463,2,4,5,0.25,political_liberal_conservative
25,0.4743589743589743,1.2375,0.2149255952380952,0.5633187772925764,4,4,6,0.35,political_liberal_conservative
31,0.5323741007194245,1.1375,0.1657886904761904,0.4716981132075472,2,4,7,0.2499999999999999,political_liberal_conservative
27,0.4866666666666667,1.15,0.1678125,0.4681818181818182,2,4,8,0.2249999999999999,political_liberal_conservative
20,0.5253164556962026,1.1625,0.1682142857142857,0.5246636771300448,1,4,9,0.25,political_liberal_conservative
31,0.4489795918367347,1.25,0.1717113095238095,0.4953703703703703,6,9,0,0.2,race_white_black
