clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,dissimilarity_index,scenario
24,0.51875,1.15,0.1789732142857142,0.5172413793103449,5,4,0,0.375,llm_baseline
31,0.5285714285714286,1.125,0.1758779761904762,0.5073891625615764,3,4,1,0.325,llm_baseline
24,0.4577464788732394,1.2375,0.1662202380952381,0.5141509433962265,3,4,2,0.3,llm_baseline
27,0.5125,1.175,0.1907142857142857,0.5223214285714286,3,4,3,0.3749999999999999,llm_baseline
23,0.42,1.325,0.2129017857142857,0.5601851851851852,8,4,4,0.3,llm_baseline
23,0.543046357615894,1.1625,0.1788839285714286,0.5277777777777778,1,4,5,0.2,llm_baseline
25,0.5517241379310345,1.2125,0.1730059523809524,0.5094339622641509,6,4,6,0.2,llm_baseline
26,0.5273972602739726,1.2125,0.1854464285714285,0.4840182648401826,4,4,7,0.3,llm_baseline
23,0.5666666666666667,1.125,0.1654910714285714,0.4553990610328638,4,4,8,0.25,llm_baseline
25,0.4366197183098591,1.275,0.2354017857142857,0.6048780487804878,10,4,9,0.375,llm_baseline
29,0.5333333333333333,1.1625,0.1388541666666666,0.4796380090497738,4,4,10,0.175,llm_baseline
35,0.4620689655172413,1.1375,0.1523958333333333,0.4629629629629629,3,4,11,0.25,llm_baseline
28,0.5733333333333334,1.0875,0.1846874999999999,0.4504504504504504,0,4,12,0.2,llm_baseline
31,0.5797101449275363,1.175,0.1710267857142857,0.4878048780487805,3,4,13,0.2,llm_baseline
25,0.5416666666666666,1.15,0.1561607142857143,0.4766355140186916,3,4,14,0.175,llm_baseline
23,0.496551724137931,1.25,0.2073363095238095,0.5420560747663551,6,4,15,0.3,llm_baseline
24,0.5135135135135135,1.225,0.1710863095238095,0.5180180180180181,3,4,16,0.2499999999999999,llm_baseline
24,0.4743589743589743,1.3,0.1916815476190476,0.5829596412556054,8,4,17,0.275,llm_baseline
28,0.4228187919463087,1.2125,0.1974382157926461,0.5363636363636364,4,4,18,0.425,llm_baseline
32,0.4850746268656716,1.15,0.1543452380952381,0.4951923076923077,1,4,19,0.3249999999999999,llm_baseline
27,0.4864864864864865,1.175,0.1891369047619047,0.5116279069767442,2,4,20,0.2749999999999999,llm_baseline
