label,scenario,role,n_similar,n_occupied,condition,repeat,p_move,prompt_n,t
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,0,0.5221918077709731,154,1788720531.8617966
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,1,0.5221918077709731,154,1788720532.2158618
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,2,0.5221918077709731,154,1788720532.5639853
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,3,0.5221918077709731,154,1788720532.9095738
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,4,0.5221918077709731,154,1788720533.2561054
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,5,0.5221918077709731,154,1788720533.601349
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,6,0.5221918077709731,154,1788720533.946391
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,7,0.5221918077709731,154,1788720534.2919405
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,8,0.5221918077709731,154,1788720534.6385517
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,9,0.5221918077709731,154,1788720534.982294
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,10,0.5221918077709731,154,1788720535.329595
olmo-2-32b-chat-grammar,political_liberal_conservative,blue,3,7,sequential,11,0.5221918077709731,154,1788720535.6774676
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,0,0.48338363723200856,143,1788720536.0406356
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,1,0.48338363723200856,143,1788720536.388895
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,2,0.48338363723200856,143,1788720536.7311034
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,3,0.48338363723200856,143,1788720537.074018
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,4,0.48338363723200856,143,1788720537.4173741
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,5,0.48338363723200856,143,1788720537.759614
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,6,0.48338363723200856,143,1788720538.1025903
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,7,0.48338363723200856,143,1788720538.444188
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,8,0.48338363723200856,143,1788720538.7861335
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,9,0.48338363723200856,143,1788720539.1297472
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,10,0.48338363723200856,143,1788720539.472863
olmo-2-32b-chat-grammar,green_yellow,blue,0,1,sequential,11,0.48338363723200856,143,1788720539.8175652
olmo-2-32b-chat-grammar,income_high_low,blue,2,5,sequential,0,0.4276824691960611,154,1788720540.186319
olmo-2-32b-chat-grammar,income_high_low,blue,2,5,sequential,1,0.4276824691960611,154,1788720540.537495
olmo-2-32b-chat-grammar,income_high_low,blue,2,5,sequential,2,0.4276824691960611,154,1788720540.8846803
