label,scenario,role,n_similar,n_occupied,condition,repeat,p_move,prompt_n,t
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,0,0.5166068827019783,151,1788717597.7143788
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,1,0.5166068827019783,151,1788717597.8874176
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,2,0.5166068827019783,151,1788717598.053543
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,3,0.5166068827019783,151,1788717598.221918
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,4,0.5166068827019783,151,1788717598.3881524
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,5,0.5166068827019783,151,1788717598.5553832
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,6,0.5166068827019783,151,1788717598.7217765
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,7,0.5166068827019783,151,1788717598.8884423
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,8,0.5166068827019783,151,1788717599.0563674
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,9,0.5166068827019783,151,1788717599.2231038
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,10,0.5166068827019783,151,1788717599.3886244
phi-4-14b-chat-grammar,baseline,blue,0,5,sequential,11,0.5166068827019783,151,1788717599.554446
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,0,0.27593839167801504,151,1788717599.7225022
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,1,0.27593839167801504,151,1788717599.8904405
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,2,0.27593839167801504,151,1788717600.0573933
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,3,0.27593839167801504,151,1788717600.227152
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,4,0.27593839167801504,151,1788717600.3941903
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,5,0.27593839167801504,151,1788717600.5609956
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,6,0.27593839167801504,151,1788717600.727999
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,7,0.27593839167801504,151,1788717600.8950186
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,8,0.27593839167801504,151,1788717601.0626009
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,9,0.27593839167801504,151,1788717601.2318587
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,10,0.27593839167801504,151,1788717601.4008763
phi-4-14b-chat-grammar,baseline,blue,0,4,sequential,11,0.27593839167801504,151,1788717601.568754
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,0,0.2939662913826397,151,1788717601.7504342
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,1,0.2939662913826397,151,1788717601.9205139
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,2,0.2939662913826397,151,1788717602.0877225
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,3,0.2939662913826397,151,1788717602.254557
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,4,0.2939662913826397,151,1788717602.4216428
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,5,0.2939662913826397,151,1788717602.5871274
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,6,0.2939662913826397,151,1788717602.7538016
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,7,0.2939662913826397,151,1788717602.921466
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,8,0.2939662913826397,151,1788717603.0850892
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,9,0.2939662913826397,151,1788717603.2514813
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,10,0.2939662913826397,151,1788717603.4184005
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,5,sequential,11,0.2939662913826397,151,1788717603.58585
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,0,0.2675337195392804,151,1788717603.7674813
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,1,0.2675337195392804,151,1788717603.9363246
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,2,0.2675337195392804,151,1788717604.1027994
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,3,0.2675337195392804,151,1788717604.2694619
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,4,0.2675337195392804,151,1788717604.4361668
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,5,0.2675337195392804,151,1788717604.6018636
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,6,0.2675337195392804,151,1788717604.7683167
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,7,0.2675337195392804,151,1788717604.9352248
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,8,0.2675337195392804,151,1788717605.100597
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,9,0.2675337195392804,151,1788717605.2675657
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,10,0.2675337195392804,151,1788717605.4344232
phi-4-14b-chat-grammar,green_yellow,red,0,8,sequential,11,0.2675337195392804,151,1788717605.6010735
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,0,0.2632529955140696,151,1788717605.7817628
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,1,0.2632529955140696,151,1788717605.9511764
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,2,0.2632529955140696,151,1788717606.1193376
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,3,0.2632529955140696,151,1788717606.2885172
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,4,0.2632529955140696,151,1788717606.4543836
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,5,0.2632529955140696,151,1788717606.6203735
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,6,0.2632529955140696,151,1788717606.7914624
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,7,0.2632529955140696,151,1788717606.9589229
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,8,0.2632529955140696,151,1788717607.1262667
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,9,0.2632529955140696,151,1788717607.2930899
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,10,0.2632529955140696,151,1788717607.461078
phi-4-14b-chat-grammar,green_yellow,blue,0,8,sequential,11,0.2632529955140696,151,1788717607.6280425
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,0,0.18714892860722446,151,1788717607.8146658
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,1,0.18714892860722446,151,1788717607.9841523
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,2,0.18714892860722446,151,1788717608.1515417
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,3,0.18714892860722446,151,1788717608.318171
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,4,0.18714892860722446,151,1788717608.484693
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,5,0.18714892860722446,151,1788717608.6490896
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,6,0.18714892860722446,151,1788717608.815975
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,7,0.18714892860722446,151,1788717608.983111
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,8,0.18714892860722446,151,1788717609.1498406
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,9,0.18714892860722446,151,1788717609.3175683
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,10,0.18714892860722446,151,1788717609.4852135
phi-4-14b-chat-grammar,baseline,red,0,8,sequential,11,0.18714892860722446,151,1788717609.6515586
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,6,sequential,0,0.8268156037965361,151,1788717609.8315887
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,6,sequential,1,0.8268156037965361,151,1788717610.0013812
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,6,sequential,2,0.8268156037965361,151,1788717610.1684427
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,6,sequential,3,0.8268156037965361,151,1788717610.335375
phi-4-14b-chat-grammar,political_liberal_conservative,red,0,6,sequential,4,0.8268156037965361,151,1788717610.5019312
