label,scenario,role,n_similar,n_occupied,sequential_p,sequential_range,concurrent_mean,concurrent_sd,concurrent_min,concurrent_max,interleaved_mean,interleaved_sd,interleaved_min,interleaved_max,campaign_p,campaign_n,campaign_ci_low,campaign_ci_high,campaign_minus_sequential,seq_sampling_p,seq_sampling_n,seq_sampling_ci_low,seq_sampling_ci_high,sequential_inside_seq_sampling_ci
qwen3.6-27b-chat-grammar,race_white_black,red,1,5,0.5350528808202464,0.0,0.5919086010548213,0.11635314172003193,0.4176573940455214,0.7167223101960644,0.6208662303115132,0.06525259004864122,0.4831263881984376,0.6972144639208703,0.5043731778425656,2401,0.4843829359306785,0.5243494479402592,-0.030679702977680745,0.49,300,0.43391603364256914,0.5463368349573855,True
qwen3.6-27b-chat-grammar,political_liberal_conservative,blue,3,8,0.44713209982205504,0.0,0.5243026342363413,0.10078648116356248,0.4180991089358188,0.711374523758663,0.5596111999635979,0.10169897970288458,0.4180991089358188,0.6539250231381951,0.5135360266555602,2401,0.49353769717963614,0.5334911100399329,0.06640392683350516,0.44333333333333336,300,0.388185929862749,0.4999136588703277,True
qwen3.6-27b-chat-grammar,race_white_black,red,2,8,0.43518315231674254,0.0,0.5507972210103945,0.056536692645863924,0.4868975891347435,0.672279597249705,0.6016217397194142,0.04836327856200497,0.5517114841060223,0.6573580112675573,0.5306122448979592,2401,0.5106167540249058,0.5505099330716581,0.09542909258121668,0.3933333333333333,300,0.33973815664027024,0.44962577509258,True
qwen3.6-27b-chat-grammar,green_yellow,red,2,8,0.44617420769530164,0.0,0.5736263142737159,0.07056149087941747,0.509493651210609,0.6721568726159504,0.560178751485119,0.05339243162853742,0.509493651210609,0.6659182323606344,0.5351936693044564,2401,0.5152029165891759,0.5550719821817035,0.0890194616091548,0.45,300,0.39468890948161645,0.506575433518157,True
qwen3.6-27b-chat-grammar,income_high_low,blue,1,6,0.5386135164342702,0.0,0.43882786787647815,0.0368111210415821,0.3926187953911111,0.5333272238680544,0.40461344692746454,0.033202960855842414,0.36191670521661357,0.4749431786865245,0.4627238650562266,2401,0.4428549168416552,0.4827119063536855,-0.07588965137804365,0.56,300,0.503420997979743,0.6150617904205289,True
qwen3.6-27b-chat-grammar,baseline,red,1,6,0.5720430633895954,0.0,0.5448840094768929,0.02796612312236541,0.4940779696135598,0.5912199638596558,0.5919559112755907,0.0779738145425698,0.4420267367256331,0.7220204484559036,0.5593502707205331,2401,0.5394125013473038,0.579098422615422,-0.012692792669062314,0.56,300,0.503420997979743,0.6150617904205289,True
qwen3.6-27b-chat-grammar,race_white_black,blue,1,6,0.5184871412984985,0.0,0.5383076090829902,0.04594263385082161,0.4736153938573247,0.5887709095272642,0.5284488130656041,0.04819436058154202,0.47602015886950805,0.5887709095272642,0.563515201999167,2401,0.5435913552320778,0.5832361247982077,0.04502806070066856,0.5166666666666667,300,0.46026528666991656,0.5726465989968257,True
qwen3.6-27b-chat-grammar,ethnic_asian_hispanic,red,0,5,0.5156408710119736,0.0,0.4695714494312995,0.06726820375239281,0.3951487551116381,0.5819603039510941,0.5181313037555648,0.07299622883903825,0.40795608242070464,0.6111553734396592,0.42898792169929195,2401,0.4093195892592345,0.44888312978887246,-0.08665294931268169,0.49666666666666665,300,0.440488541129282,0.5529290817373694,True
qwen3.6-27b-chat-grammar,green_yellow,red,3,7,0.00258542528281827,0.0,0.0028283753134429913,0.0007154678937675399,0.0020916316081398207,0.003995977318976569,0.0023893116994847907,0.0006191124531613903,0.0020916316081398207,0.003995977318976569,0.006060606060606061,495,0.002063212220126581,0.01766569571377468,0.003475180777787791,0.01,300,0.0034065567627181124,0.028984004635062833,False
qwen3.6-27b-chat-grammar,ethnic_asian_hispanic,blue,1,6,0.07576517235424245,0.0,0.0873140626155981,0.028870752713010074,0.05263340891370056,0.15930731427635714,0.07276650299532664,0.02395475830905654,0.049126155887027304,0.12789751477837313,0.08173076923076923,1456,0.06873502745880863,0.09692787733853375,0.005965596876526785,0.08666666666666667,300,0.05982848995477098,0.12395674551002385,True
